year, MIROC-ES2L, INM-CM5-0, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, NorESM2-LM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, NorESM2-MM, CESM2-WACCM, UKESM1-0-LL, CanESM5, IPSL-CM6A-LR, INM-CM4-8, CNRM-ESM2-1
2.061000000000000000e+03, 8.192943212399998743e+01, 9.340308039599999290e+01, 8.446762285199999098e+01, 6.383275475399999266e+01, 6.898342319999999006e+01, 5.641487654399999485e+01, 5.300598868199999458e+01, 5.460355907999999658e+01, 4.728446738999999610e+01, 5.801557688999999840e+01, 5.953207217399999251e+01, 7.941285932399999581e+01, 1.115283963959999909e+02, 6.652373345999998833e+01, 8.945641306799998915e+01, 5.700330676799999452e+01
2.062000000000000000e+03, 8.160690556799998774e+01, 9.310840801199999817e+01, 8.563484905199999275e+01, 6.479511521399999197e+01, 7.173412714799999890e+01, 5.808672604799999561e+01, 5.232763749599999414e+01, 5.560863110999999748e+01, 4.849580456999999711e+01, 5.919419546999999682e+01, 6.068848152599999679e+01, 8.314347351600000025e+01, 1.139614539839999878e+02, 6.652989874799999370e+01, 8.954045650799999123e+01, 5.771782974599999250e+01
2.063000000000000000e+03, 7.960257201599999632e+01, 9.448254190799998753e+01, 8.732780402399998820e+01, 6.693099724799999706e+01, 6.823299254399999825e+01, 5.838015670199999363e+01, 5.590038641399999619e+01, 5.269782677399999926e+01, 5.105858549399999902e+01, 5.916670396199999260e+01, 6.148852619399999497e+01, 8.136232023599998797e+01, 1.138750847639999932e+02, 6.592701320999999837e+01, 9.010936594799999000e+01, 5.791923835199999360e+01
2.064000000000000000e+03, 8.283981337199999473e+01, 9.372731777999999281e+01, 8.911842598799999848e+01, 6.516827675999999769e+01, 7.171883218799999327e+01, 5.807694988799999436e+01, 5.708928967199999249e+01, 5.315012396999999567e+01, 5.049123314399999884e+01, 5.786936416799999705e+01, 6.316622562599999213e+01, 8.013356729999999573e+01, 1.129569298919999909e+02, 6.741610765199999378e+01, 9.167922802799999715e+01, 5.738735611799999248e+01
2.065000000000000000e+03, 8.346865697999999156e+01, 9.495917701199999783e+01, 8.764302999599999566e+01, 6.484235219999999345e+01, 7.071303877199999022e+01, 5.707383703199999303e+01, 5.522396286599999371e+01, 5.548189975199999679e+01, 4.891187478599999849e+01, 5.823313586999999814e+01, 6.176260951199999738e+01, 8.181918226799999161e+01, 1.134689247359999911e+02, 6.845800978799999825e+01, 9.381156620399998758e+01, 5.744504334599999851e+01
2.066000000000000000e+03, 8.322921989999998971e+01, 9.360701582399998699e+01, 8.713325843999999165e+01, 6.919023628799999415e+01, 7.116174086399999510e+01, 5.917085488799999382e+01, 5.371553291399999353e+01, 5.324642308799999313e+01, 4.857685997399999422e+01, 5.877597292199999401e+01, 6.096418106399999459e+01, 8.199294562799998687e+01, 1.154137892759999886e+02, 6.628093779599998925e+01, 9.352397365199999513e+01, 5.831203105799999520e+01
2.067000000000000000e+03, 8.151566403599998978e+01, 9.399351315599999168e+01, 8.725106905199999119e+01, 6.979605861599999628e+01, 7.015614454800000033e+01, 5.846412130199999524e+01, 5.201156399399999941e+01, 5.444890259399999621e+01, 5.086538018999999622e+01, 5.875795798199999354e+01, 6.287447426399999273e+01, 8.460213965999999175e+01, 1.161152997119999952e+02, 6.735406057199999452e+01, 9.377015943599998593e+01, 5.775567294599999713e+01
2.068000000000000000e+03, 8.360356798799999467e+01, 9.381279610799998636e+01, 8.792709051599999270e+01, 6.701002646399999207e+01, 7.018513401599999213e+01, 5.743773487799999344e+01, 5.386536439199999649e+01, 5.410773826199999803e+01, 5.082529793399999818e+01, 5.862463559999999774e+01, 6.187633226999999181e+01, 8.195237456399999587e+01, 1.164800450879999971e+02, 6.727867376399998989e+01, 9.385344601199999204e+01, 5.828956954199999529e+01
2.069000000000000000e+03, 8.547167390399999931e+01, 9.477785289599999885e+01, 8.566942039199999215e+01, 6.613083037799999886e+01, 7.317804232799998942e+01, 5.795446012199999331e+01, 5.297267878199999558e+01, 5.722941988799999535e+01, 4.926330014399999868e+01, 5.844048112799999473e+01, 6.261041939399999734e+01, 8.145055796399999792e+01, 1.191220286759999851e+02, 6.715556510399999013e+01, 9.362877566399998841e+01, 5.762005237799999691e+01
2.070000000000000000e+03, 8.415357159599999193e+01, 9.179511494399999094e+01, 8.759982567599999470e+01, 6.843824459999999021e+01, 7.103733134399999471e+01, 5.958270322199999214e+01, 5.380100335799999556e+01, 5.573797601399999735e+01, 4.936806667799999815e+01, 6.060820269599999222e+01, 6.311066313599999233e+01, 8.236448701199999789e+01, 1.177010953559999962e+02, 6.585120460799998909e+01, 9.579491254799999922e+01, 5.943066422399999738e+01
