year, EC-Earth3-Veg, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, MIROC-ES2L
1.890000000000000000e+03, 1.704693013647763822e+00, 1.002799651559358196e+01, 1.140763142952588849e+00, 1.007083977689532439e+01, 3.987144912700915977e+00, 1.321837660032154860e+00, 1.191228568447463498e+00, 7.347140376800308736e+00, 5.289908819831425912e-01, 1.780773105127530398e+00, 2.695917541802475004e+00, 1.276959371110297337e+00, 7.312387982077367177e+00
1.891000000000000000e+03, 1.672643055765442810e+00, 9.921777785619983803e+00, 1.142635614902840269e+00, 1.001236390483325955e+01, 3.971602264372793289e+00, 1.350836826198741347e+00, 1.209940694637269054e+00, 7.335322524131909105e+00, 5.727372851453212954e-01, 1.634109888281401135e+00, 2.669018010656875717e+00, 1.258653088147079657e+00, 7.312039420916586430e+00
1.892000000000000000e+03, 1.681820312556939978e+00, 9.847031949627902847e+00, 1.089794571789865829e+00, 1.007861424873500589e+01, 3.981101030984704359e+00, 1.355691896321608469e+00, 1.236837929950952875e+00, 7.295561964689440515e+00, 4.914321755032982630e-01, 1.858554330781301722e+00, 2.722448969323921553e+00, 1.235975239477873577e+00, 7.392206772744985166e+00
1.893000000000000000e+03, 1.665670459946593907e+00, 9.923232260272287775e+00, 1.100616376881289771e+00, 1.014619134522047439e+01, 3.978784757078520418e+00, 1.322793654778510186e+00, 1.241361739811636111e+00, 7.371873153415529956e+00, 5.624952774955319645e-01, 1.965049109572439612e+00, 2.723717412217009581e+00, 1.271548476510286241e+00, 7.363469247138467288e+00
1.894000000000000000e+03, 1.709349730422039526e+00, 9.936926017251385801e+00, 1.126581369226133056e+00, 1.007672331942084476e+01, 3.971674569951192169e+00, 1.341565023618066288e+00, 1.237916949677783318e+00, 7.308520504368037685e+00, 5.783113596254481070e-01, 1.885435752461824377e+00, 2.735186351164701879e+00, 1.278783240728903925e+00, 7.333858119104980311e+00
1.895000000000000000e+03, 1.671096486112731760e+00, 9.823509993666474926e+00, 1.143462776006010095e+00, 1.009228072334116000e+01, 3.961527589011446526e+00, 1.341918356798251999e+00, 1.244461456066075611e+00, 7.274336837544698398e+00, 6.645862833029982930e-01, 1.626832969458821498e+00, 2.822707261400874135e+00, 1.263526444060954379e+00, 7.354991676455807870e+00
1.896000000000000000e+03, 1.563454853862625837e+00, 9.895642510875601872e+00, 1.092691193582082443e+00, 1.010176101335361132e+01, 3.949438016752111924e+00, 1.369346333430296436e+00, 1.230100321241602179e+00, 7.352487372019430367e+00, 4.375377338600278665e-01, 1.577751426352827613e+00, 2.684216691382879993e+00, 1.251611443851086358e+00, 7.399603938253411783e+00
1.897000000000000000e+03, 1.605276831359006007e+00, 9.820045159911012789e+00, 1.098887375130392696e+00, 1.002534320950300817e+01, 3.952704009169868193e+00, 1.347800623137971110e+00, 1.228859229674674314e+00, 7.343074501951921462e+00, 4.614806695743590148e-01, 1.794031312193362426e+00, 2.723430199773015481e+00, 1.233914084442413461e+00, 7.408200338591236722e+00
1.898000000000000000e+03, 1.584317107295165394e+00, 9.778333453623046623e+00, 1.079965906392240438e+00, 1.007829999260227183e+01, 3.954006443173155638e+00, 1.353823623105989915e+00, 1.209191973647039786e+00, 7.286094936805245226e+00, 7.189703601460012417e-01, 1.779752853599765539e+00, 2.666547784589429426e+00, 1.285575752198520494e+00, 7.398825468814281159e+00
1.899000000000000000e+03, 1.612809821925410558e+00, 9.768938839091783066e+00, 1.114963895886439849e+00, 1.011427419633460190e+01, 3.976249577139829849e+00, 1.338228912208294652e+00, 1.183838044945047407e+00, 7.281025742809491774e+00, 6.043031349510232797e-01, 1.817702859894902545e+00, 2.715931358981832577e+00, 1.270513424336703556e+00, 7.341575907559972691e+00
1.900000000000000000e+03, 1.637411835199835020e+00, 9.699590214920565501e+00, 1.107442306394935905e+00, 1.002110473657707423e+01, 3.970059966533459495e+00, 1.337524448505666541e+00, 1.169587728453153952e+00, 7.345683332712571456e+00, 5.091214213788890497e-01, 1.826931728622964490e+00, 2.687695064565420733e+00, 1.242903351148747060e+00, 7.320881431848070164e+00
