year, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, TaiESM1, INM-CM4-8
1.895000000000000000e+03, 7.664583203253168442e+00, 6.214296910540971552e+00, 5.939153805540256847e+00, 7.603329389942683036e+00, 6.619769921909713695e+00, 7.916098495961521486e+00, 8.507839024871509892e+00, 6.264167252970217703e+00, 8.705314131750277795e+00, 7.027373639409312922e+00, 9.913341446038083760e+00, 7.091250037715157717e+00, 6.549640179766949011e+00, 7.380191101043521051e+00, 7.362175629435939506e+00, 8.636900793695973633e+00
1.896000000000000000e+03, 7.528822756039384778e+00, 5.852539566835056384e+00, 5.273169298659510673e+00, 7.638152572858051492e+00, 6.376960599739057045e+00, 7.660127973583112038e+00, 8.321742569798882272e+00, 6.012719091934090265e+00, 8.990284934296493446e+00, 7.340672396962562019e+00, 9.028182325411005849e+00, 7.653178215649772298e+00, 6.935131986169352558e+00, 7.624608888400074669e+00, 7.637959178088574497e+00, 8.540258969141783396e+00
1.897000000000000000e+03, 7.149559615230088205e+00, 7.067801241395589074e+00, 5.709133822645044987e+00, 7.978369108362737272e+00, 6.354552370372731573e+00, 7.698372186378153792e+00, 7.318357289783216757e+00, 5.823467649285094083e+00, 9.120127491656919716e+00, 7.019872052336060264e+00, 9.175459520812776049e+00, 6.635241743520576385e+00, 6.809371980187433948e+00, 8.000460168116937609e+00, 7.308030330582958811e+00, 8.377329525144158850e+00
1.898000000000000000e+03, 6.792018697712774333e+00, 6.756058084171624678e+00, 5.597295416670461599e+00, 7.222125626399074072e+00, 6.390860839102112223e+00, 8.084264611305446380e+00, 7.892521366462423416e+00, 6.168258260928776160e+00, 8.919492455706651057e+00, 6.948580809907734412e+00, 9.008754519136246586e+00, 7.858667557883805443e+00, 7.076399628525257945e+00, 7.576329748369433403e+00, 6.915606292245469078e+00, 8.732791365749559276e+00
1.899000000000000000e+03, 7.293675728966037219e+00, 6.703065073250007444e+00, 6.005044429062369460e+00, 7.777018038286617418e+00, 6.056302992876124058e+00, 7.886614086270496315e+00, 7.848469442035028720e+00, 6.363666445255208082e+00, 8.652754517268787637e+00, 6.340502684321453586e+00, 9.423650734797522688e+00, 6.685002184988236174e+00, 7.287517780895106156e+00, 7.715475075359052859e+00, 7.461880244261813289e+00, 8.787998549372044721e+00
1.900000000000000000e+03, 7.223600707378653674e+00, 7.305786227852308912e+00, 6.288174122044390302e+00, 7.654855177820804712e+00, 6.645708263274755723e+00, 7.403048534530404901e+00, 7.731446715772962719e+00, 6.250028949678606338e+00, 9.024166047780900257e+00, 6.929681118606342949e+00, 9.623236550973668813e+00, 7.114688328332975154e+00, 6.540263628095877912e+00, 7.687686698290509213e+00, 6.572902655609251354e+00, 8.316771135036155727e+00
1.901000000000000000e+03, 7.511348377520583597e+00, 6.697156895193415949e+00, 5.894151626261229460e+00, 8.404499615421773484e+00, 6.706756263809537266e+00, 7.086114152331590255e+00, 8.678090832421906597e+00, 5.717420807406732308e+00, 8.673004263934805280e+00, 6.965352567376036141e+00, 8.820887618019380483e+00, 7.527741675664903376e+00, 6.331749121428643434e+00, 7.621462307826400995e+00, 7.423361551122952484e+00, 8.771103957694412756e+00
1.902000000000000000e+03, 7.554829694195977829e+00, 7.030119288369387043e+00, 5.702879706439694552e+00, 7.746406723881922751e+00, 6.423258073337979823e+00, 8.064104755517462308e+00, 7.954032522020826335e+00, 6.422066930097106052e+00, 8.840629023184670032e+00, 7.671457763058374901e+00, 8.957003510843051686e+00, 7.181496803360487569e+00, 6.573989959660683446e+00, 8.024371366414145612e+00, 7.447150458717787025e+00, 8.488908933005406610e+00
1.903000000000000000e+03, 7.210393694435279777e+00, 7.086919583414417190e+00, 5.388765353636010502e+00, 7.646115639088463922e+00, 6.607998576393032231e+00, 7.852806300416370178e+00, 7.015163533053129008e+00, 6.179804853708141366e+00, 8.669448262220592838e+00, 6.904436391627942093e+00, 1.014217693318178881e+01, 6.265791640714907018e+00, 6.409176199765827420e+00, 7.649867829257336993e+00, 6.144794516187395139e+00, 8.633522746219082222e+00
1.904000000000000000e+03, 7.446593631353827014e+00, 6.703250079380084436e+00, 4.798388656144897624e+00, 8.164565730816939038e+00, 6.466439073568108320e+00, 7.749320097950978870e+00, 8.531513233323725132e+00, 6.394832375588292983e+00, 8.911570035583560312e+00, 5.997140929456833192e+00, 9.460249258210332357e+00, 6.876287635652021279e+00, 6.677606650707815561e+00, 7.606187095240519724e+00, 7.108825965603428720e+00, 8.339023565727456955e+00
1.905000000000000000e+03, 7.535409051764544230e+00, 6.435010700555009677e+00, 5.268957398317029472e+00, 8.119287663676972855e+00, 6.680863934423255657e+00, 8.099840646718968529e+00, 8.005296583662259380e+00, 6.086610287504840677e+00, 8.500814111957080144e+00, 7.412677317645473885e+00, 9.673311953745852065e+00, 6.398672202853709301e+00, 6.953537361787960336e+00, 7.520791438751388114e+00, 7.516787893808486665e+00, 8.065380961830756590e+00
1.906000000000000000e+03, 7.407517548331107982e+00, 6.408024916752721900e+00, 6.009897277972290119e+00, 7.375869054066060748e+00, 6.151920521100729289e+00, 7.536467868672171555e+00, 7.098041629452660040e+00, 5.883399283598757634e+00, 8.616116521291182551e+00, 7.017774652355424081e+00, 9.529256518072111604e+00, 7.584814411306933124e+00, 6.198363675413062879e+00, 7.705994949636640001e+00, 6.897928466303288708e+00, 8.249800561837410839e+00
1.907000000000000000e+03, 7.522721547709993573e+00, 6.770855575596173459e+00, 5.891792493150313170e+00, 7.880579092850612533e+00, 6.056589804657023457e+00, 8.072031995743030208e+00, 8.850452568864271896e+00, 5.701850510330009669e+00, 8.472001919199241726e+00, 7.111207276033731262e+00, 8.984428303838779328e+00, 7.314165135944851848e+00, 6.993713261411194537e+00, 7.857127236665357728e+00, 7.120132943910981282e+00, 8.155923972596559324e+00
1.908000000000000000e+03, 7.645158519894116544e+00, 6.715154080513575430e+00, 5.757293921458498609e+00, 8.008800031339307068e+00, 5.845845088161049752e+00, 7.941127921990752903e+00, 8.087357439074859045e+00, 6.106458991044524609e+00, 9.261157756700580279e+00, 7.131556643071897739e+00, 9.604219600926704459e+00, 6.929155969984186036e+00, 6.381030400791597224e+00, 7.915380167273925238e+00, 7.207249790934853628e+00, 8.560477085067663694e+00
