year, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1
1.916000000000000000e+03, 1.237608385341772182e-09, -9.033942341970978266e-10, 3.738419511425365257e-10, 1.382356715950040114e-10
1.917000000000000000e+03, 1.315259869707638291e-09, -9.424505566271270050e-10, 3.755749799595104727e-10, 1.386463793322582550e-10
1.918000000000000000e+03, 1.280862238347106928e-09, -9.360544110642066201e-10, 3.758612705895273360e-10, 1.443313638748147637e-10
1.919000000000000000e+03, 1.253831443408304248e-09, -1.022913306383202193e-09, 3.778979064503736078e-10, 1.469883740377933195e-10
1.920000000000000000e+03, 1.300742743520598770e-09, -1.004220726169928168e-09, 3.804014356204537866e-10, 1.496014201286158300e-10
1.921000000000000000e+03, 1.313389902439571644e-09, -9.663408096878591404e-10, 3.158937327060750539e-10, 1.125687628803502586e-10
1.922000000000000000e+03, 1.392486381769995926e-09, -9.529050509618316002e-10, 3.099329444190233087e-10, 1.137941397417922381e-10
1.923000000000000000e+03, 1.318250905926755034e-09, -1.002138511748687107e-09, 3.092029467508106554e-10, 1.132782659069437476e-10
1.924000000000000000e+03, 1.311921020575385747e-09, -9.855086530050078118e-10, 3.111011370310873805e-10, 1.130094424860287553e-10
1.925000000000000000e+03, 1.454245392874159349e-09, -9.570437014575248886e-10, 3.116405155278524762e-10, 1.122077466676580790e-10
1.926000000000000000e+03, 1.395713298268084956e-09, -9.975623782531011183e-10, 3.162760327542585953e-10, 1.122690993672851691e-10
1.927000000000000000e+03, 1.580451290069869893e-09, -1.050812105641348059e-09, 3.208189774307634621e-10, 1.113947729848192955e-10
1.928000000000000000e+03, 1.416755635275611276e-09, -1.023762101189097811e-09, 3.247696661161203458e-10, 1.081143420307267752e-10
1.929000000000000000e+03, 1.440583032544115008e-09, -1.045504948228096290e-09, 3.319318768179935650e-10, 1.073082626781529041e-10
1.930000000000000000e+03, 1.357553628727829688e-09, -1.013290376214991254e-09, 3.386392656879379545e-10, 1.109245313331753500e-10
1.931000000000000000e+03, 1.502505237638089476e-09, -1.110426105723358671e-09, 3.729896505171285691e-10, 1.169933442716585139e-10
1.932000000000000000e+03, 1.485527426219140915e-09, -1.109277800450109339e-09, 3.797945688839094747e-10, 1.256613304237802805e-10
1.933000000000000000e+03, 1.522794485721249892e-09, -1.148089951227558050e-09, 3.902176209502601960e-10, 1.285854605567620177e-10
1.934000000000000000e+03, 1.555064707481432004e-09, -1.101458378723949476e-09, 4.010850551789054693e-10, 1.307528183476386264e-10
1.935000000000000000e+03, 1.564483104016101786e-09, -1.199608368743082034e-09, 4.117037844976816917e-10, 1.309567559393329655e-10
1.936000000000000000e+03, 1.569438959007348141e-09, -1.214733467727469283e-09, 4.162610038590416545e-10, 1.317388761606016907e-10
1.937000000000000000e+03, 1.727378298345267330e-09, -1.141430493305210415e-09, 4.262233551920412566e-10, 1.333361610153891805e-10
1.938000000000000000e+03, 1.769851723090098464e-09, -1.168988461333059540e-09, 4.383886827335611634e-10, 1.343674359018416983e-10
1.939000000000000000e+03, 1.680490943289007949e-09, -1.234702162344941844e-09, 4.468462424306528731e-10, 1.388595817040774577e-10
1.940000000000000000e+03, 1.650956049022774239e-09, -1.290718083696451775e-09, 4.571937691703113162e-10, 1.413993966222044146e-10
1.941000000000000000e+03, 1.682103708141987317e-09, -1.312247461165882690e-09, 4.872935432187349509e-10, 1.433471312672389525e-10
1.942000000000000000e+03, 1.621324517104923086e-09, -1.266689220109621011e-09, 5.000792277985656884e-10, 1.412575728318963234e-10
1.943000000000000000e+03, 1.705629318581068339e-09, -1.282915328897511999e-09, 5.100989680934075097e-10, 1.437896716735233862e-10
1.944000000000000000e+03, 1.683649208179978971e-09, -1.390170142882254567e-09, 5.177876759147698483e-10, 1.447738551365391530e-10
1.945000000000000000e+03, 1.880810123960511365e-09, -1.393827048839255936e-09, 5.303937137380137296e-10, 1.438104835582217700e-10
1.946000000000000000e+03, 1.856987584077665607e-09, -1.388851638472595988e-09, 5.440742866945665714e-10, 1.462795628449719011e-10
1.947000000000000000e+03, 1.629020021201278330e-09, -1.403236627560155186e-09, 5.563245030852971259e-10, 1.448790759529340479e-10
1.948000000000000000e+03, 1.764778575295007080e-09, -1.420846060250208626e-09, 5.686317086054920813e-10, 1.462753692062995104e-10
1.949000000000000000e+03, 1.853991801144065730e-09, -1.491118882952151245e-09, 5.809961878233415764e-10, 1.505406174197824174e-10
1.950000000000000000e+03, 2.054090580374475402e-09, -1.651611307494630078e-09, 5.846095584331074532e-10, 1.526338918400217104e-10
1.951000000000000000e+03, 2.021122401115980472e-09, -1.667498522369039799e-09, 7.603708887358162157e-10, 2.737080739126099100e-10
1.952000000000000000e+03, 1.991553066972634391e-09, -1.674419778469783640e-09, 7.820511056131750954e-10, 2.838960039508778958e-10
1.953000000000000000e+03, 1.886852906184352619e-09, -1.635594018327056218e-09, 7.993784171775622224e-10, 2.941105749373188464e-10
1.954000000000000000e+03, 1.664143899649536403e-09, -1.796582875917343610e-09, 8.277514370671500377e-10, 3.060699292511479705e-10
1.955000000000000000e+03, 1.927179293959368140e-09, -1.822841457311439437e-09, 8.513001268287955066e-10, 3.188919917388719372e-10
