year, EC-Earth3-Veg, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, MIROC-ES2L
1.943000000000000000e+03, 4.236101835883423344e-02, 7.823972132905723242e-01, 5.648444386936311845e-02, 2.710910392976996139e-02, 2.446676169522588873e-01, 4.721548815360499061e-04, 6.087312706169046850e-01, 1.873909941145963931e-01, 9.035573703649845134e-01
1.944000000000000000e+03, 4.253954220819301801e-02, 7.918252624327589695e-01, 5.692403758017293425e-02, 2.738154571950908098e-02, 2.509286433359151358e-01, 4.736682594769877535e-04, 6.140881300145097921e-01, 1.939901050787505576e-01, 9.100348688033096378e-01
1.945000000000000000e+03, 4.271337084355778663e-02, 7.981493264615862060e-01, 5.722705023017419373e-02, 2.772754603829647238e-02, 2.639036859366114540e-01, 4.811918677571034317e-04, 6.215005778909823420e-01, 2.006146705003313269e-01, 9.161420928959939092e-01
1.946000000000000000e+03, 4.290714531662137565e-02, 8.051340228566076229e-01, 5.758303985112750434e-02, 2.828698830562197120e-02, 2.729365922854491422e-01, 4.915685455298089961e-04, 6.276355821347245900e-01, 2.072803858492232587e-01, 9.253959835430876080e-01
1.947000000000000000e+03, 4.308828840989206710e-02, 8.114173574570294756e-01, 5.778314953915623248e-02, 2.913084066960122329e-02, 2.810958400866749307e-01, 4.909225672704931390e-04, 6.309684178875211158e-01, 2.140077723390995390e-01, 9.302156383547406371e-01
1.948000000000000000e+03, 4.324906816978975332e-02, 8.194940106433282745e-01, 5.797442685666070322e-02, 2.986769260763515524e-02, 2.901021593197780080e-01, 4.890593907840365536e-04, 6.349258318771827669e-01, 2.208149720061044208e-01, 9.352739669684599910e-01
1.949000000000000000e+03, 4.339762347015049815e-02, 8.262340569327136786e-01, 5.839200124353460114e-02, 3.175656846228757518e-02, 2.947493067740437067e-01, 4.962210688450484006e-04, 6.454509779875096109e-01, 2.276103776190115113e-01, 9.428441619111255223e-01
1.950000000000000000e+03, 4.381007387375114581e-02, 8.313642588175426118e-01, 5.887220199479886729e-02, 3.236676775712043347e-02, 3.005764799453744529e-01, 5.617705332632506789e-04, 6.572569757454328476e-01, 2.358666285745019686e-01, 9.718534419199649221e-01
1.951000000000000000e+03, 4.483019509503956279e-02, 8.682745649003716926e-01, 6.699094889691258048e-02, 3.798182186894789175e-02, 3.217143282302967200e-01, 6.824334466204516440e-04, 6.658371259578470536e-01, 2.447864924679024334e-01, 9.971690987672421347e-01
1.952000000000000000e+03, 4.592639120792185725e-02, 8.992608886835260495e-01, 7.451791502741350604e-02, 4.299316561393887876e-02, 3.363334942793094196e-01, 7.728736097350337149e-04, 6.726131955178465960e-01, 2.535038360390866607e-01, 1.015820222523419414e+00
1.953000000000000000e+03, 4.706305561755478456e-02, 9.272841513796531432e-01, 8.148923413637515489e-02, 4.742248369878564879e-02, 3.554839545689124636e-01, 8.095296011576183894e-04, 6.796466259597092607e-01, 2.625817460842096995e-01, 1.034841215309021623e+00
