year, UKESM1-0-LL, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
1.923000000000000000e+03, 3.945186133657665140e-13, 1.890350887801323456e-10, 3.751148466213284745e-10, 1.611933533646229763e-09, 9.454682834029158155e-10, 1.214970440912068926e-10, 5.039736079459435218e-11, 2.547785771409714208e-09
1.924000000000000000e+03, 3.823184957625992135e-13, 1.858473987267651970e-10, 3.568977265624681041e-10, 1.608804267815764931e-09, 9.228915329165224105e-10, 1.218053310214561766e-10, 4.919229632129152982e-11, 2.568270462123337731e-09
1.925000000000000000e+03, 3.782134733442135722e-13, 1.841774751535065242e-10, 3.878949543139055246e-10, 1.599299301405311446e-09, 8.882306968379540001e-10, 1.233686428839218301e-10, 4.802784152556572846e-11, 2.602846737858253532e-09
1.926000000000000000e+03, 3.923453460320085239e-13, 1.843254955010515137e-10, 3.961706610758549703e-10, 1.609086734300745461e-09, 9.225493789326765645e-10, 1.259659291846715885e-10, 4.687214022725986952e-11, 2.635870458856558357e-09
1.927000000000000000e+03, 4.060984848653931879e-13, 1.838911141953972064e-10, 3.809451971999571612e-10, 1.624330162682916893e-09, 9.694575010154912873e-10, 1.293975890163374225e-10, 4.580287672539304503e-11, 2.645746239781116936e-09
1.928000000000000000e+03, 3.904893434329825859e-13, 1.828928869700970789e-10, 3.916450899478310456e-10, 1.631797401914672781e-09, 9.359509168633888366e-10, 1.334276217011356724e-10, 4.449070252630937893e-11, 2.654146832525737398e-09
1.929000000000000000e+03, 3.794202094903790056e-13, 1.817381680672542942e-10, 4.062688720598767140e-10, 1.642793723693722600e-09, 9.506744810095281192e-10, 1.380095812617302927e-10, 4.296820813698631889e-11, 2.655299743421085219e-09
1.930000000000000000e+03, 3.661053420205207688e-13, 1.826368737075897089e-10, 4.262611097687153031e-10, 1.677185249155070791e-09, 9.116923129839036518e-10, 1.447330736093416780e-10, 4.139879165591253766e-11, 2.715356409450710252e-09
1.931000000000000000e+03, 3.917396604533497951e-13, 1.884492136512634758e-10, 4.114291039140015934e-10, 1.696590235856076247e-09, 1.002417013162577479e-09, 1.530463255880372648e-10, 4.193072191553561913e-11, 2.762801043612176650e-09
1.932000000000000000e+03, 4.169397188106203914e-13, 1.891982815306208659e-10, 4.161459775276408347e-10, 1.702675544588849529e-09, 9.936329581045563268e-10, 1.608264219138156299e-10, 4.264120250738473926e-11, 2.796516413217040346e-09
1.933000000000000000e+03, 4.397874191273901093e-13, 1.904121300673851765e-10, 4.648817268237497543e-10, 1.728346599375973586e-09, 1.024950734195099423e-09, 1.684138906139572577e-10, 4.373700522835800565e-11, 2.827079232820257207e-09
1.934000000000000000e+03, 4.410470027434096387e-13, 1.924899674329145502e-10, 4.801022587626440584e-10, 1.742518454196381772e-09, 9.704179736682708749e-10, 1.760640423424845209e-10, 4.489146433873278540e-11, 2.840031425187938541e-09
1.935000000000000000e+03, 4.600127434580388120e-13, 1.908895890875668014e-10, 4.584574922050710623e-10, 1.750874301323492805e-09, 1.060824638981851357e-09, 1.838327183909798205e-10, 4.608683607570306727e-11, 2.849104199179127166e-09
1.936000000000000000e+03, 4.314108128910573500e-13, 1.933792461932320533e-10, 4.383712719400018678e-10, 1.763982411781191097e-09, 1.068076880938176107e-09, 1.917138464647984084e-10, 4.714460181962983473e-11, 2.871394437689136827e-09
1.937000000000000000e+03, 4.605084199884925570e-13, 1.943319739188041367e-10, 5.157600411053431076e-10, 1.776445871080991480e-09, 9.867842564463759764e-10, 1.995595247838823767e-10, 4.816846026484875296e-11, 2.899367790503712840e-09
1.938000000000000000e+03, 4.908278521022609582e-13, 1.964548801669598186e-10, 5.256259564501468201e-10, 1.786798504083838878e-09, 1.006223621384982271e-09, 2.074861391003651321e-10, 4.934038657621818702e-11, 2.922598181944207357e-09
1.939000000000000000e+03, 5.122522334101084978e-13, 1.953226740243226349e-10, 5.260968563887805413e-10, 1.791477451765951317e-09, 1.063665512348125633e-09, 2.155693709021001668e-10, 5.045260438503618178e-11, 2.943616194143236846e-09
1.940000000000000000e+03, 5.014944432008499750e-13, 1.969573176215554868e-10, 5.408246465352894153e-10, 1.821801810116233200e-09, 1.110836818845476476e-09, 2.241976526366462796e-10, 5.149531031944792779e-11, 2.994709241199755806e-09
1.941000000000000000e+03, 5.335821795198958913e-13, 1.979373815541482972e-10, 5.549827548972404380e-10, 1.853001806044451789e-09, 1.123942754440859735e-09, 2.328275182493606920e-10, 5.227201125610874200e-11, 3.006399015803010949e-09
1.942000000000000000e+03, 5.278833464680211628e-13, 1.984889936146299994e-10, 5.552763585143704752e-10, 1.874106938971981869e-09, 1.069962636328542378e-09, 2.413359611512156002e-10, 5.274446817102077201e-11, 3.008734193125207119e-09
1.943000000000000000e+03, 5.548296794961796841e-13, 1.994739314325415939e-10, 5.706777008744493616e-10, 1.890864594915746402e-09, 1.077596192245669700e-09, 2.499382176889092726e-10, 5.296238688301593537e-11, 3.000673326943939750e-09
1.944000000000000000e+03, 5.403174213085425261e-13, 2.064735852493257369e-10, 5.563690862690839368e-10, 1.892103622498098382e-09, 1.176107690304975322e-09, 2.586945602806187055e-10, 5.326112456418565328e-11, 3.039632170574949386e-09
1.945000000000000000e+03, 5.553410384863855444e-13, 2.045780609862693105e-10, 6.393732877166477523e-10, 1.902861979183461390e-09, 1.170862573080626466e-09, 2.676196434155870522e-10, 5.365953089992198913e-11, 3.097082773062642375e-09
1.946000000000000000e+03, 5.837129685410214223e-13, 2.055015060087276519e-10, 6.642445948822370571e-10, 1.931291100562556225e-09, 1.156875970774503970e-09, 2.767169853904175779e-10, 5.398913758412032190e-11, 3.134654543179569867e-09
