year, MIROC-ES2L, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, CanESM5, NorESM2-MM, CMCC-ESM2, UKESM1-0-LL, TaiESM1, CESM2-WACCM, NorESM2-LM
1.914000000000000000e+03, 2.449812472424093279e+00, 3.732971883088100906e+00, 2.801592825868005843e+00, 2.574766826876058179e+00, 3.947578418117476229e+00, 2.780446063854573602e+00, 1.854180622976499215e+00, 4.045477147557223319e+00, 2.546625383778956753e+00, 2.957810579438397536e+00, 2.889402868082294074e+00, 3.281667193731168997e+00, 4.196328316845753470e+00, 3.721744532530908423e+00, 3.084751979814792655e+00, 2.447223129147486631e+00
1.915000000000000000e+03, 2.443542927038725665e+00, 3.830711711533182573e+00, 2.729774753525702202e+00, 2.573004955542879113e+00, 3.928396126987557135e+00, 2.889722310854052623e+00, 1.838399233178616754e+00, 4.166206023045815776e+00, 2.556191752216681046e+00, 2.883343668207618116e+00, 2.904694979291165158e+00, 3.960023420720519383e+00, 4.196064660599506446e+00, 3.765974342663253704e+00, 3.087680359793718132e+00, 2.548109733715389069e+00
1.916000000000000000e+03, 2.443634962724160253e+00, 4.149393650302645398e+00, 2.654368329797198722e+00, 2.584710515017302424e+00, 3.949527377082286073e+00, 2.757604194706759326e+00, 1.779593526726956920e+00, 4.132304307527807197e+00, 2.543841994495391390e+00, 2.958167392468057599e+00, 2.994788837440502061e+00, 3.956528256873215188e+00, 4.188288313559251463e+00, 3.675027680909421779e+00, 3.090312846298574279e+00, 2.572701235455298274e+00
1.917000000000000000e+03, 2.443077330379821888e+00, 4.038339802312532534e+00, 2.725048669765540055e+00, 2.582371158402990030e+00, 3.778089562834474613e+00, 2.847487072616934345e+00, 1.829233011073635895e+00, 4.037090543808602661e+00, 2.556560467036609996e+00, 2.875053777816638956e+00, 2.997491662036049664e+00, 3.397395855144455634e+00, 4.186761491760401022e+00, 3.525643796859765811e+00, 3.126835385599672446e+00, 2.504937476651304173e+00
1.918000000000000000e+03, 2.437913529693777726e+00, 4.110404067223153213e+00, 2.741825063401770013e+00, 2.572435779402885814e+00, 3.835094374398931638e+00, 2.924089402170885421e+00, 1.870274914116904608e+00, 4.035760600408303311e+00, 2.551312187947954335e+00, 2.877872092330125753e+00, 3.031843197032701109e+00, 3.460754280277423600e+00, 4.188773312286079076e+00, 4.053455683138019516e+00, 3.050760678714651064e+00, 2.552243317097371733e+00
1.919000000000000000e+03, 2.435996928461427125e+00, 3.814443316478478341e+00, 2.849441753203893146e+00, 2.595148761715089236e+00, 3.706545053713761639e+00, 2.870984052529882646e+00, 1.939036496992642133e+00, 4.045712058213909224e+00, 2.496898255621974982e+00, 2.976384078286343104e+00, 2.979761851131787154e+00, 3.787867040068680691e+00, 4.175257948589083945e+00, 4.323713860508807905e+00, 3.092435647221395634e+00, 2.550415448837011656e+00
1.920000000000000000e+03, 2.428989983041887957e+00, 3.863086478496251086e+00, 2.767558065405346657e+00, 2.586402942557160411e+00, 3.570869767608913392e+00, 2.804987964159033620e+00, 1.933024836472798880e+00, 3.989037765937923030e+00, 2.540144764999143767e+00, 2.905840484335153739e+00, 2.943233597862625839e+00, 3.811538955680890073e+00, 4.188369323368089425e+00, 3.639255436198335580e+00, 3.131643662564924213e+00, 2.463347051362691609e+00
1.921000000000000000e+03, 2.421830201385565040e+00, 3.945709772421028827e+00, 2.757341205812557039e+00, 2.562096013422451080e+00, 3.727554554091000227e+00, 2.860206743504346338e+00, 1.853190105314065583e+00, 3.974395973124431602e+00, 2.565069858631285005e+00, 2.953440390389641124e+00, 2.938744944414039217e+00, 3.248495396761291065e+00, 4.177407536355053352e+00, 3.867884436001230331e+00, 3.089578671338947480e+00, 2.501600388041851364e+00
1.922000000000000000e+03, 2.415444181785498134e+00, 3.923393187378537927e+00, 2.720664192127134839e+00, 2.589862467818219383e+00, 3.925309857305379957e+00, 2.899518328482468821e+00, 1.907989436323074051e+00, 3.990668525263843858e+00, 2.535800431844275060e+00, 2.877588717089349490e+00, 3.010797314948881365e+00, 3.199448162421740793e+00, 4.179094814777201350e+00, 4.133263563422146625e+00, 2.987459492094566293e+00, 2.537123250201039237e+00
1.923000000000000000e+03, 2.440509083114823952e+00, 3.695627750048823046e+00, 2.796492484857413086e+00, 2.537673385312443575e+00, 3.879493375046795034e+00, 2.892299763541795077e+00, 1.919321908367740859e+00, 4.045576096630638219e+00, 2.511470445725196399e+00, 2.940538879076002310e+00, 3.052041808088295838e+00, 3.834996060492739112e+00, 4.173627803950831883e+00, 3.444538694036619830e+00, 3.007999528407323986e+00, 2.548707670551555005e+00
