year, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, INM-CM5-0, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM
1.895000000000000000e+03, 2.978682033490068761e+02, 2.965146644641813509e+02, 2.970724280320779371e+02, 2.973913492398038443e+02, 2.966164126847858711e+02, 2.982273009720149162e+02, 2.976571599657750085e+02, 2.974697849306207900e+02, 2.984157692550265324e+02, 2.978882200059618981e+02, 2.982953383109227161e+02, 2.971421726519326398e+02, 2.994316462292666188e+02, 2.963843099132615180e+02, 2.967970221697263469e+02, 2.989109684258554580e+02
1.896000000000000000e+03, 2.972035093843670097e+02, 2.965403473377792238e+02, 2.974916659520483790e+02, 2.974977397868349271e+02, 2.968604875036961630e+02, 2.983013254885446486e+02, 2.980488144327016471e+02, 2.976425824332936259e+02, 2.981477529670717672e+02, 2.980311683019050975e+02, 2.979532583070650276e+02, 2.973267247134525633e+02, 2.996409626714473120e+02, 2.972464177578896738e+02, 2.965819317500377110e+02, 2.985773219957753781e+02
1.897000000000000000e+03, 2.967627777443959189e+02, 2.964062110477825627e+02, 2.974969186966842472e+02, 2.979263292128890157e+02, 2.965671965208510983e+02, 2.982644032260201357e+02, 2.979044243124728837e+02, 2.975750462056377614e+02, 2.982472985138505237e+02, 2.980874481018855704e+02, 2.979027697249560447e+02, 2.973330292742568872e+02, 2.995020703166524640e+02, 2.966305392830626033e+02, 2.965169276682045165e+02, 2.985043415683236390e+02
1.898000000000000000e+03, 2.969807926866346293e+02, 2.967211170232719155e+02, 2.971563490329729120e+02, 2.982706832058917144e+02, 2.964934012689039946e+02, 2.982808460621170070e+02, 2.979709294102034960e+02, 2.977586277852036574e+02, 2.981372160307980153e+02, 2.983747459438515079e+02, 2.979172534776789121e+02, 2.974659920397337487e+02, 2.997523715984263504e+02, 2.964828858707502377e+02, 2.964943055305584494e+02, 2.987113375566087825e+02
1.899000000000000000e+03, 2.972603386881079359e+02, 2.965837723676773408e+02, 2.970265912572679099e+02, 2.978103468791719592e+02, 2.968353586724711022e+02, 2.981950114914853316e+02, 2.979936064218636602e+02, 2.974956335077853282e+02, 2.982850298338584025e+02, 2.982979902622716963e+02, 2.980944719928908739e+02, 2.973596848848512195e+02, 2.997247719690254826e+02, 2.963214700483210322e+02, 2.966473987638066205e+02, 2.984807318546960460e+02
1.900000000000000000e+03, 2.972437493510394688e+02, 2.965920258524768656e+02, 2.968144888908162216e+02, 2.976483218109287350e+02, 2.969148093946736822e+02, 2.982481628503806519e+02, 2.980927959453176186e+02, 2.974485405115584626e+02, 2.981069659270092416e+02, 2.982965193012777263e+02, 2.983719470159056755e+02, 2.973231829342345804e+02, 2.996310817731776979e+02, 2.965759866386875387e+02, 2.966264499955836982e+02, 2.984179649005059218e+02
1.901000000000000000e+03, 2.974567674206711558e+02, 2.971601525359958487e+02, 2.968676542746323435e+02, 2.978911589457727587e+02, 2.967112623705249348e+02, 2.982596985873235553e+02, 2.979611854702919800e+02, 2.975888931426250679e+02, 2.979722851176101699e+02, 2.982179675506969829e+02, 2.983669838438592592e+02, 2.974590967222572999e+02, 2.997315086064821799e+02, 2.962474317277103637e+02, 2.964469386713532231e+02, 2.985061557328340882e+02
1.902000000000000000e+03, 2.970895452987737144e+02, 2.966313891506773643e+02, 2.970893456887342268e+02, 2.983110577254037707e+02, 2.963955582925555063e+02, 2.979481044453410732e+02, 2.975093116196426308e+02, 2.975343367538833945e+02, 2.983815465557477182e+02, 2.980939245029398990e+02, 2.983441356990892928e+02, 2.976324402370004236e+02, 2.992174809952414307e+02, 2.964932355287229484e+02, 2.963504977159670943e+02, 2.984119718919924935e+02
1.903000000000000000e+03, 2.970576223219918575e+02, 2.966925454398971738e+02, 2.968135438160142598e+02, 2.974944079168768667e+02, 2.964801939494115572e+02, 2.983059100986267822e+02, 2.976083907198191127e+02, 2.972833881026309086e+02, 2.981023346347610072e+02, 2.978178822848420282e+02, 2.979796191803627039e+02, 2.972525251386734908e+02, 2.992935208966871983e+02, 2.961875370997328218e+02, 2.965396650515267538e+02, 2.985151310439284771e+02
1.904000000000000000e+03, 2.975633182646635646e+02, 2.970404645067317801e+02, 2.973090824777922876e+02, 2.975526972800561225e+02, 2.968421274732667712e+02, 2.980170790440174073e+02, 2.978421163108887413e+02, 2.973794667452063436e+02, 2.979855648490478757e+02, 2.983939098429238470e+02, 2.979065165985215913e+02, 2.972956394077531286e+02, 2.993761640289715160e+02, 2.962058631522608607e+02, 2.967639309511309875e+02, 2.988169472255709707e+02
