year, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
2.075000000000000000e+03, 1.737279831687602811e-09, 2.646129415597215222e-10, 1.728690495781249441e-13, 1.833901221300816685e-09, 2.323428218076085884e-09, 2.310027573028296916e-09, 3.592615248888190838e-11, 2.687811257001143414e-09, 1.038480847105995616e-11
2.076000000000000000e+03, 1.706722047038562411e-09, 2.650639370040302354e-10, 1.989982224833409733e-13, 1.893079453384837203e-09, 2.241054556563428386e-09, 2.282070386269314562e-09, 3.335114004314068598e-11, 2.690029273691374878e-09, 1.169139179242960522e-11
2.077000000000000000e+03, 1.828293196115522297e-09, 2.650042784400087654e-10, 2.018319966371587157e-13, 1.923939992790646446e-09, 2.222887372270584345e-09, 2.277097565332967219e-09, 3.298284507761478309e-11, 2.709875464818676752e-09, 1.279993461930909655e-11
2.078000000000000000e+03, 1.896332915704568938e-09, 2.648004174316990809e-10, 2.254251226674537346e-13, 1.665405202473698988e-09, 2.212993025911335444e-09, 2.270660260050178859e-09, 3.216115471290039826e-11, 3.231347855519341286e-09, 1.394925904398984111e-11
2.079000000000000000e+03, 1.889865612382807798e-09, 2.649117565443854733e-10, 1.913148933029535019e-13, 2.007484328919737931e-09, 2.176381701473166908e-09, 2.242128768606562654e-09, 3.096381532059116627e-11, 3.379191608197183148e-09, 1.514643037036577790e-11
2.080000000000000000e+03, 1.883083122207268926e-09, 2.658289415006346552e-10, 1.922867068612307334e-13, 2.021725019043315113e-09, 2.125699859453706357e-09, 2.230087596204333858e-09, 6.424272788601562362e-11, 2.973345271960419392e-09, 1.635176293529949991e-11
2.081000000000000000e+03, 1.809816013915844763e-09, 2.675876489354309374e-10, 2.258292310722359566e-13, 2.023240013430797742e-09, 2.136799559360225022e-09, 2.232133597779873017e-09, 4.504905217306012113e-11, 2.858320295669318446e-09, 1.650969914198428275e-11
2.082000000000000000e+03, 1.671716331092479439e-09, 2.686980785401475463e-10, 2.466797260040822114e-13, 1.869766294260572894e-09, 2.227076132027833740e-09, 2.230170191294673504e-09, 3.930316949914632391e-11, 3.099011142079743968e-09, 1.818758447089272806e-11
2.083000000000000000e+03, 1.855674353617991017e-09, 2.688008781262613605e-10, 2.598717804408158171e-13, 1.798303088189721637e-09, 2.367011640815298932e-09, 2.220002682418351993e-09, 6.796892270514278935e-11, 2.719500644521090804e-09, 1.972794435734609099e-11
2.084000000000000000e+03, 1.877782807769724209e-09, 2.688127580903400421e-10, 2.467036487826383689e-13, 1.918326408708500850e-09, 2.361759656597838044e-09, 2.202083432216354854e-09, 4.885331262975124776e-11, 3.106316444842672177e-09, 2.131432273102849751e-11
2.085000000000000000e+03, 1.844403029286750917e-09, 2.689387711556142822e-10, 2.197618902588648349e-13, 1.925096797616435342e-09, 2.219388957646858559e-09, 2.195995646227276918e-09, 7.180903460270893941e-11, 3.461126617421940513e-09, 2.292840481935752748e-11
2.086000000000000000e+03, 1.767903984740042915e-09, 2.689816202385547167e-10, 1.704651304821363720e-13, 1.835625857558738717e-09, 2.225147077416187344e-09, 2.195372134828375054e-09, 5.203081707537796434e-11, 3.432141764585812887e-09, 2.470226868988734904e-11
2.087000000000000000e+03, 1.774818258138090455e-09, 2.689280735771478900e-10, 1.454812017747932123e-13, 1.918645165763702417e-09, 2.003746720324860402e-09, 2.186353018423633443e-09, 7.243556392294389539e-11, 2.811405387485905557e-09, 2.517430192005423842e-11
2.088000000000000000e+03, 1.635099137286384126e-09, 2.683503601937232280e-10, 1.385084994332797003e-13, 1.736559629637926352e-09, 2.075733514115682166e-09, 2.169883077504688941e-09, 5.246344153434102202e-11, 2.500197315539846029e-09, 2.566374276779641185e-11
2.089000000000000000e+03, 1.705531658159511923e-09, 2.677867126715464531e-10, 1.401785045206319216e-13, 1.910170620294832919e-09, 1.989509193085106992e-09, 2.170489997244984412e-09, 7.161349934586974925e-11, 2.914291614440208552e-09, 2.612595001225766897e-11
2.090000000000000000e+03, 1.791501623758182458e-09, 2.668352236175613305e-10, 1.601246163781711890e-13, 1.957857873852132883e-09, 2.054814755874100826e-09, 2.212567981566773178e-09, 5.320505322853206082e-11, 2.794116175003105117e-09, 2.690822986491519559e-11
2.091000000000000000e+03, 1.722986472233316986e-09, 2.658255308790229612e-10, 4.228957622288147864e-13, 1.727986267360624322e-09, 2.084598352521822131e-09, 2.218580731718594436e-09, 7.044792275649044456e-11, 3.380418382414419457e-09, 2.608439356693783825e-11
2.092000000000000000e+03, 1.758098696372985644e-09, 2.665078711400657286e-10, 6.581359770994605894e-13, 1.766531490853091547e-09, 2.020933961039400654e-09, 2.188694072568463995e-09, 5.390258668418930830e-11, 3.546118097165656084e-09, 2.641881489577110878e-11
2.093000000000000000e+03, 1.810352005267991006e-09, 2.683467770640492185e-10, 7.660646981617100930e-13, 1.677838532538348606e-09, 2.045064510476633875e-09, 2.169061848441028544e-09, 7.116863382884977656e-11, 3.002608021346751889e-09, 2.677555649925737988e-11
2.094000000000000000e+03, 1.944285458987052979e-09, 2.700632568286627278e-10, 8.185896568562786091e-13, 1.761022016844433232e-09, 2.091894180488743293e-09, 2.156369642724281419e-09, 5.499166487706444364e-11, 3.026142033990382349e-09, 2.702619854725458801e-11
2.095000000000000000e+03, 1.912231570306215942e-09, 2.715411180750485065e-10, 7.761087814501440991e-13, 1.981963043654596387e-09, 2.194226571680027402e-09, 2.115015192515676562e-09, 7.154137681793914270e-11, 3.796167783167024517e-09, 2.731783005340186283e-11
2.096000000000000000e+03, 1.711469645485403289e-09, 2.726406863560347142e-10, 3.689119195513839140e-13, 1.933775466672955705e-09, 2.367051912051163113e-09, 2.081985414614267596e-09, 5.355034104543261885e-11, 3.677559330092045328e-09, 2.872582505635799712e-11
2.097000000000000000e+03, 1.818799155576875372e-09, 2.733158687584162727e-10, 1.762285860876481384e-13, 1.727356790788204988e-09, 2.350896216608214485e-09, 2.040274443081581503e-09, 4.495749080941737834e-11, 3.012044741055962944e-09, 2.935249608414642173e-11
2.098000000000000000e+03, 1.757643072150264862e-09, 2.736192614531871717e-10, 1.037163743091607056e-13, 1.973719784190376149e-09, 2.099509910005849959e-09, 2.016655960612271373e-09, 4.213072071405546593e-11, 3.190976858235671470e-09, 3.004306486644129772e-11
2.099000000000000000e+03, 1.725592475906025191e-09, 2.741158527878061327e-10, 7.837608514579594172e-14, 1.851738178493436942e-09, 2.089815424397354169e-09, 2.028152736061443699e-09, 4.001395313020930496e-11, 2.997309477027869358e-09, 3.035225743019748991e-11
2.100000000000000000e+03, 1.677156037039744098e-09, 2.493129199134165967e-10, 5.502653294328675687e-14, 1.696291727044733475e-09, 2.077206104840035289e-09, 2.047969657332820269e-09, 3.872836033276796364e-11, 2.896662110716192717e-09, 3.074601536643822996e-11
