year, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CanESM5, CMCC-ESM2, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR
2.079000000000000000e+03, 8.055631493529531950e-10, -2.050292230469592364e-10, -3.673959762912484288e-10, -3.790770165371862189e-10, -1.442945688115052302e-10, 2.506113079512160217e-10, -6.958707143030340327e-10, 9.659247608881510797e-10
2.080000000000000000e+03, -4.295879895053377763e-10, -2.059758987496800638e-10, 1.023085282685602637e-09, 1.712017925674313715e-09, -1.802710877508375724e-09, 3.124877813737406251e-10, -4.955273757085929340e-10, -3.661452926816583656e-10
2.081000000000000000e+03, -6.316757163913247937e-10, 9.035825319571089118e-10, 6.760105574972764584e-11, 5.218910320624971867e-10, 1.333185847463106488e-09, 4.754460513814805752e-10, 5.841414869357618749e-10, 1.393051435868702748e-09
2.082000000000000000e+03, -6.876566600160615641e-10, -1.235719312611833668e-10, -6.970094583759576623e-10, 9.169082672833400993e-11, 2.498507049478273385e-09, -1.098563022754832789e-09, 6.367453093097963532e-10, -1.261572139525084992e-10
2.083000000000000000e+03, 7.241445434718437369e-11, 5.493135450654298689e-11, 1.082749799440635807e-09, 6.197515722125683649e-10, -2.425436138786718383e-09, 7.206753290369931435e-10, 9.186691688768842705e-10, 2.015366935279041868e-09
2.084000000000000000e+03, -3.453695071943472466e-10, -3.982360513409759858e-10, 3.705394186251338453e-10, 8.751925796468751174e-10, -2.704132480138477616e-09, 2.848071383546410333e-10, -1.406188323482464131e-09, 3.189980211063884016e-10
2.085000000000000000e+03, -6.045926895640689590e-10, 5.533180882348736859e-10, -2.144354252706291415e-09, 9.224225157394188596e-10, 3.117298494889630837e-10, 3.138703156570484615e-10, -3.668695744342870584e-10, -2.687975249375361584e-10
2.086000000000000000e+03, 6.251244981311779018e-11, -4.976154216709541084e-10, 1.943120244221161644e-10, -2.169016382212167603e-09, 7.159084300643397603e-10, 2.181360473259209309e-10, 3.709149100573845879e-10, -6.663072941273641520e-10
2.087000000000000000e+03, -9.903965682778455695e-10, 7.477220053552871187e-10, -1.188854073947890099e-09, -5.398012896934618524e-10, 2.341354243786167639e-09, -5.971449005400402468e-10, 8.078522986358171108e-10, 2.613157806171939921e-10
2.088000000000000000e+03, -1.450123633485105783e-10, -5.821068038944455857e-11, 7.870107098307684766e-10, 1.302416603068842490e-10, -2.738749438695334617e-09, 2.762379698417633717e-10, -5.272420220871867210e-10, -7.185659263951390285e-10
2.089000000000000000e+03, 1.769653757344102225e-10, 5.332189974132914009e-11, 3.132676988987899453e-10, 3.626048431273531966e-09, -2.861450244044260356e-10, 4.542979418726631819e-10, 9.522496737462868008e-10, 2.486149568175499292e-10
2.090000000000000000e+03, -4.369899949158554513e-10, 7.039432925284264609e-10, -3.177725229964960831e-10, -5.120723162503614778e-11, 2.092573506976963466e-09, 9.256873476688175931e-11, 6.612194339284847965e-10, 3.647930372251203087e-10
