year, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, ACCESS-ESM1-5, CNRM-ESM2-1, MIROC-ES2L
1.913000000000000000e+03, 3.810086617087999894e+00, 1.226011967487999899e+00, 1.573478563840000066e-01, 6.597764448256000058e+00, 8.283658649599999757e-01, 2.871640981504000045e+00, 5.831702085632000099e+00, 5.686600007679999402e-01, 8.773393973247999966e+00
1.914000000000000000e+03, 3.843133800447999793e+00, 1.238250684415999947e+00, 1.497556418559999880e-01, 6.655568248832000045e+00, 8.253350215679999824e-01, 2.904177770496000122e+00, 5.877056143359999929e+00, 5.614758133759999437e-01, 8.809501163520000233e+00
1.915000000000000000e+03, 3.885988315135999738e+00, 1.249857765375999907e+00, 1.428666286080000070e-01, 6.732687867903999646e+00, 8.236157501440000139e-01, 2.935067246591999801e+00, 5.924100505600000233e+00, 5.546470277120000292e-01, 8.858395213824000081e+00
1.916000000000000000e+03, 3.917243744255999971e+00, 1.260369608703999944e+00, 1.368027299840000044e-01, 6.794470490111999439e+00, 8.234553180160000263e-01, 2.965091909632000089e+00, 5.971274891263999685e+00, 5.481504767999999528e-01, 8.912950525952000547e+00
1.917000000000000000e+03, 3.950470496255999997e+00, 1.271816912895999963e+00, 1.318028656639999852e-01, 6.827534188543999960e+00, 8.242620661759999523e-01, 2.994656247807999883e+00, 6.018638020607999906e+00, 5.425363681279999906e-01, 8.966629228543999020e+00
1.918000000000000000e+03, 3.985671716864000125e+00, 1.282379218943999977e+00, 1.277623255039999906e-01, 6.870364323839999621e+00, 8.263677378559999287e-01, 3.024075096064000157e+00, 6.067526828032000275e+00, 5.386310451200000404e-01, 9.015082876928000033e+00
1.919000000000000000e+03, 4.014487109632000283e+00, 1.293976207360000075e+00, 1.242029752319999958e-01, 6.911120900095999886e+00, 8.292529602560000379e-01, 3.052451659776000081e+00, 6.115035185152000174e+00, 5.372241510399999864e-01, 9.062858096639999417e+00
1.920000000000000000e+03, 4.050133188608000090e+00, 1.306519404544000063e+00, 1.221624463359999996e-01, 6.989361446911999565e+00, 8.332205752319999936e-01, 3.081566683135999796e+00, 6.163594215424000211e+00, 5.384106147839999856e-01, 9.205860794368000199e+00
1.921000000000000000e+03, 4.103952662528000062e+00, 1.326634369023999893e+00, 1.213800366079999943e-01, 7.078647693311999944e+00, 8.461678018559999348e-01, 3.111425933311999792e+00, 6.231004020736000015e+00, 5.557945630720000363e-01, 9.315147579392000665e+00
1.922000000000000000e+03, 4.151894605824000273e+00, 1.344691765247999937e+00, 1.217133363200000040e-01, 7.145154150399999793e+00, 8.600934809599999342e-01, 3.139884285951999754e+00, 6.295269146624000278e+00, 5.707928043519999717e-01, 9.409146126335999227e+00
1.923000000000000000e+03, 4.208251371520000284e+00, 1.362780618751999961e+00, 1.236803010560000027e-01, 7.235182264319999668e+00, 8.752059514879999558e-01, 3.167047909376000003e+00, 6.359127425023999969e+00, 5.827288760319999650e-01, 9.483569856512000129e+00
1.924000000000000000e+03, 4.248085725183999628e+00, 1.378483044351999975e+00, 1.272334909439999939e-01, 7.300828364800000081e+00, 8.906997759999999431e-01, 3.193825918976000100e+00, 6.421886795775999524e+00, 5.931768872959999328e-01, 9.545505046527999582e+00
