year, MIROC-ES2L, GFDL-ESM4, INM-CM5-0, TaiESM1, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, CMCC-CM2-SR5, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM4-8, NorESM2-MM
1.892000000000000000e+03, 5.797396907999999627e+01, 5.151575894399999811e+01, 6.563637743399999636e+01, 4.276680924599999400e+01, 3.689632765799999703e+01, 3.974615319599999452e+01, 4.332869404199999508e+01, 3.866541447599999515e+01, 6.194162361599999400e+01, 4.850517076199999877e+01, 6.431345800199999019e+01, 6.037657471799999342e+01, 4.072654042199999935e+01, 4.116690518399999377e+01, 6.606823141799999632e+01, 3.669240011399999446e+01
1.893000000000000000e+03, 5.697342246599999527e+01, 5.286770726399999631e+01, 6.555796316999999362e+01, 4.238599627799999325e+01, 3.816056647799999979e+01, 3.900988614599999948e+01, 4.288886539199999959e+01, 3.788587214999999730e+01, 6.112275589799999409e+01, 4.940290607399999345e+01, 6.363644315399999840e+01, 6.145174733399999667e+01, 4.111759470599999844e+01, 4.073359660199999865e+01, 6.655537195200000156e+01, 3.793948334999999616e+01
1.894000000000000000e+03, 5.735656121399999563e+01, 5.287120775999999722e+01, 6.495577536599999746e+01, 4.276734535800000003e+01, 3.748133622599999626e+01, 3.878596477800000031e+01, 4.434271835399999873e+01, 3.877059886199999994e+01, 6.270686042399999849e+01, 4.960384163999999885e+01, 6.396493001399999656e+01, 6.168970222199999398e+01, 4.062488412599999776e+01, 4.026142384199999924e+01, 6.523935496199999307e+01, 3.765899428199999477e+01
1.895000000000000000e+03, 5.785559870399999483e+01, 5.216757652799999789e+01, 6.722667089999998780e+01, 4.315207667399999991e+01, 3.773378190599999726e+01, 3.996267542999999733e+01, 4.327219729799999470e+01, 4.034530565999999396e+01, 6.354338041799999814e+01, 5.001223678199999512e+01, 6.362925688799999335e+01, 6.093146640599999841e+01, 3.960191935799999641e+01, 4.186416220199999572e+01, 6.546207007799999644e+01, 3.712293352799999724e+01
1.896000000000000000e+03, 5.743797928199999347e+01, 5.153563844999999333e+01, 6.690705353999999261e+01, 4.356276211799999487e+01, 3.848510345399999721e+01, 4.031370264599999587e+01, 4.387085306999999545e+01, 4.022710478999999850e+01, 6.072738906599999353e+01, 4.639615739999999988e+01, 6.514071823799999095e+01, 6.037045673399999401e+01, 4.141999340999999646e+01, 4.213578176999999414e+01, 6.701280951599999014e+01, 3.741331307399999417e+01
1.897000000000000000e+03, 5.702544503999999392e+01, 5.382232169399999577e+01, 6.693710734799999784e+01, 4.132434472199999931e+01, 3.776883416999999810e+01, 3.931165018799999444e+01, 4.300879285799999963e+01, 3.968425196999999827e+01, 6.083361019799999525e+01, 5.031877458599999642e+01, 6.360836428799999709e+01, 6.103757716199999805e+01, 4.124260340999999386e+01, 4.126410307799999799e+01, 6.596415473399999030e+01, 3.745593397799999735e+01
1.898000000000000000e+03, 5.821600787999999227e+01, 5.329700683199999389e+01, 6.626144066399999133e+01, 4.149786367799999454e+01, 3.841651659599999391e+01, 3.922119311399999475e+01, 4.261765579199999365e+01, 3.940430689799999442e+01, 6.137162618399999303e+01, 4.854189443399999959e+01, 6.477758908199999155e+01, 6.235758739799999262e+01, 4.051385375399999589e+01, 4.194395616599999954e+01, 6.484845441599999560e+01, 3.740100615000000062e+01
1.899000000000000000e+03, 5.780496765599999520e+01, 5.109026340599999827e+01, 6.601192388999999139e+01, 4.296671989199999331e+01, 3.794931863999999422e+01, 4.000809515399999583e+01, 4.131028754999999819e+01, 3.903799654799999530e+01, 6.398457299999999748e+01, 5.004532987199999639e+01, 6.446258386199998824e+01, 6.144715490399999425e+01, 3.949079831999999612e+01, 4.151862224999999995e+01, 6.534225692999999069e+01, 3.736914296399999813e+01
1.900000000000000000e+03, 5.733668959199999904e+01, 5.077867984199999540e+01, 6.655546655999999928e+01, 4.320744600599999785e+01, 3.794973255000000023e+01, 3.925734125399999641e+01, 4.073312750399999516e+01, 3.886283377799999528e+01, 6.347245989599999660e+01, 5.047666745399999400e+01, 6.360798585599999200e+01, 6.141730213799999660e+01, 3.962452278600000000e+01, 4.079857652999999829e+01, 6.626228425200000061e+01, 3.739169908799999575e+01
1.901000000000000000e+03, 5.763729468599999706e+01, 5.236546886999999373e+01, 6.715434308399998997e+01, 4.182969729599999908e+01, 3.809675338199999572e+01, 4.006828555199999897e+01, 4.114423474199999475e+01, 3.909555368999999558e+01, 6.202479587399999872e+01, 5.004744672599999689e+01, 6.507531257399999447e+01, 6.046302671999999490e+01, 4.153183189199999958e+01, 4.231168957799999930e+01, 6.710212735199999656e+01, 3.817795858199999515e+01
1.902000000000000000e+03, 5.656062016799999270e+01, 5.467525223399999845e+01, 6.885921077999999795e+01, 4.343397303599999759e+01, 3.823403747399999730e+01, 3.999792479399999934e+01, 4.368182628599999617e+01, 3.999235868999999610e+01, 6.141153893399999220e+01, 4.978927331999999950e+01, 6.374607805799999483e+01, 6.066789640199999667e+01, 4.197573656999999514e+01, 4.358195965799999527e+01, 6.799279071600000179e+01, 3.825377112599999663e+01
1.903000000000000000e+03, 5.782144127399999434e+01, 5.345457251399999876e+01, 6.886358639999998843e+01, 4.099151377799999807e+01, 3.670932706199999984e+01, 3.898066804199999780e+01, 4.411585625399999344e+01, 3.996571471200000047e+01, 6.146373889799999546e+01, 5.080818176999999736e+01, 6.242953678199999246e+01, 6.037141858199999689e+01, 3.922895491199999896e+01, 4.012244863199999401e+01, 6.807336519599999747e+01, 3.711230983799999450e+01
1.904000000000000000e+03, 5.752906313399999760e+01, 5.112842196599999767e+01, 6.752662556399999971e+01, 4.133976582599999716e+01, 3.715286513399999535e+01, 3.938367446999999544e+01, 4.336645051799999351e+01, 4.002126931799999454e+01, 6.080732494199999394e+01, 5.073265304999999614e+01, 6.410391704999999263e+01, 6.060320423999999662e+01, 3.926614768199999617e+01, 4.189049081999999657e+01, 6.638394225599999743e+01, 3.822004337399999940e+01
1.905000000000000000e+03, 5.727970798199999791e+01, 5.234571156599999853e+01, 6.761938870799998824e+01, 4.289511346199999764e+01, 3.748683137399999765e+01, 3.976845308999999418e+01, 4.392339992999999509e+01, 3.993244817399999391e+01, 6.183747597599999324e+01, 4.892083495199999277e+01, 6.477959950199999639e+01, 6.146455883399999465e+01, 4.049911461599999996e+01, 4.228932661199999643e+01, 6.724975525199999993e+01, 3.837142799999999454e+01
1.906000000000000000e+03, 5.752297274399999338e+01, 5.409174162599999391e+01, 6.710546228399999791e+01, 4.263028201799999550e+01, 3.774563944199999810e+01, 3.861233544599999590e+01, 4.270487254199999683e+01, 4.020753275999999943e+01, 6.361036288199999689e+01, 4.771479976199999840e+01, 6.457500970199998847e+01, 6.103881494999999546e+01, 4.071111931799999439e+01, 4.193598544199999623e+01, 6.745186947599999883e+01, 3.818031983999999568e+01
1.907000000000000000e+03, 5.757098236199999519e+01, 5.383497551399999281e+01, 6.593054918400000020e+01, 4.204168622999999627e+01, 3.890437457399999488e+01, 3.996224180999999476e+01, 4.322581178399999402e+01, 3.976612730999999457e+01, 6.312028161599999265e+01, 4.852902774599999702e+01, 6.459420724199999597e+01, 5.933274100199999879e+01, 4.087396727999999513e+01, 4.031658818999999738e+01, 6.855823119599999416e+01, 3.894520975199999668e+01
1.908000000000000000e+03, 5.741131953599999349e+01, 5.293418120999999843e+01, 6.663762572399998874e+01, 4.234886263799999995e+01, 3.767914578599999942e+01, 3.945817432799999835e+01, 4.241549032199999658e+01, 3.923209668599999844e+01, 6.372659275199999485e+01, 4.745508897599999898e+01, 6.413575658399999213e+01, 6.072073891199999451e+01, 4.051394047799999498e+01, 4.070981451599999446e+01, 6.699513358800000162e+01, 3.760106264999999581e+01
