year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, MPI-ESM1-2-LR, CanESM5, INM-CM4-8, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-LM
1.897000000000000000e+03, -1.029437100843749953e+00, 1.394765061328124833e-01, -2.496299063203124835e-01, 4.713558112968749825e-01, 1.672205485078124831e-01, -1.657159640999999795e+00, 1.540501078499999954e+00, -6.344385994687499197e-01, -1.029989411999999938e+00, -1.582250430937499841e+00, -9.140471694140624159e-02, 3.053046971249999686e-01, 7.203249706640624250e-02, 3.091223085468750020e-01, 8.512137374062499484e-01, -2.568265508671874753e-01
1.898000000000000000e+03, -1.001598943218749982e+00, 6.047480098124999870e-01, -4.298114428593749481e-01, -3.170817608906249530e-01, -3.298552267499999524e-01, -2.329333220249999670e+00, 5.952084314062499049e-01, -1.049037525562499962e+00, -2.604514877999999811e+00, -4.874535842343749592e-01, 9.384091759687499534e-01, -9.390921274687499265e-01, 4.220250997499999657e-01, -4.047711197343749623e-01, 1.968064287890624875e-01, -1.908846516796874893e-01
1.899000000000000000e+03, -6.969041474062499519e-01, 4.500097581093749910e-01, -5.222528519062499264e-01, -1.337972328562499813e+00, -5.062046927343749614e-01, 5.890387009570312304e-02, 6.546351284999999409e-01, 1.000728438749999977e-01, -1.250514746999999982e+00, 1.156047303937499882e+00, -2.640974928750000061e-01, 8.414140485937499081e-02, 7.715895257812499519e-01, -1.353325679437499929e+00, -3.351210242624999669e+00, -5.865169373437499889e-01
1.900000000000000000e+03, -4.201253945156249725e-01, 5.263655897812499207e-01, -7.173355949999999925e-01, -1.697566742437499832e+00, -1.154633850562500008e+00, 7.119242760937499748e-01, 9.181915818749999403e-01, -5.679294218437499486e-01, 6.581405519999999898e-01, 8.049312697499999558e-01, -4.508137721249999563e-01, 1.082893638937499903e+00, -3.684973515820311879e-02, -8.279887052812499038e-01, -3.834716745374999736e+00, 6.942474087890623813e-02
1.901000000000000000e+03, -6.654510525937499255e-01, 6.137860919062499976e-01, -3.817776801093749617e-01, -1.052017307999999929e+00, -8.683370462812499690e-01, -1.645249503937499913e+00, 1.486403411062499957e+00, -4.491898221093749699e-01, -1.085244425999999818e+00, -8.681932864687499363e-01, 5.753296645312500068e-01, 1.944514317937499959e+00, 1.121958932080078034e-02, 8.262543484687498996e-01, -5.880528390937499461e-01, -8.556221868749999127e-01
1.902000000000000000e+03, -2.967433383374999956e+00, 1.857554167499999798e+00, -1.207759025830078096e-02, 1.643431625999999923e+00, 5.345818264687499655e-01, 1.375273010812499974e+00, 3.176818133624999874e+00, -5.556831060937499345e-01, -1.637832630937499978e+00, -7.732464592499999068e-01, -4.791369497343749839e-01, 3.059660168999999819e+00, 1.483707976171874943e-01, 8.626463381249999118e-01, 2.792225280374999841e+00, -4.127045179218749582e-01
1.903000000000000000e+03, 6.266917687499999889e-01, -7.153013382187499714e-01, -9.807274082812499350e-01, 1.825154376749999807e+00, 9.745456131562498792e-01, -1.876564585687499953e+00, 4.775325988499999674e+00, -8.569597567499999125e-01, 1.511772152062499819e+00, 3.499309396406249939e-01, -1.504997825062499794e+00, 4.495274975250000082e+00, -7.216943999062499504e-01, -1.682072957812499769e+00, 2.445338858203124910e-01, -1.363049484749999873e+00
1.904000000000000000e+03, 3.084339983906249638e-01, -5.892234822070312183e-02, -2.854865077031250031e-01, 1.013408559281249843e+00, 6.213336668437499100e-01, -1.620547207312499793e+00, 3.414842992124999643e+00, -6.730936050937499360e-01, 2.386434814874999866e+00, -9.544792317187499320e-01, 2.468229097499999858e-01, 2.052778145062499782e+00, 7.161185024999999760e-01, -1.179000091687499863e+00, -3.469306156874999658e+00, -1.117888990312499997e+00
1.905000000000000000e+03, -3.875996137499999605e-01, 1.329363246937499854e+00, 1.189452689648437395e-01, 1.535790018937499779e+00, 8.307457647187499461e-01, 5.511737121679687046e-02, 2.191699029375000052e+00, -4.819662894374999729e-01, -1.706618313562499933e+00, -7.514249639062499098e-01, 8.412116515312498821e-01, 1.981262011499999920e+00, 5.806208140312499877e-01, 1.478927377265625009e-01, -1.149633053999999932e+00, -8.659122235312499694e-01
1.906000000000000000e+03, -5.348698388437499451e-01, 1.109039446687499986e+00, -1.522164649921874946e-01, -1.790301953671874780e-01, -4.286773787343749476e-01, 7.171545093749999433e-02, 1.256187408187499965e+00, -1.683813104437499764e+00, -3.022265125124999674e+00, 3.010515254999999724e-01, 1.194437471835937403e-01, 1.969490583562499841e+00, 3.031727218593749940e-01, -1.332209986874999808e-01, 5.352944661562499817e-01, -7.972284169687499089e-01
1.907000000000000000e+03, -9.007162647187498816e-01, -5.057396291249999232e-01, 4.318068339843749714e-01, 5.306703769687499683e-01, 2.395301635546874808e-01, -9.522997368749999136e-01, -2.282879491171874720e-01, -2.500889029453124968e-01, -2.593331177624999651e+00, 3.432805392656249621e-01, 2.555656036171874979e-01, 3.763907338499999700e+00, -1.038055113562500020e+00, -4.222456746679686956e-02, 3.323482645781249967e-01, 2.152867865624999710e-01
1.908000000000000000e+03, -1.502046252562499795e+00, 2.265349293984374734e-01, -6.225765055312499907e-01, -5.844404888437499945e-01, -6.410169351562499118e-01, -4.820395859999999644e-01, 1.792478984765624728e-01, -5.030367721874999809e-01, -3.555125221499999544e+00, 9.585360424687499048e-01, -5.952262935937499000e-01, 1.377336894187499938e+00, -8.132084226562499296e-01, -5.508125187187499217e-01, -1.029761761499999873e+00, -4.497404086406249779e-01
