year, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, TaiESM1, NorESM2-LM, UKESM1-0-LL, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, IPSL-CM6A-LR, ACCESS-ESM1-5
1.890000000000000000e+03, 4.015374320271359920e+02, 5.246176387399680152e+02, 5.067101752524799849e+02, 4.968655397847039694e+02, 5.804727489003520304e+02, 4.003209160949759848e+02, 5.223992545771519644e+02, 3.914147309813760103e+02, 5.589132210339839730e+02, 5.057419621171200106e+02, 5.854962500239359997e+02, 3.987185577492479638e+02, 5.780998465781759705e+02, 5.054416499507199774e+02, 3.620339670056960131e+02, 6.364691232194560371e+02
1.891000000000000000e+03, 4.011994382336000058e+02, 5.240399656386559855e+02, 5.064192918814719633e+02, 4.960176863969280134e+02, 5.807656119828479859e+02, 4.001088520847359860e+02, 5.215333489049600075e+02, 3.915879725137920104e+02, 5.574514893127679898e+02, 5.049356491161599934e+02, 5.848620041502720142e+02, 4.000604665937920004e+02, 5.783013073879039894e+02, 5.049889671086079943e+02, 3.614047542968319817e+02, 6.362611528499199949e+02
1.892000000000000000e+03, 4.006705532764160012e+02, 5.237300904591360222e+02, 5.070587051376639920e+02, 4.962155568824319971e+02, 5.806006583951359517e+02, 4.007070604984319857e+02, 5.216143493038080123e+02, 3.932672376176639659e+02, 5.569570983116799425e+02, 5.038958643773439690e+02, 5.844725043036160059e+02, 3.990949713674239661e+02, 5.785569921597440270e+02, 5.034583145840639986e+02, 3.611737655869440005e+02, 6.372375868211199759e+02
1.893000000000000000e+03, 3.995843963125760183e+02, 5.233585757880319989e+02, 5.073672045854719954e+02, 4.953430074327039847e+02, 5.802410891018239454e+02, 4.002568606842879717e+02, 5.208910499676160271e+02, 3.915690478141439712e+02, 5.550178534686720013e+02, 5.031630355824639764e+02, 5.844522374266880433e+02, 3.976110266122240091e+02, 5.787432863662079399e+02, 5.031796785807359811e+02, 3.614281081815040011e+02, 6.378122400235520217e+02
1.894000000000000000e+03, 3.992111368110079752e+02, 5.227894590668799992e+02, 5.077874067374079914e+02, 4.951793624678400079e+02, 5.797926676725760444e+02, 4.000211743539200029e+02, 5.196729234227200322e+02, 3.913660099461120012e+02, 5.558371855892479516e+02, 5.033526181232639942e+02, 5.846425581649920105e+02, 3.974981495029759913e+02, 5.788373729935359506e+02, 5.035888077701119983e+02, 3.616886583459839812e+02, 6.389522854051839431e+02
1.895000000000000000e+03, 3.990260841185279901e+02, 5.225952124600320303e+02, 5.071183649177600046e+02, 4.952595240058880108e+02, 5.804863048908799783e+02, 4.007699750584320100e+02, 5.193946900725759406e+02, 3.916501824307200081e+02, 5.560324052746240113e+02, 5.030458635059200105e+02, 5.843706330480639508e+02, 3.983085225902079856e+02, 5.781594392494080239e+02, 5.029888880803840152e+02, 3.609377772666879878e+02, 6.396016307732479618e+02
1.896000000000000000e+03, 3.979351624253440036e+02, 5.222809080954880301e+02, 5.077622744678399727e+02, 4.948965657149440176e+02, 5.814329425264639895e+02, 4.000265430630399806e+02, 5.199787720703999412e+02, 3.909364125532159733e+02, 5.573732068229120387e+02, 5.030545876582399956e+02, 5.843993556418560047e+02, 4.002702824570880011e+02, 5.788638138859520268e+02, 5.025437885399039715e+02, 3.607247737323519914e+02, 6.404231774863359306e+02
1.897000000000000000e+03, 3.978720800931839676e+02, 5.215063375871999369e+02, 5.078817282457599731e+02, 4.948593202954239700e+02, 5.818623721471999488e+02, 3.988613654118399836e+02, 5.200311505387519446e+02, 3.847245141114880198e+02, 5.566716843130880079e+02, 5.029797612748799907e+02, 5.842725869977599586e+02, 4.023590122946559973e+02, 5.792718357790720347e+02, 5.022910230036479788e+02, 3.616180598210559651e+02, 6.402598345113599407e+02
1.898000000000000000e+03, 3.980325038325759692e+02, 5.215968338903039694e+02, 5.083820919357439720e+02, 4.943993225871359982e+02, 5.818125773701119670e+02, 3.982762096721920102e+02, 5.186808866406399829e+02, 3.847859858309120114e+02, 5.526982355845119628e+02, 5.028174249328640144e+02, 5.846728913715199951e+02, 4.012769154170879915e+02, 5.784347198095359772e+02, 5.016737892270080010e+02, 3.613231499182080029e+02, 6.399040233144320382e+02
1.899000000000000000e+03, 3.971222056468479877e+02, 5.215232154664960262e+02, 5.085206046310399870e+02, 4.940637782671360014e+02, 5.819111602913279739e+02, 3.986286318714879826e+02, 5.185672377794560362e+02, 3.838505218211839747e+02, 5.517418336092159734e+02, 5.026027101224959779e+02, 5.850212534845439905e+02, 4.004294646824960182e+02, 5.777346401402879792e+02, 5.009323704975359988e+02, 3.603843975741439749e+02, 6.388333684981760143e+02
