year, CMCC-CM2-SR5, CanESM5, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, CNRM-ESM2-1, INM-CM5-0, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4
1.893000000000000000e+03, 2.872748718261718750e+02, 2.866727600097656250e+02, 2.867268676757812500e+02, 2.881945495605468750e+02, 2.864845275878906250e+02, 2.876225280761718750e+02, 2.875933837890625000e+02, 2.858058776855468750e+02, 2.867198181152343750e+02, 2.868429260253906250e+02, 2.869421997070312500e+02, 2.867662658691406250e+02, 2.863852539062500000e+02, 2.864241638183593750e+02, 2.869706726074218750e+02, 2.866665039062500000e+02
1.894000000000000000e+03, 2.873952331542968750e+02, 2.867580871582031250e+02, 2.869311218261718750e+02, 2.879402465820312500e+02, 2.864786071777343750e+02, 2.877537536621093750e+02, 2.875607604980468750e+02, 2.859657897949218750e+02, 2.866164855957031250e+02, 2.869718017578125000e+02, 2.869611511230468750e+02, 2.868941040039062500e+02, 2.862951660156250000e+02, 2.864831237792968750e+02, 2.869672546386718750e+02, 2.866826171875000000e+02
1.895000000000000000e+03, 2.870867919921875000e+02, 2.868982849121093750e+02, 2.870366516113281250e+02, 2.879427185058593750e+02, 2.865022583007812500e+02, 2.879006958007812500e+02, 2.877016906738281250e+02, 2.860903625488281250e+02, 2.866701354980468750e+02, 2.869090881347656250e+02, 2.870696105957031250e+02, 2.866953430175781250e+02, 2.863204345703125000e+02, 2.865530090332031250e+02, 2.869042663574218750e+02, 2.867216491699218750e+02
1.896000000000000000e+03, 2.869487304687500000e+02, 2.868137207031250000e+02, 2.871977844238281250e+02, 2.880180969238281250e+02, 2.865148315429687500e+02, 2.876964416503906250e+02, 2.876390991210937500e+02, 2.858833007812500000e+02, 2.867377014160156250e+02, 2.869888305664062500e+02, 2.869493713378906250e+02, 2.865893554687500000e+02, 2.863256530761718750e+02, 2.866297607421875000e+02, 2.869632873535156250e+02, 2.867951965332031250e+02
1.897000000000000000e+03, 2.870891418457031250e+02, 2.868677978515625000e+02, 2.870311584472656250e+02, 2.882488708496093750e+02, 2.866755065917968750e+02, 2.877616271972656250e+02, 2.876794128417968750e+02, 2.859506225585937500e+02, 2.868397216796875000e+02, 2.870409545898437500e+02, 2.868684692382812500e+02, 2.866643676757812500e+02, 2.863401794433593750e+02, 2.865009460449218750e+02, 2.871184997558593750e+02, 2.867609863281250000e+02
1.898000000000000000e+03, 2.871155090332031250e+02, 2.867745056152343750e+02, 2.869730529785156250e+02, 2.883352050781250000e+02, 2.865912170410156250e+02, 2.878028259277343750e+02, 2.878267517089843750e+02, 2.859518432617187500e+02, 2.866614990234375000e+02, 2.870796203613281250e+02, 2.870213317871093750e+02, 2.867173156738281250e+02, 2.863975524902343750e+02, 2.865368347167968750e+02, 2.872917175292968750e+02, 2.867066345214843750e+02
1.899000000000000000e+03, 2.872649230957031250e+02, 2.868379211425781250e+02, 2.870541687011718750e+02, 2.881953735351562500e+02, 2.865910339355468750e+02, 2.877946166992187500e+02, 2.877472229003906250e+02, 2.860973815917968750e+02, 2.865972595214843750e+02, 2.871779785156250000e+02, 2.869187316894531250e+02, 2.867242736816406250e+02, 2.864230651855468750e+02, 2.864585876464843750e+02, 2.871769714355468750e+02, 2.868634338378906250e+02
1.900000000000000000e+03, 2.873300781250000000e+02, 2.868653259277343750e+02, 2.870969238281250000e+02, 2.881247253417968750e+02, 2.865464782714843750e+02, 2.877465515136718750e+02, 2.877756958007812500e+02, 2.861432800292968750e+02, 2.866018371582031250e+02, 2.871252136230468750e+02, 2.869997863769531250e+02, 2.866347045898437500e+02, 2.864436035156250000e+02, 2.865378112792968750e+02, 2.871142578125000000e+02, 2.869147033691406250e+02
1.901000000000000000e+03, 2.874365234375000000e+02, 2.868172912597656250e+02, 2.870291442871093750e+02, 2.882910461425781250e+02, 2.865795288085937500e+02, 2.878229064941406250e+02, 2.876866149902343750e+02, 2.859966125488281250e+02, 2.867323303222656250e+02, 2.870639953613281250e+02, 2.870140075683593750e+02, 2.868700866699218750e+02, 2.864682922363281250e+02, 2.863830871582031250e+02, 2.869965209960937500e+02, 2.866913146972656250e+02
1.902000000000000000e+03, 2.873280334472656250e+02, 2.868223571777343750e+02, 2.870784606933593750e+02, 2.884447326660156250e+02, 2.866257629394531250e+02, 2.876659545898437500e+02, 2.875383605957031250e+02, 2.859806213378906250e+02, 2.867264404296875000e+02, 2.869785156250000000e+02, 2.868693542480468750e+02, 2.866629028320312500e+02, 2.865010375976562500e+02, 2.865105285644531250e+02, 2.868076171875000000e+02, 2.866441040039062500e+02
