year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, IPSL-CM6A-LR, NorESM2-MM, TaiESM1, NorESM2-LM, CNRM-ESM2-1, MPI-ESM1-2-LR
2.073000000000000000e+03, 3.345958924587200077e-11, 1.304430324399331936e-13, 1.667935894388054643e-12, 2.971661620996415958e-12, 1.214594190509087150e-11, 4.666069819920248231e-10, 5.033269870606918031e-12, 3.352966017764556912e-10, 4.653806732302043068e-11, 4.795318885180189715e-12
2.074000000000000000e+03, 3.422493394589233004e-11, 1.198640449212994281e-13, 1.499106227528130426e-12, 3.034079481743164673e-12, 1.228977374005235240e-11, 4.490523185870913590e-10, 4.965413210136712456e-12, 3.877540565708220322e-10, 4.909631979433860024e-11, 5.016407538832422592e-12
2.075000000000000000e+03, 3.245420279864832668e-11, 1.105255097440890140e-13, 1.563679242373157896e-12, 2.251357791557640535e-12, 1.246842941706086476e-11, 5.072656853576670617e-10, 4.947328666676699181e-12, 4.095965463805105483e-10, 4.934076716966977938e-11, 3.821920843265444441e-12
2.076000000000000000e+03, 2.561904254824472851e-11, 1.183702522380933517e-13, 1.930130273698040872e-12, 2.117210876551927066e-12, 9.297815384927711260e-12, 4.565114415899792892e-10, 4.994478425893369440e-12, 4.308471308585223839e-10, 3.505250935650919458e-11, 2.837604202623957001e-12
2.077000000000000000e+03, 2.606324488849168890e-11, 8.370449453598559517e-14, 1.926374667184217852e-12, 2.222100943420671784e-12, 9.389987503730558944e-12, 3.480824983851041019e-10, 5.063369354698434842e-12, 4.064711584261578707e-10, 3.493641279336098516e-11, 2.620805100304002220e-12
2.078000000000000000e+03, 2.175745608341770033e-11, 6.126237058056789925e-14, 1.964011807118450242e-12, 2.382904750471174062e-12, 9.328904415525030686e-12, 3.373871222249659754e-10, 5.024947107667495205e-12, 3.575280332281481491e-10, 3.471877927909627392e-11, 2.540462469590061156e-12
2.079000000000000000e+03, 2.069225314957528658e-11, 6.362565100836731174e-14, 2.152812669049439097e-12, 2.522763955275380611e-12, 9.316625146002938964e-12, 4.253827547436203867e-10, 5.078844374851362244e-12, 4.345775735378204538e-10, 3.461113007336482974e-11, 2.500074036390823275e-12
2.080000000000000000e+03, 2.263260485172721116e-11, 6.187956862205499141e-14, 2.085942041239488730e-12, 2.638578593101872938e-12, 9.297949579060906837e-12, 5.238997464761495272e-10, 5.733438762603387828e-12, 5.126612832983882558e-10, 3.353748679343092384e-11, 3.527709949962301579e-12
2.081000000000000000e+03, 2.735371224752066209e-11, 9.671630781930222015e-14, 2.543362398577156805e-12, 2.356959804005146701e-12, 1.331470157500287201e-11, 5.116784951348816745e-10, 5.686726654294310602e-12, 4.968228874571453616e-10, 4.928186678538678343e-11, 4.105992637789772379e-12
2.082000000000000000e+03, 2.669104230050147607e-11, 1.109072235065435340e-13, 2.939368968596220576e-12, 2.352614913973484550e-12, 1.338974618094513748e-11, 5.547731465660062255e-10, 5.724278647596823376e-12, 4.459706606333316167e-10, 5.281702880041506582e-11, 4.143831103486144163e-12
2.083000000000000000e+03, 2.640661940977005890e-11, 1.104314791725342753e-13, 2.860539896754432658e-12, 2.487411299330137733e-12, 1.344183065163649713e-11, 5.782331389460413146e-10, 5.917687178776927665e-12, 4.405935933875602510e-10, 5.150110247864170198e-11, 4.153949791998659691e-12
2.084000000000000000e+03, 2.691483343725079195e-11, 1.130122980937918689e-13, 3.090286470227236666e-12, 2.637011107760291971e-12, 1.355816032519704654e-11, 5.050947825161644684e-10, 5.868719315473524537e-12, 4.495714930705333619e-10, 5.019007952996218851e-11, 4.163132163324565673e-12
2.085000000000000000e+03, 2.831092100389808749e-11, 1.119364528662726293e-13, 3.222275307927350823e-12, 3.015138403011515709e-12, 1.362534632123088227e-11, 5.030306572647251752e-10, 6.158421510617119620e-12, 4.483335774061560024e-10, 4.983597852265156015e-11, 4.358509993858778664e-12
2.086000000000000000e+03, 2.275230936164679596e-11, 1.037494241402833013e-13, 2.255774917415059336e-12, 3.448119176098444136e-12, 1.128663435721799058e-11, 5.147356675574541116e-10, 6.544554358783307984e-12, 4.653244469359547045e-10, 4.984091894237666615e-11, 4.396826005945657587e-12
2.087000000000000000e+03, 2.098877346788055706e-11, 7.273914529222381341e-14, 2.232323447308839666e-12, 3.226839577765170446e-12, 1.139873376613450357e-11, 4.586458899170920037e-10, 6.361006952839014756e-12, 4.917419462055814968e-10, 5.311327836840792094e-11, 4.474558037615541892e-12
2.088000000000000000e+03, 2.194162244397757439e-11, 6.197452802520389653e-14, 2.266940296836999675e-12, 3.069489378285012621e-12, 1.148462519373262997e-11, 5.459135633618543985e-10, 6.159334187189897908e-12, 4.289639220991162578e-10, 5.777766816672511969e-11, 4.501324056445604554e-12
2.089000000000000000e+03, 2.362013502900169414e-11, 6.361647981007011308e-14, 2.406323515753732507e-12, 3.077293045111518737e-12, 1.159038762458949920e-11, 5.008145210780495244e-10, 6.443147891761628112e-12, 4.189140847240548775e-10, 5.839370858382114208e-11, 4.679828596418963737e-12
2.090000000000000000e+03, 2.553634045153566936e-11, 9.693476597806422399e-14, 2.460592115264424811e-12, 2.541327740921790066e-12, 1.166138034627382795e-11, 4.954508763066185799e-10, 6.340449453231889361e-12, 4.212362183190905163e-10, 5.873551683639732252e-11, 6.584406212902882241e-12
2.091000000000000000e+03, 2.616082822215156711e-11, 1.374464160776612978e-13, 2.410939606014574016e-12, 2.462972528330726544e-12, 9.044403163871223442e-12, 5.822536519477375340e-10, 6.399980485421181865e-12, 3.921392739738933367e-10, 5.847244482951822000e-11, 8.240521126513276800e-12
2.092000000000000000e+03, 2.314908703680831764e-11, 1.120595250418303101e-13, 2.736895741785918955e-12, 2.481347601948791026e-12, 8.753808312928939668e-12, 5.470592540092951495e-10, 6.371655015857343427e-12, 4.375852371408910321e-10, 5.836679095367977605e-11, 8.393295153637525348e-12
2.093000000000000000e+03, 2.419141638085417071e-11, 8.559688485651995447e-14, 2.479743913804299370e-12, 2.481721478356820190e-12, 8.540442529583002011e-12, 5.677404086974861616e-10, 6.261999737430502313e-12, 5.085282236145469754e-10, 5.864493775071284817e-11, 8.696751825858963572e-12
2.094000000000000000e+03, 2.534797954273899257e-11, 1.070766297148693661e-13, 2.698254169443382050e-12, 2.685296533949293595e-12, 8.374724953792194688e-12, 5.523606078096661367e-10, 6.203835733836521183e-12, 4.921253380060899830e-10, 5.617455549102176984e-11, 8.992921604639778163e-12
2.095000000000000000e+03, 2.395754718251625158e-11, 1.431208906733677851e-13, 2.679963214319792561e-12, 2.767209199173329330e-12, 8.127647412671299621e-12, 6.233605995890284349e-10, 6.439341781676001573e-12, 4.450774024324653422e-10, 5.598641469472152809e-11, 7.512368871746241424e-12
2.096000000000000000e+03, 2.335798170700664829e-11, 1.467560215702654793e-13, 3.411806656126591830e-12, 2.567212645270546621e-12, 9.889808167052375165e-12, 5.467572499894192579e-10, 6.358194132526552694e-12, 5.280758766444632115e-10, 6.907745784254949370e-11, 6.385313451141544742e-12
2.097000000000000000e+03, 2.481671512096104601e-11, 1.726650857937653032e-13, 3.719152764793149373e-12, 2.647654314943092881e-12, 9.823157443419770211e-12, 5.298917833609290096e-10, 6.184507460419078957e-12, 4.738097723698022994e-10, 6.924574994390328209e-11, 6.144956491544740825e-12
2.098000000000000000e+03, 2.693210865621578900e-11, 1.862243243015524104e-13, 3.467761298034868575e-12, 2.671346400152796439e-12, 9.849074560320553938e-12, 6.091201727981484163e-10, 6.338677044940984094e-12, 5.174735452345872282e-10, 6.812997243781136781e-11, 6.056421365422588780e-12
2.099000000000000000e+03, 2.606112378683107876e-11, 1.832001841494394209e-13, 3.785251440466301860e-12, 2.725409207236335274e-12, 9.838285648006434128e-12, 6.897379670170412231e-10, 6.347763934840832290e-12, 5.158259154735231263e-10, 6.898944702082742203e-11, 5.964973129866643992e-12
2.100000000000000000e+03, 2.621211243990220769e-11, 1.815741625668837498e-13, 3.666309041684209325e-12, 1.411602362993545021e-12, 9.871916893720756085e-12, 5.714585863972557200e-10, 3.186245713651067895e-12, 5.306886860865853721e-10, 6.745448878061811477e-11, 3.394155715827125298e-12
