year, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, ACCESS-ESM1-5
2.069000000000000000e+03, 6.752804627842179386e+00, 1.207620951954660349e+00, 2.719857133981352426e+00, 1.118525432897120808e+00, 1.884167943933133804e+00, 4.834276152838220320e+00, 1.252623415764337889e+00, 1.305223435964692813e+00, 1.079628656655258201e+00, 8.650796699233035625e+00, 2.797216914548319999e-01, 1.459126412363925773e+01, 1.860864543906123325e+00
2.070000000000000000e+03, 6.980935693629022332e+00, 1.261104149296120136e+00, 2.756456175613189341e+00, 1.164892095705423847e+00, 2.116837829552877359e+00, 4.866594579502130813e+00, 1.265383606636431457e+00, 1.272052785408397835e+00, 1.066008228039360128e+00, 8.669999703114314116e+00, 2.089958473594985822e-01, 1.467686374048206233e+01, 1.854257158076135559e+00
2.071000000000000000e+03, 7.234043626589994780e+00, 1.254339463460563131e+00, 2.752527257890946100e+00, 1.226283813139121381e+00, 1.887300136448793797e+00, 4.872603429793786134e+00, 1.259692947971017496e+00, 1.246480364604869884e+00, 1.143473323300787881e+00, 8.740702271365432097e+00, 2.323530642661793821e-01, 1.479327333262357591e+01, 1.846250969599249725e+00
2.072000000000000000e+03, 7.218341228673365251e+00, 1.363169665658117147e+00, 2.762080189835800947e+00, 1.346600455155692933e+00, 1.597809517546632252e+00, 4.888065935039246135e+00, 1.257933722483096650e+00, 1.148324337142652807e+00, 1.125360338030312990e+00, 8.794999599160343351e+00, 2.817153085063615059e-01, 1.488043675955627698e+01, 1.866100102667251459e+00
2.073000000000000000e+03, 7.202330639939898305e+00, 1.450286249099775215e+00, 2.781723968722055407e+00, 1.287138562370959027e+00, 1.553000901906620657e+00, 4.907264884125152271e+00, 1.249485771982759896e+00, 1.216186382479765182e+00, 1.074167586040219335e+00, 8.728966554663058375e+00, 2.503816002588517553e-01, 1.487817261464885910e+01, 1.850685573536804185e+00
2.074000000000000000e+03, 7.155216127364120382e+00, 1.401407172851669936e+00, 2.760691905919474554e+00, 1.202524019848411063e+00, 2.077176768078100366e+00, 4.884212298546548148e+00, 1.296547681746886838e+00, 1.318399247795523976e+00, 1.065233446071444767e+00, 8.712600319577070707e+00, 2.504620193524627059e-01, 1.492937097092330490e+01, 1.845677748795669482e+00
2.075000000000000000e+03, 6.917968526976189914e+00, 1.347525232226479908e+00, 2.782591538897788208e+00, 1.189821723468062808e+00, 2.095452662161540580e+00, 4.809471951071679463e+00, 1.354491453300928239e+00, 1.251713945326746069e+00, 1.127562859914402971e+00, 8.744175626279581337e+00, 2.321656449562781444e-01, 1.502324429925966420e+01, 1.850183814205702548e+00
2.076000000000000000e+03, 6.872352648688989873e+00, 1.500615308101661105e+00, 2.801957165894887858e+00, 1.230593211015221122e+00, 1.876621841707366123e+00, 4.763035919555226094e+00, 1.376983512907672846e+00, 1.371225260854441297e+00, 1.123844286044717533e+00, 8.719597377174576280e+00, 2.300558603621986054e-01, 1.507017750616109275e+01, 1.837529530561252455e+00
2.077000000000000000e+03, 6.899557625377294556e+00, 1.388597510153023462e+00, 2.842917280860246976e+00, 1.284301435019749915e+00, 1.802667349191644064e+00, 4.806240086805866341e+00, 1.342303869960198126e+00, 1.414035672989553127e+00, 1.233737968077790015e+00, 8.727432840233632305e+00, 2.093806071386901113e-01, 1.507583246869699956e+01, 1.802443943664355785e+00
2.078000000000000000e+03, 7.102929276358220356e+00, 1.301052523568621000e+00, 2.811841940528229333e+00, 1.240241221423691975e+00, 2.189153785087588844e+00, 4.865772151398614298e+00, 1.327928815666616247e+00, 1.348041534567202770e+00, 1.247005534566120399e+00, 8.740249672707557593e+00, 2.724477223118179636e-01, 1.515436758914787241e+01, 1.794530744999730532e+00
2.079000000000000000e+03, 6.915678097495583820e+00, 1.468157065269375172e+00, 2.849042578731363573e+00, 1.259495638174777499e+00, 1.999749616440886335e+00, 4.897669270885873338e+00, 1.352341710122062723e+00, 1.251376199123701793e+00, 1.159359070962272087e+00, 8.750854257249390145e+00, 2.332596399578062696e-01, 1.513365083946925438e+01, 1.787292078636993686e+00
2.080000000000000000e+03, 6.929193929298316235e+00, 1.378846490559178406e+00, 2.839712089691083463e+00, 1.186857505951855130e+00, 1.698484140688026667e+00, 4.896277689987083903e+00, 1.333029753788248506e+00, 1.164465878642599206e+00, 1.116358110982234031e+00, 8.787263401922166040e+00, 2.487626676164987338e-01, 1.517856636445618790e+01, 1.801374350243725608e+00
2.081000000000000000e+03, 7.165412547991900638e+00, 1.249115030762012246e+00, 2.848445251585488780e+00, 1.181283965469467345e+00, 1.884061777256351045e+00, 4.892798624347185488e+00, 1.348894690889128833e+00, 1.274947319184632777e+00, 1.208412131305095283e+00, 8.810339815599187219e+00, 2.372824435700902623e-01, 1.523919043561440567e+01, 1.822054178293244675e+00
2.082000000000000000e+03, 7.124798278231684989e+00, 1.360386304621653331e+00, 2.833043140952174799e+00, 1.358031084565502367e+00, 2.234894988559592122e+00, 4.928546018464943224e+00, 1.349784983859699583e+00, 1.228865930556254371e+00, 1.241137995709001185e+00, 8.807562713671563515e+00, 2.309804593952083651e-01, 1.538638237771548667e+01, 1.822442800221796944e+00
2.083000000000000000e+03, 7.299664855272578023e+00, 1.306429485825993941e+00, 2.839490628084001322e+00, 1.306954271391892464e+00, 1.982570398942713030e+00, 4.969217339558757551e+00, 1.389244086116828258e+00, 1.244220697233158424e+00, 1.232308335986628700e+00, 8.826955041158226933e+00, 2.606325040166519447e-01, 1.541446972696028084e+01, 1.788806487870305828e+00
