year, NorESM2-MM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM
2.075000000000000000e+03, 8.846129585122412263e-13, 7.084246944822333757e-10, 2.796866729929683940e-12, 2.444586581767940256e-10, 1.487052515664471171e-09, 9.591734570268889858e-11, 1.431597883276570355e-12, 2.708436842832759616e-10, 3.753977218113302683e-10
2.076000000000000000e+03, 9.009084177747395592e-13, 8.052418894786947983e-10, 2.810760084061155416e-12, 2.935473364306531267e-10, 1.533656137624022979e-09, 1.193333065206503529e-10, 1.441141388459824203e-12, 2.540195424875359873e-10, 3.385068676646680923e-10
2.077000000000000000e+03, 1.257778143360008229e-12, 6.076607483512646161e-10, 2.848725012091155550e-12, 2.305277111028832588e-10, 1.546561675061548027e-09, 1.086735563234749584e-10, 1.794342893103163603e-12, 2.440447429737120670e-10, 3.433271918498306586e-10
2.078000000000000000e+03, 1.251619455560109318e-12, 6.592961121240209650e-10, 2.870193879666078707e-12, 2.153319395013436058e-10, 1.510180629246446077e-09, 9.045828344227042987e-11, 1.799794504072016609e-12, 2.487725466607603716e-10, 3.614993167177480666e-10
2.079000000000000000e+03, 1.229434466008465459e-12, 7.331194984315319621e-10, 2.953660829242272744e-12, 2.264445049505796596e-10, 1.569659249487084229e-09, 1.112748253270565197e-10, 1.772047296110934381e-12, 2.659999119446854114e-10, 3.053106453757085177e-10
2.080000000000000000e+03, 1.348869567715101977e-12, 6.788434090193938200e-10, 2.948102469108035455e-12, 2.281811645368778096e-10, 1.700071966150909604e-09, 8.880769360996357271e-11, 1.933806097681534707e-12, 2.817475647912283953e-10, 3.177381998092983962e-10
2.081000000000000000e+03, 1.374871603644296550e-12, 6.734012094453105525e-10, 3.026141868812091392e-12, 3.055788200667617572e-10, 1.625283005249266992e-09, 1.164641246010745987e-10, 1.935872410372990367e-12, 2.715948460058573258e-10, 3.840313163973301338e-10
2.082000000000000000e+03, 1.530431320195569940e-12, 7.143428450193626369e-10, 3.047694447206341729e-12, 2.589391903256865955e-10, 1.579446351061922305e-09, 1.382982852124851366e-10, 2.194631280516223389e-12, 2.676077883047217150e-10, 3.820111591722007130e-10
2.083000000000000000e+03, 1.543788613938565873e-12, 7.122303942784351854e-10, 3.100494929139095730e-12, 2.484463560304053972e-10, 1.469946155072295596e-09, 8.565479516673805799e-11, 2.176081578721729382e-12, 2.567985781522686231e-10, 3.917325426840323365e-10
2.084000000000000000e+03, 1.301273800449990838e-12, 7.551689600234080825e-10, 3.127916438684671501e-12, 2.757931768956017969e-10, 1.678195472643306869e-09, 9.791048071362715177e-11, 2.205073916396833982e-12, 2.638862926858103902e-10, 3.702306457460136198e-10
