year, CMCC-ESM2, CNRM-ESM2-1, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL
2.083000000000000000e+03, 1.557179997586827624e-12, 1.579778508442306853e-11, 1.786601471442057002e-12, 2.609519116240799444e-10, 3.791690154343401330e-10, 3.933286434377365345e-10, 7.256722277016415948e-10, 1.104314777817351137e-13
2.084000000000000000e+03, 1.574209742393275230e-12, 1.601453500759829257e-11, 1.734197898129954683e-12, 2.680496524940915240e-10, 3.772504050535726728e-10, 3.719051055149839053e-10, 7.687271125759709573e-10, 1.130122986463752383e-13
2.085000000000000000e+03, 1.591350113288268130e-12, 1.615608577648651350e-11, 1.689904902966110238e-12, 2.961945780110832702e-10, 3.817224698966570097e-10, 4.192153719046626441e-10, 8.614701518598194167e-10, 1.119364506893729320e-13
2.086000000000000000e+03, 1.607359194458852656e-12, 1.701282439787513771e-11, 2.114725389781708229e-12, 2.828279735008599097e-10, 3.906183185660502551e-10, 4.114095579635239145e-10, 8.060382013698825267e-10, 1.037494226947250886e-13
2.087000000000000000e+03, 1.620467548240491578e-12, 1.780266795863430161e-11, 2.283876700501245068e-12, 2.912580111439150089e-10, 3.937297387094876337e-10, 4.074580366388935591e-10, 7.097585967865505645e-10, 7.273914499808344387e-14
2.088000000000000000e+03, 1.631408950094421791e-12, 1.869964313873004531e-11, 2.361037866505084714e-12, 2.822953297840252901e-10, 3.931338956868832811e-10, 4.512583221724121001e-10, 6.672290320399644974e-10, 6.197452778977612176e-14
2.089000000000000000e+03, 1.640088069039146706e-12, 1.978458154814091337e-11, 2.403453157772790462e-12, 3.071776565731130794e-10, 3.905271700661368663e-10, 4.441397216106272270e-10, 7.325202294298394589e-10, 6.361648034750624247e-14
2.090000000000000000e+03, 1.655495949338462354e-12, 2.086826597503020138e-11, 2.430341391141574916e-12, 3.248774156087252961e-10, 3.862271789766327426e-10, 4.198024256864112595e-10, 7.690605787750943312e-10, 9.693476609023963887e-14
2.091000000000000000e+03, 1.671475935094002754e-12, 2.105222088865668510e-11, 2.359461051628630501e-12, 3.228122740802732276e-10, 3.768279435637856656e-10, 4.127831787131052791e-10, 5.951739759514249487e-10, 1.374464169701925361e-13
2.092000000000000000e+03, 1.676592712233714464e-12, 2.106022632759862356e-11, 2.322747106669047880e-12, 3.121074409718890793e-10, 3.676996566477662129e-10, 3.174922868122179962e-10, 8.817221384006279336e-10, 1.120595240152482663e-13
2.093000000000000000e+03, 1.681263138264392677e-12, 2.114809489103576112e-11, 2.298398579622252917e-12, 3.031428518073879099e-10, 3.669641602170501402e-10, 3.677531553312781730e-10, 9.461225357443827880e-10, 8.559688355674627890e-14
2.094000000000000000e+03, 1.688933687170354250e-12, 2.132348960117753545e-11, 2.265360575693911921e-12, 3.300067168568247726e-10, 3.717450972992384181e-10, 3.966333952967771847e-10, 9.618290748273600562e-10, 1.070766276335532057e-13
2.095000000000000000e+03, 1.679384814645224469e-12, 2.137763968733838433e-11, 2.083184669231390121e-12, 3.462934421984513923e-10, 3.726862922619084780e-10, 3.807176521330818510e-10, 8.316817415791350036e-10, 1.431208916996502006e-13
2.096000000000000000e+03, 1.650807815875197055e-12, 2.154475480835765096e-11, 2.013683287706907677e-12, 3.366053530452436653e-10, 3.731623405419448144e-10, 3.958561988660496287e-10, 8.303683449536888123e-10, 1.467560279900649529e-13
2.097000000000000000e+03, 1.615551598421457100e-12, 2.229106916449578101e-11, 1.993565052223271177e-12, 3.403271873258116710e-10, 3.752773811994743744e-10, 3.726755631298147820e-10, 9.090821559264701127e-10, 1.726650899942475489e-13
2.098000000000000000e+03, 1.581131423607641331e-12, 2.281718690597158796e-11, 1.968899666075892123e-12, 3.417723180603748336e-10, 3.873762269459076974e-10, 4.349742208442582519e-10, 8.635460934951850236e-10, 1.862243206852881817e-13
2.099000000000000000e+03, 1.550152979923082257e-12, 2.328251058791309256e-11, 1.942246367288099483e-12, 3.207956217458850358e-10, 3.919051379809880986e-10, 4.503786983862071750e-10, 8.422107375607586469e-10, 1.832001819858030755e-13
2.100000000000000000e+03, 1.411602362993545021e-12, 2.380657452254930194e-11, 1.914521010218689169e-12, 2.865616618600323357e-10, 3.805251241782326385e-10, 3.878359583199549422e-10, 7.551066412758905418e-10, 1.815741590741206562e-13
