year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, TaiESM1, GFDL-ESM4, NorESM2-LM, CESM2-WACCM
2.071000000000000000e+03, 1.031163627950332286e-10, 2.511558878110677020e-10, 1.491258985127970015e-10, 2.640358425026131550e-10, 2.511558878110677020e-10, 5.666138844018538170e-10, 3.420084887963622634e-11, 1.491258985127970015e-10, 3.420084887963622634e-11, 1.001498269248270359e-10, 1.698215402538173193e-10, 2.043779298061209394e-10
2.072000000000000000e+03, 8.734956755800079296e-11, 2.594969542317105262e-10, 1.874037711034647651e-10, 1.241677315829196689e-10, 2.594969542317105262e-10, 5.716384003277563690e-10, 3.502920954971584254e-11, 1.874037711034647651e-10, 3.502920954971584254e-11, 8.428482679200622976e-11, 1.467374044434225002e-10, 2.044876046698690284e-10
2.073000000000000000e+03, 8.838573248954331896e-11, 3.428303612914374840e-10, 1.597647511258560298e-10, 3.329175678099872727e-10, 3.428303612914374840e-10, 5.826996432083311716e-10, 3.024038705295101779e-11, 1.597647511258560298e-10, 3.024038705295101779e-11, 8.535741153923418292e-11, 1.620806799954718089e-10, 2.475072070404757602e-10
2.074000000000000000e+03, 1.010528560396885621e-10, 3.273708247573360538e-10, 1.801217135789677967e-10, 3.560611916175636155e-10, 3.273708247573360538e-10, 4.767191491553074794e-10, 3.715147578233885497e-11, 1.801217135789677967e-10, 3.715147578233885497e-11, 9.804740017718184005e-11, 1.513483125993791634e-10, 2.340265231538051436e-10
2.075000000000000000e+03, 1.322028596090328924e-10, 3.941688121441062430e-10, 1.753062260949994889e-10, 1.821476015909628167e-10, 3.941688121441062430e-10, 6.638168674705477620e-10, 3.380504419297006936e-11, 1.753062260949994889e-10, 3.380504419297006936e-11, 1.288671460850663078e-10, 1.633614815528680186e-10, 2.104825550364917332e-10
2.076000000000000000e+03, 1.644955710036921301e-10, 2.953060426691708809e-10, 1.985917616417775243e-10, 2.887225054573716878e-10, 2.953060426691708809e-10, 5.780244064767000076e-10, 2.726475411728089116e-11, 1.985917616417775243e-10, 2.726475411728089116e-11, 1.611136920348874912e-10, 1.608422540788138781e-10, 2.681880768900748584e-10
2.077000000000000000e+03, 1.059779721936498422e-10, 3.259622940892258247e-10, 2.418816154378506390e-10, 9.976340037632542991e-10, 3.259622940892258247e-10, 5.726684073927317739e-10, 2.331610950475003278e-11, 2.418816154378506390e-10, 2.331610950475003278e-11, 1.028284209859747084e-10, 2.119534648920334452e-10, 1.958061671383009643e-10
2.078000000000000000e+03, 1.128795906626187792e-10, 2.500618032451937568e-10, 2.136750979362771914e-10, 5.212740719257973738e-10, 2.500618032451937568e-10, 4.951251438521498038e-10, 3.645689968881604608e-11, 2.136750979362771914e-10, 3.645689968881604608e-11, 1.098105644518077656e-10, 2.104618737414722722e-10, 2.291943757438889640e-10
2.079000000000000000e+03, 1.354156792962515854e-10, 3.110588485872563237e-10, 1.437747713762036872e-10, 1.819060394647184333e-10, 3.110588485872563237e-10, 6.090628334765412214e-10, 2.769703051829955539e-11, 1.437747713762036872e-10, 2.769703051829955539e-11, 1.321525759603748349e-10, 1.776249223267040697e-10, 3.043111826163695276e-10
2.080000000000000000e+03, 1.073884705865386496e-10, 2.644907968672023021e-10, 1.247911218262675187e-10, 2.458389121819094177e-10, 2.644907968672023021e-10, 6.612604027038848563e-10, 2.993151941200115490e-11, 1.247911218262675187e-10, 2.993151941200115490e-11, 1.042540959957971869e-10, 1.358138929186555617e-10, 1.836510651646031465e-10
