year, INM-CM4-8, EC-Earth3-Veg, ACCESS-ESM1-5, CanESM5, TaiESM1, NorESM2-MM, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-LM
2.057000000000000000e+03, 2.912706055391545874e+02, 2.908539403017645668e+02, 2.908845852619986658e+02, 2.921168968000667974e+02, 2.936883759361421085e+02, 2.916653994789019748e+02, 2.921994778590949409e+02, 2.944915886564097036e+02, 2.904203532907500858e+02, 2.889856190352703607e+02, 2.931973945753867952e+02, 2.906341402231504958e+02, 2.927899821307859725e+02, 2.926061885686351616e+02, 2.909551720989235264e+02, 2.919368046615530830e+02
2.058000000000000000e+03, 2.908472575717103155e+02, 2.907680305334334321e+02, 2.909669546838227348e+02, 2.921246243084860339e+02, 2.938080598787915392e+02, 2.919118405846286919e+02, 2.913280020133710195e+02, 2.942668886251359481e+02, 2.911857114933213211e+02, 2.904649114916161352e+02, 2.926847269203682913e+02, 2.906287973474562136e+02, 2.925851754788698145e+02, 2.926454013307158561e+02, 2.904786366260174759e+02, 2.927895804445035992e+02
2.059000000000000000e+03, 2.912191498472340641e+02, 2.904592462933628099e+02, 2.908044760267737274e+02, 2.933252510610945478e+02, 2.936400782084826346e+02, 2.916384667460062019e+02, 2.922659863069398511e+02, 2.942764425080115416e+02, 2.914065785722321493e+02, 2.908383047258721490e+02, 2.923031115342105863e+02, 2.908626554233402999e+02, 2.923742832665996616e+02, 2.930976448611526735e+02, 2.904286581213322052e+02, 2.918094990682058096e+02
2.060000000000000000e+03, 2.912755133143389230e+02, 2.914530509241128016e+02, 2.908754989805382820e+02, 2.923782403919206558e+02, 2.938701167885572545e+02, 2.913789713955070511e+02, 2.913038474158179270e+02, 2.943961471705699751e+02, 2.918738693171694081e+02, 2.897848916879719923e+02, 2.926981971985076711e+02, 2.913063782925741521e+02, 2.930007386008135768e+02, 2.934084890409833406e+02, 2.909187202011335103e+02, 2.921809829472641127e+02
2.061000000000000000e+03, 2.915887190201408998e+02, 2.911424195969455582e+02, 2.909113896330894136e+02, 2.929059104930278181e+02, 2.942209410486840966e+02, 2.921197302739806787e+02, 2.923500818611205432e+02, 2.947997616736803934e+02, 2.912528496527310153e+02, 2.904444576285201265e+02, 2.934109922760515019e+02, 2.920862250305967223e+02, 2.926149451539134247e+02, 2.938887525172677897e+02, 2.909245051018641561e+02, 2.925220865428274806e+02
2.062000000000000000e+03, 2.913887171702117485e+02, 2.918202356922343483e+02, 2.915067245272715013e+02, 2.926936035625498107e+02, 2.946226548596112025e+02, 2.916964095844163580e+02, 2.922090254001807921e+02, 2.946504671188811244e+02, 2.911853000575916326e+02, 2.908775816533711804e+02, 2.933459726961681326e+02, 2.920337072926946576e+02, 2.924202589722388552e+02, 2.940092448521573942e+02, 2.902287644714315320e+02, 2.924583950563255144e+02
2.063000000000000000e+03, 2.911929407323491432e+02, 2.912099092253706658e+02, 2.914145376249226729e+02, 2.931671283731139965e+02, 2.937394147929850874e+02, 2.913867319596321295e+02, 2.923432562986471908e+02, 2.938640029469190154e+02, 2.916287510598107247e+02, 2.914623933966890377e+02, 2.933030748416724691e+02, 2.910313711905143350e+02, 2.921640713893186216e+02, 2.927237726486165457e+02, 2.912564334718651935e+02, 2.922185249396318341e+02
2.064000000000000000e+03, 2.909795051760232809e+02, 2.914227537837078899e+02, 2.914525833888866941e+02, 2.925114451180348283e+02, 2.936517113423517458e+02, 2.919051053255442980e+02, 2.921329920298414322e+02, 2.937722621675661117e+02, 2.908622475126895779e+02, 2.898768016186522800e+02, 2.935859429169954637e+02, 2.915782991976175822e+02, 2.927443599302864641e+02, 2.924698433954919778e+02, 2.910707359758908979e+02, 2.922930469594402325e+02
2.065000000000000000e+03, 2.914515929895837303e+02, 2.909916683444256478e+02, 2.918620218511276221e+02, 2.931755533171281627e+02, 2.939631663020925885e+02, 2.927205598177874322e+02, 2.917286424036848871e+02, 2.945330559894222233e+02, 2.911351408212156571e+02, 2.905528560000651623e+02, 2.932739038222624117e+02, 2.916434023583041153e+02, 2.926798178846602241e+02, 2.935768264360339685e+02, 2.912468501577645839e+02, 2.925883544611751859e+02
2.066000000000000000e+03, 2.913979831497984492e+02, 2.921804328001721274e+02, 2.914886270805129129e+02, 2.933646208645515117e+02, 2.945415239390180204e+02, 2.918672675651686177e+02, 2.925053998408383791e+02, 2.945980784501924745e+02, 2.913241283838758591e+02, 2.910752231426470757e+02, 2.938545723882251082e+02, 2.916073601283980565e+02, 2.923454635010504603e+02, 2.934568009107288162e+02, 2.911058206494527667e+02, 2.931812370138381425e+02
2.067000000000000000e+03, 2.915166505329678444e+02, 2.918562454713533043e+02, 2.920153302310225172e+02, 2.926511789870267535e+02, 2.942519125175158479e+02, 2.923439804868736474e+02, 2.927991368294767653e+02, 2.953140149589171415e+02, 2.914525855319504331e+02, 2.907209433380672294e+02, 2.937958323990897043e+02, 2.917819225683909394e+02, 2.927932824088358643e+02, 2.936765972713824908e+02, 2.907908975618283876e+02, 2.921747265909105522e+02
2.068000000000000000e+03, 2.920173872580451757e+02, 2.919679821704951337e+02, 2.918865266297867720e+02, 2.939090059629466509e+02, 2.938186378774718719e+02, 2.926886730386051454e+02, 2.925571708710198209e+02, 2.946825107930842478e+02, 2.906745505248574091e+02, 2.906766533655545572e+02, 2.933082730123081205e+02, 2.916181144097426454e+02, 2.932241671320310274e+02, 2.945838760372519118e+02, 2.919185172281986524e+02, 2.931192034443274110e+02
