year, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-LM, GFDL-ESM4, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, CanESM5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, INM-CM5-0, MIROC-ES2L
1.890000000000000000e+03, 2.966483584095391279e+02, 2.946361135286795161e+02, 2.969432585587791777e+02, 2.954639801395210270e+02, 2.956870523626688509e+02, 2.969283472074458246e+02, 2.965513072506559524e+02, 2.970147291012117421e+02, 2.967520567287628523e+02, 2.967856138319657475e+02, 2.958215817513392381e+02, 2.960717706544788825e+02, 2.965880554592079648e+02, 2.952690570752802159e+02, 2.958212540304415370e+02, 2.968996953780327317e+02
1.891000000000000000e+03, 2.967822585059982430e+02, 2.943305792045841258e+02, 2.971515133148345171e+02, 2.955681022202300596e+02, 2.956245206178281251e+02, 2.963019031956284834e+02, 2.969761935173622760e+02, 2.968730568920317978e+02, 2.969746389287236639e+02, 2.964533290042409135e+02, 2.953670075174392196e+02, 2.963864865492942045e+02, 2.971832007703226282e+02, 2.948730751040079099e+02, 2.954346145108509063e+02, 2.969942632337488817e+02
1.892000000000000000e+03, 2.968959834864184586e+02, 2.947025326196780384e+02, 2.974818671466641717e+02, 2.959291137668223541e+02, 2.955754654631335256e+02, 2.960597016850496743e+02, 2.964173137995288698e+02, 2.967626850286231956e+02, 2.966086420705854607e+02, 2.965895589922786826e+02, 2.960136977506444964e+02, 2.967317497661547350e+02, 2.968455051356739318e+02, 2.950214134503085575e+02, 2.956070727752401694e+02, 2.973595551741207146e+02
1.893000000000000000e+03, 2.976154570301583817e+02, 2.944435890128083884e+02, 2.966470403944604755e+02, 2.956519753223818725e+02, 2.956709750147650198e+02, 2.963747799107015339e+02, 2.967790600927438618e+02, 2.970823757210675922e+02, 2.961932862113783926e+02, 2.966852313702939909e+02, 2.959995025884299480e+02, 2.961535558970800253e+02, 2.967067327709056599e+02, 2.952209001753572011e+02, 2.958252361833792747e+02, 2.973844260406101512e+02
1.894000000000000000e+03, 2.975150508396277473e+02, 2.945452535720128253e+02, 2.970604390121654887e+02, 2.957447744870874544e+02, 2.956398442620034643e+02, 2.964255543564116806e+02, 2.973733613275069274e+02, 2.972098994476487519e+02, 2.969250804797850947e+02, 2.963268135416556674e+02, 2.956885922979883503e+02, 2.966159759414539394e+02, 2.964829018985012681e+02, 2.950803524233018038e+02, 2.955499847733582328e+02, 2.971433531060214364e+02
1.895000000000000000e+03, 2.970660290110992605e+02, 2.949566738648603632e+02, 2.973553822304894538e+02, 2.957563736977014628e+02, 2.955460026280013039e+02, 2.962583374623580426e+02, 2.967141521525443864e+02, 2.972402636140832328e+02, 2.972262501396003245e+02, 2.968855681660101027e+02, 2.959697961314853387e+02, 2.964020073155465980e+02, 2.965782839186266528e+02, 2.952268211506314515e+02, 2.955936662210841064e+02, 2.967840338036222647e+02
1.896000000000000000e+03, 2.966966426396282941e+02, 2.943470281699910061e+02, 2.968123491515533487e+02, 2.962171809907773081e+02, 2.956853997496065176e+02, 2.966775405150968936e+02, 2.965125362226684729e+02, 2.969512306037980238e+02, 2.962996582906523031e+02, 2.966732597324235030e+02, 2.961798406140313773e+02, 2.965388031000554179e+02, 2.968499863288158735e+02, 2.958713483960314079e+02, 2.955544085838180308e+02, 2.968608055258613945e+02
1.897000000000000000e+03, 2.967080228671786699e+02, 2.944120050264575070e+02, 2.971732754575209583e+02, 2.960374115846967129e+02, 2.957621760147476380e+02, 2.968858027333790233e+02, 2.965761466542019775e+02, 2.970817400256072460e+02, 2.966316409117404191e+02, 2.964610381987254186e+02, 2.962353028485950404e+02, 2.966926104902580050e+02, 2.968550121218182767e+02, 2.952944245101793399e+02, 2.958383670735324245e+02, 2.974424858235373677e+02
1.898000000000000000e+03, 2.966766074709672694e+02, 2.946970745515586145e+02, 2.970466953791271294e+02, 2.959617444201800254e+02, 2.957377202825067570e+02, 2.965140331697537590e+02, 2.965312573860513226e+02, 2.973053942843333743e+02, 2.968397409415406401e+02, 2.969377211251603512e+02, 2.959520619603554792e+02, 2.966341385966410940e+02, 2.966730988222504379e+02, 2.952236954102672257e+02, 2.957818027082777235e+02, 2.975034798613544353e+02
1.899000000000000000e+03, 2.969628056990927689e+02, 2.948843751849939849e+02, 2.972798336743811660e+02, 2.959589541346931583e+02, 2.956805888368313049e+02, 2.959971024847777130e+02, 2.968294829548382268e+02, 2.974453893692684119e+02, 2.968616612482743449e+02, 2.967191423886627604e+02, 2.959087079363908401e+02, 2.965092215517780687e+02, 2.966539089182811040e+02, 2.953528185958553536e+02, 2.955675046877885848e+02, 2.971385705219036595e+02
1.900000000000000000e+03, 2.972909243294072894e+02, 2.949858358562679541e+02, 2.969796322746161650e+02, 2.961250759760498568e+02, 2.955825544810564338e+02, 2.957878312883986496e+02, 2.963886760240971512e+02, 2.976548911232076193e+02, 2.966471722948898559e+02, 2.968701132265047704e+02, 2.962707362868905534e+02, 2.968696956905904472e+02, 2.967606895743157338e+02, 2.954401100512989160e+02, 2.956717193068483880e+02, 2.970069467066037419e+02
1.901000000000000000e+03, 2.975153314848448076e+02, 2.945278303269531648e+02, 2.970141072257528094e+02, 2.957611927480380700e+02, 2.957528588449695235e+02, 2.963185894151560547e+02, 2.969276244601332451e+02, 2.974681129156239194e+02, 2.968196255066233107e+02, 2.969221876333504611e+02, 2.959850844454291519e+02, 2.964882874844482217e+02, 2.967729440509179994e+02, 2.954122731555150381e+02, 2.959587973952225752e+02, 2.974523937698643863e+02
1.902000000000000000e+03, 2.971435507060068630e+02, 2.945173936598199020e+02, 2.970220208732615106e+02, 2.957125708986989139e+02, 2.956651679180001224e+02, 2.963329324969407708e+02, 2.963848088569966421e+02, 2.965203724366885467e+02, 2.964227339930435505e+02, 2.965213045922434958e+02, 2.962132402702341665e+02, 2.960530794282475426e+02, 2.969546443583029713e+02, 2.955065900373314776e+02, 2.958393145388452581e+02, 2.980175499896873816e+02
1.903000000000000000e+03, 2.968707415454242664e+02, 2.946226356615798068e+02, 2.970677919689770761e+02, 2.956409323577831287e+02, 2.949758190256602575e+02, 2.959440867111208036e+02, 2.966149694717529428e+02, 2.968254975868812835e+02, 2.965821970236613083e+02, 2.964384288599709407e+02, 2.961395132252498001e+02, 2.965801976122131123e+02, 2.961936709720308158e+02, 2.950941569647260394e+02, 2.954552365348173453e+02, 2.966473921181581659e+02
1.904000000000000000e+03, 2.967714491311944016e+02, 2.944963908028984747e+02, 2.973459746683757317e+02, 2.958470099583454385e+02, 2.957678915844181233e+02, 2.962526195012881658e+02, 2.971148403797128594e+02, 2.972678775543555503e+02, 2.970044390168909558e+02, 2.964012005295887775e+02, 2.959938284986420172e+02, 2.964593151707086918e+02, 2.963107954863446025e+02, 2.950198194447611399e+02, 2.955284015170566931e+02, 2.970440037641214417e+02
1.905000000000000000e+03, 2.970313013873127943e+02, 2.946394620590490376e+02, 2.969291341042090266e+02, 2.959224360388161017e+02, 2.955135604903629769e+02, 2.967478592331365803e+02, 2.964267601846075877e+02, 2.970787694194518167e+02, 2.965166842645521683e+02, 2.965258533692110632e+02, 2.955732236547189586e+02, 2.963261783420348934e+02, 2.964642198243221856e+02, 2.949193605482633416e+02, 2.957058059680032329e+02, 2.973740221638729508e+02
1.906000000000000000e+03, 2.967373714759174845e+02, 2.944181231904693732e+02, 2.975027061592940640e+02, 2.953933681526381747e+02, 2.954839809072979051e+02, 2.963270538583697657e+02, 2.965755827878594459e+02, 2.974867168794606300e+02, 2.964600004367226802e+02, 2.968987341886305558e+02, 2.957793780923659028e+02, 2.965208946802500805e+02, 2.968110534165695071e+02, 2.954391269390903290e+02, 2.959326539763723645e+02, 2.972090024588588335e+02
1.907000000000000000e+03, 2.969554936740511266e+02, 2.945814165714832029e+02, 2.968375943849094369e+02, 2.955806393719227003e+02, 2.955271912143231816e+02, 2.964273895668437149e+02, 2.973139187498770752e+02, 2.971751293233091360e+02, 2.967619030212017606e+02, 2.965984406005835581e+02, 2.957707065533764421e+02, 2.961862876587827600e+02, 2.972077916483066815e+02, 2.952892589668035725e+02, 2.958416513276479236e+02, 2.974174703996348512e+02
1.908000000000000000e+03, 2.968262091233643787e+02, 2.947091611193105791e+02, 2.970813721375283194e+02, 2.957511341988677032e+02, 2.958049761973414888e+02, 2.962124610687687323e+02, 2.967366695057010588e+02, 2.967356252361715860e+02, 2.966434820898531370e+02, 2.968889624231189828e+02, 2.959400997895259593e+02, 2.964394744196774241e+02, 2.967619711914801996e+02, 2.952347729555733622e+02, 2.959124037687474242e+02, 2.974571805492777230e+02
