year, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
1.918000000000000000e+03, 6.679449778888323416e-10, 1.683517508879576484e-09, 8.454881354241164983e-10, 1.666086487672782623e-09, 6.679449778888323416e-10, 6.781184312315014990e-10, 8.454881354241164983e-10, 8.955350933416070541e-10, 6.387995534157583474e-10, 1.376945226446670457e-09, 8.955350933416070541e-10, 4.090882406203789434e-10
1.919000000000000000e+03, 4.891726253918210700e-10, 1.307126168414312667e-09, 1.135086834718644358e-09, 1.289544729427551574e-09, 4.891726253918210700e-10, 7.630734613685690199e-10, 1.135086834718644358e-09, 6.513585782120106367e-10, 5.836063528449594921e-10, 1.771773650162307414e-09, 6.513585782120106367e-10, 7.214493195477657758e-10
1.920000000000000000e+03, 4.787640717439881509e-10, 1.439128282641798737e-09, 8.971687312821145878e-10, 1.421907197074156750e-09, 4.787640717439881509e-10, 6.548223765468125990e-10, 8.971687312821145878e-10, 7.401534652070144608e-10, 6.801431179842226090e-10, 1.327803947335289276e-09, 7.401534652070144608e-10, 4.870371959432489631e-10
1.921000000000000000e+03, 6.689207324789453663e-10, 1.261362950872482177e-09, 9.278228926723632628e-10, 1.243722330191279479e-09, 6.689207324789453663e-10, 7.179909044364035069e-10, 9.278228926723632628e-10, 8.352226541694640069e-10, 6.249527938638189760e-10, 1.285614886514988132e-09, 8.352226541694640069e-10, 4.724110405402243229e-10
1.922000000000000000e+03, 4.277409321875258865e-10, 1.826233539581000616e-09, 8.598929415084692935e-10, 1.808287171492049338e-09, 4.277409321875258865e-10, 8.680888186675631632e-10, 8.598929415084692935e-10, 8.260946016349304488e-10, 6.675312849272070781e-10, 1.729768874316762429e-09, 8.260946016349304488e-10, 5.830142521649219623e-10
1.923000000000000000e+03, 4.557712425394869367e-10, 1.642843994797432977e-09, 8.880714966277056979e-10, 1.624129710712816901e-09, 4.557712425394869367e-10, 8.425516813840575113e-10, 8.880714966277056979e-10, 7.934467868892757978e-10, 6.372078697110488943e-10, 1.498458099155568564e-09, 7.934467868892757978e-10, 6.947158147575889577e-10
1.924000000000000000e+03, 6.052975171298746467e-10, 1.314165939248722029e-09, 9.705098410836346257e-10, 1.295619939715902813e-09, 6.052975171298746467e-10, 9.968706196736463974e-10, 9.705098410836346257e-10, 9.104103213961436045e-10, 6.798974087574019848e-10, 1.735682239294872366e-09, 9.104103213961436045e-10, 5.869970293380702669e-10
1.925000000000000000e+03, 6.370791569310576851e-10, 1.655728089061721587e-09, 9.713681067723269646e-10, 1.637217092581734835e-09, 6.370791569310576851e-10, 7.822249265384231065e-10, 9.713681067723269646e-10, 9.453645868523011867e-10, 6.152499784890659313e-10, 1.284568253843865398e-09, 9.453645868523011867e-10, 5.736824871251110912e-10
1.926000000000000000e+03, 5.108130142744826832e-10, 1.543664046792861400e-09, 9.654606385054664587e-10, 1.524491326869981759e-09, 5.108130142744826832e-10, 1.026597151198423483e-09, 9.654606385054664587e-10, 8.667995363302000429e-10, 6.269490907238587960e-10, 1.819950115794193376e-09, 8.667995363302000429e-10, 6.970624458443888683e-10
1.927000000000000000e+03, 4.703897602552478076e-10, 1.476430354078589317e-09, 8.415931927776671510e-10, 1.457159875020573970e-09, 4.703897602552478076e-10, 8.891376555467231539e-10, 8.415931927776671510e-10, 7.744187082329812649e-10, 6.383209917083659752e-10, 1.400899148295690228e-09, 7.744187082329812649e-10, 7.906334356817829274e-10
