year, IPSL-CM6A-LR, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, TaiESM1, UKESM1-0-LL, NorESM2-LM, CanESM5, INM-CM4-8, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, ACCESS-ESM1-5, CESM2-WACCM
1.899000000000000000e+03, 2.350168604682469109e+01, 2.881430504008405435e+01, 1.648853988969005258e+01, 1.499536254327188267e+01, 2.682828185586386383e+01, 2.181742702264954303e+01, 1.645771828530410019e+01, 2.869732245435579898e+01, 2.974211737222854168e+01, 1.485118350869383974e+01, 2.333391160211124671e+01, 3.012138844131580839e+01, 2.334589290194621469e+01, 2.186079633459092264e+01, 2.490206531724025396e+01, 2.022892772996916477e+01
1.900000000000000000e+03, 2.363336528172758477e+01, 3.252493271005568687e+01, 1.659035951708283818e+01, 1.511266257367668331e+01, 2.593655215671942571e+01, 2.121292230145639834e+01, 1.663234908630838049e+01, 2.766145037810426288e+01, 3.050847542434296500e+01, 1.534845541233118382e+01, 2.531307428529369474e+01, 3.013536894029325808e+01, 2.321889025159848785e+01, 2.196051031164882161e+01, 2.416443583581994048e+01, 2.001301267700892339e+01
1.901000000000000000e+03, 2.534409068281093624e+01, 3.214275304506858788e+01, 1.782459744159394432e+01, 1.472072818341891853e+01, 2.696132038399600717e+01, 2.001205161202131322e+01, 1.636785156217074544e+01, 2.846701978997395344e+01, 3.140061552523670230e+01, 1.478778593217183790e+01, 2.430792175190078552e+01, 2.906747794313083944e+01, 2.308759864008020202e+01, 2.196838632845746631e+01, 2.399546622382648309e+01, 2.026069033525849505e+01
1.902000000000000000e+03, 2.447155082205523513e+01, 3.430980543762617430e+01, 1.789854050683999631e+01, 1.532477884728540474e+01, 2.585954256350518321e+01, 1.946321750183865973e+01, 1.669214538983397844e+01, 2.779039014726508583e+01, 3.260147433314076437e+01, 1.652820480610010279e+01, 2.324441108975434389e+01, 2.982526055532320086e+01, 2.368276870853655325e+01, 2.149736299145902052e+01, 2.531562292922215107e+01, 2.007496839916364451e+01
1.903000000000000000e+03, 2.409975406868353787e+01, 3.195883601234368143e+01, 1.695066948062795831e+01, 1.506619148097266070e+01, 2.586756501041744727e+01, 2.102064318423349221e+01, 1.650415607639127202e+01, 2.763885254512537415e+01, 2.989613178900987123e+01, 1.668546379697936644e+01, 2.271748245063129090e+01, 3.012920759618574351e+01, 2.439092964056823831e+01, 2.108298762425636497e+01, 2.555109323917539044e+01, 1.952183703624972466e+01
1.904000000000000000e+03, 2.345708854931423559e+01, 3.201648414789007546e+01, 1.707932082205323709e+01, 1.455589376952964464e+01, 2.762798585958536179e+01, 2.008598008478578834e+01, 1.570827212383185767e+01, 2.845831537483711315e+01, 2.953772353219805069e+01, 1.606008189843363354e+01, 2.321737233791732891e+01, 2.914616503779317114e+01, 2.415390506228783707e+01, 2.192552401829020781e+01, 2.486908035107936144e+01, 1.972404773548306522e+01
1.905000000000000000e+03, 2.363601071459220293e+01, 3.306260127025565509e+01, 1.785602242892278824e+01, 1.545806417980920777e+01, 2.721781515569525212e+01, 2.147202205640463291e+01, 1.553358551281277222e+01, 2.864238303718800793e+01, 3.112600342614615556e+01, 1.528722435454168505e+01, 2.198231528634141441e+01, 2.968445122275912240e+01, 2.389644099688983658e+01, 2.170422348585374905e+01, 2.535867928672165306e+01, 1.909645742961873793e+01
1.906000000000000000e+03, 2.388534198411674936e+01, 3.189579455485372605e+01, 1.828121930936817918e+01, 1.533532759004047286e+01, 2.638563384961864244e+01, 2.069460691789871021e+01, 1.587749755833029575e+01, 2.855583057314939310e+01, 3.107242220293491997e+01, 1.575841999553745687e+01, 2.270649620412804737e+01, 2.867476518568629729e+01, 2.507954484228701730e+01, 2.174704468286659775e+01, 2.478224161365089628e+01, 1.941910137521761470e+01
1.907000000000000000e+03, 2.447817399139454508e+01, 3.080367586887972919e+01, 1.871318919022435168e+01, 1.548866935951753909e+01, 2.715037523072952297e+01, 2.163964821130837990e+01, 1.616212290221382020e+01, 2.875743688177718482e+01, 3.196916256204856310e+01, 1.487708361208794194e+01, 2.090979086410415988e+01, 2.898212077682412158e+01, 2.514157944958961721e+01, 2.200722736541387903e+01, 2.498934183456889713e+01, 2.043755039970170628e+01
1.908000000000000000e+03, 2.429595721218971960e+01, 3.116989191072582344e+01, 1.758832577073407677e+01, 1.459885662032427867e+01, 2.664000561974517467e+01, 2.172018715099711983e+01, 1.617575127658279754e+01, 2.830833012146095129e+01, 3.104199402222302240e+01, 1.486686255398868362e+01, 2.234404391101843856e+01, 2.916217235432755572e+01, 2.500192694629330603e+01, 2.154072116728394803e+01, 2.483329906898769224e+01, 2.002813156952495177e+01
