year, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2, IPSL-CM6A-LR
1.903000000000000000e+03, 3.287342719342342259e-12, 3.827650045161767789e-10, 2.729846044321233579e-10, 5.922858426136267682e-11, 9.248554719548836656e-12, 1.304764602580582999e-12, 5.751882325805887631e-12, 2.870289047847937361e-10
1.904000000000000000e+03, 3.450296495354129133e-12, 3.818701059953515989e-10, 2.693588348001922165e-10, 5.962187848513065820e-11, 9.406447616694945104e-12, 1.785555245745439738e-12, 5.853178365178941715e-12, 2.768174479892562750e-10
1.905000000000000000e+03, 3.633017042048701034e-12, 3.841400004975738288e-10, 2.701985045321832138e-10, 5.816891644681536521e-11, 9.531144416077649288e-12, 1.879480372143740295e-12, 5.938938396146994748e-12, 2.796271783088291815e-10
1.906000000000000000e+03, 3.830985839184273454e-12, 3.855172734708654290e-10, 2.694855477310219646e-10, 6.127625015167309156e-11, 9.544883255168741329e-12, 1.942668036602982725e-12, 6.013207706734475475e-12, 3.040323861344953316e-10
1.907000000000000000e+03, 4.008008193592519807e-12, 3.866016927053933722e-10, 2.685931270889714454e-10, 6.330137677190971904e-11, 9.671217578088396629e-12, 2.142452753694506882e-12, 6.078086903767776824e-12, 2.977720019018440620e-10
1.908000000000000000e+03, 4.178618301118341775e-12, 3.874192519266687838e-10, 2.652556314241318848e-10, 6.494306575219508999e-11, 9.811912591447797648e-12, 2.195388578128674941e-12, 6.135361580966589792e-12, 3.041295455803559179e-10
1.909000000000000000e+03, 4.308416142232640087e-12, 3.884947558720481871e-10, 2.731100536063704341e-10, 6.214652401519260328e-11, 9.839758986802097347e-12, 2.323131330595287533e-12, 6.188210176608079544e-12, 2.993706292195340873e-10
1.910000000000000000e+03, 4.473801629582788106e-12, 3.999393744349566186e-10, 2.741008022708210520e-10, 6.664852351798152482e-11, 1.007759848547285591e-11, 2.205318977719465671e-12, 6.316871641853583697e-12, 2.964393360417106250e-10
1.911000000000000000e+03, 4.564370520819796900e-12, 4.050536924499269014e-10, 2.741534923262878074e-10, 6.551033838798905641e-11, 1.102403308285075058e-11, 1.789798333828301929e-12, 6.499193250845900173e-12, 3.326179795582811920e-10
1.912000000000000000e+03, 4.726186773141486960e-12, 4.055861610304389984e-10, 2.726712681324836077e-10, 6.955529318284829409e-11, 1.127992885808113425e-11, 1.674007815229752569e-12, 6.650794666152507722e-12, 3.157461529554993027e-10
1.913000000000000000e+03, 4.874870792299556629e-12, 4.080090599662047301e-10, 2.742194558293888355e-10, 6.769143553996395743e-11, 1.164807237383909828e-11, 1.639938633012255380e-12, 6.778359154374900222e-12, 3.138977272855064124e-10
1.914000000000000000e+03, 4.996144880223613804e-12, 4.095323129831418175e-10, 2.701426943889967029e-10, 7.240207501097523184e-11, 1.180469127242977231e-11, 1.678463964243482630e-12, 6.883493254396067565e-12, 3.226138119113977779e-10
1.915000000000000000e+03, 5.108545807232774861e-12, 4.109285979106980736e-10, 2.670301023275425087e-10, 7.409521636130328828e-11, 1.224463407425186525e-11, 1.716128556928233227e-12, 6.970184672298692637e-12, 3.233662443246560541e-10
1.916000000000000000e+03, 5.246740783432491170e-12, 4.103107357718648419e-10, 2.735026189316962123e-10, 7.382716112217157916e-11, 1.210554430880507488e-11, 1.852546738748978053e-12, 7.043291042569687550e-12, 3.174994711178669306e-10
1.917000000000000000e+03, 5.389572429182759746e-12, 4.108982284975561523e-10, 2.752982308472342570e-10, 6.622627486316534227e-11, 1.202310668461123625e-11, 1.974714418183789721e-12, 7.104344854218594438e-12, 3.322732229583734663e-10
1.918000000000000000e+03, 5.587914819826733411e-12, 4.116976299751901903e-10, 2.811037859294703338e-10, 6.974220246671213054e-11, 1.220716788215903975e-11, 1.982194975944882297e-12, 7.152754458190711260e-12, 3.449723567181471848e-10
1.919000000000000000e+03, 5.769661106379579284e-12, 4.123861107453856336e-10, 2.835334460605994465e-10, 7.210039142779372247e-11, 1.243852292168243450e-11, 1.977037119925013269e-12, 7.192306044773822623e-12, 3.335542026039344753e-10
1.920000000000000000e+03, 6.035970989743425642e-12, 4.261354449280918602e-10, 2.912399740887122952e-10, 7.407133266647163572e-11, 1.275870710699950845e-11, 2.308206101732010470e-12, 7.452979066938747576e-12, 3.366041317028597024e-10
1.921000000000000000e+03, 6.230136825661192497e-12, 4.337681418511872791e-10, 2.900065267078501802e-10, 7.703777138012145322e-11, 1.479430566118608672e-11, 2.856886493272829628e-12, 7.871752018855211488e-12, 3.681789917558204724e-10
1.922000000000000000e+03, 6.614447335422647398e-12, 4.386916887096209328e-10, 2.956315435173957443e-10, 7.860558966711915456e-11, 1.570475102786148581e-11, 3.724578055171483868e-12, 8.230818776959398980e-12, 3.647902281841572784e-10
