year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, INM-CM4-8, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, GFDL-ESM4
1.895000000000000000e+03, 5.733936306695181173e+00, 1.556975473591667480e+01, 1.109459596044507990e+01, 1.169242870444832327e+01, 1.240966608407176430e+01, 1.097715876758928566e+01, 7.028078226732991318e+00, 7.572682953858823396e+00, 1.524195149499768753e+01, 1.419246204860191440e+01, 1.035110214140819629e+01, 1.052715943422268907e+01, 6.561630787404555853e+00, 1.031555346660037387e+01, 6.042185225887707567e+00, 1.143721460727829431e+01
1.896000000000000000e+03, 5.699339460835114224e+00, 1.550807892636754204e+01, 1.119880801988842833e+01, 1.168004578492933909e+01, 1.173710370973010342e+01, 1.090248090099609968e+01, 6.414167703950923283e+00, 7.605689033744972072e+00, 1.470799897965931180e+01, 1.446246218887186963e+01, 1.023924659533602011e+01, 8.776567529956755820e+00, 6.165595404238557009e+00, 1.054374470116600726e+01, 6.314021802119943239e+00, 1.051667034659203992e+01
1.897000000000000000e+03, 5.476785694328478726e+00, 1.546329804870158320e+01, 1.134701813060729947e+01, 1.060452566838056576e+01, 1.225288780560797619e+01, 1.117780750257722033e+01, 6.829415213956635533e+00, 7.476793223379195830e+00, 1.504043295992197571e+01, 1.447451028389215288e+01, 1.100911362335942556e+01, 9.006489891867246911e+00, 6.256380979759317285e+00, 1.020560962665647153e+01, 6.132017781106605447e+00, 1.134189045921875127e+01
1.898000000000000000e+03, 5.991590693446377180e+00, 1.551619067401626673e+01, 1.097721952185390215e+01, 9.900374695435445460e+00, 1.123891348833894099e+01, 1.214637831967433002e+01, 7.122744741886456232e+00, 7.197094070087532991e+00, 1.426020403128648084e+01, 1.351519041783934050e+01, 1.057191942573336441e+01, 9.669601460404107840e+00, 6.204862859174518519e+00, 9.549388563167639177e+00, 6.284380213283285777e+00, 1.106792543094244863e+01
1.899000000000000000e+03, 5.919666177789022043e+00, 1.597398105745922159e+01, 1.126556886380910250e+01, 1.193933640023801601e+01, 1.231767711411627353e+01, 1.102076167397916429e+01, 6.341271648818548989e+00, 7.535939984694887350e+00, 1.326157510058278177e+01, 1.405304889427187476e+01, 1.004702846050195397e+01, 9.397558614770279206e+00, 6.207469600093926232e+00, 9.703041977654351058e+00, 5.667931411688090115e+00, 1.103023650576912651e+01
1.900000000000000000e+03, 5.850713447176898008e+00, 1.516976471593248732e+01, 1.134383490666178318e+01, 1.305094343751810726e+01, 1.245000987036345208e+01, 1.087396824058116174e+01, 6.761750019269997303e+00, 7.308990356071624284e+00, 1.521758622398604288e+01, 1.435421770409462283e+01, 1.023857264683417867e+01, 9.195889026719143544e+00, 6.217933448390223994e+00, 9.162690827972246765e+00, 5.987820693667625704e+00, 1.087669220829466887e+01
1.901000000000000000e+03, 5.745325784994315121e+00, 1.582000454033408232e+01, 1.126254300371600259e+01, 1.218357317481488167e+01, 1.155001187129751550e+01, 1.036430585534374060e+01, 6.125534347392932233e+00, 7.547983950745026149e+00, 1.478230007818257796e+01, 1.475200481055444968e+01, 1.129629650327645152e+01, 9.624338548885699396e+00, 6.166467830138947726e+00, 9.202120525788522798e+00, 6.471454130676197458e+00, 1.100979331063014044e+01
1.902000000000000000e+03, 5.971145016825836649e+00, 1.530760163154966769e+01, 1.081432691672375057e+01, 1.168606121325654001e+01, 1.217952622404089169e+01, 1.003365851998411884e+01, 7.456402937620048910e+00, 7.296733969174981738e+00, 1.612833202892938544e+01, 1.541448663284000808e+01, 1.061148662356303518e+01, 9.042087233066439467e+00, 6.471992069838004902e+00, 1.021966887404605018e+01, 6.245709756316538908e+00, 1.130500370950723088e+01
1.903000000000000000e+03, 5.758274648677875973e+00, 1.514999214050165754e+01, 1.078635151596821906e+01, 1.148950941809385284e+01, 1.241479353444191780e+01, 1.091525877236149888e+01, 7.159417859325231781e+00, 7.204787519857656974e+00, 1.504444871661423733e+01, 1.431304061219271695e+01, 1.041100843212226579e+01, 9.162343438081213876e+00, 6.265030905793699034e+00, 1.011980870507228225e+01, 5.906560632458280224e+00, 1.170955019689507992e+01
1.904000000000000000e+03, 5.524236000217896958e+00, 1.578449834529547680e+01, 1.130042280425379353e+01, 1.183689759317243961e+01, 1.198538897432494821e+01, 1.048297847862761856e+01, 6.457275924892152297e+00, 7.246792016545401616e+00, 1.506968284043542994e+01, 1.385060247807497191e+01, 1.009046557240460196e+01, 9.874417024916597896e+00, 6.121307251371426617e+00, 9.703236917549650897e+00, 6.290898215295637641e+00, 1.139614735947770008e+01
1.905000000000000000e+03, 5.543409332362116970e+00, 1.596193237380393448e+01, 1.112325844406541009e+01, 1.096069976184874228e+01, 1.249256893227492426e+01, 1.106826348933071635e+01, 6.715783617010429474e+00, 7.098478559028175816e+00, 1.528862875609730132e+01, 1.470558511391385181e+01, 1.030259374661234872e+01, 9.354853330809632439e+00, 6.590485532840050453e+00, 1.004152161417074574e+01, 6.524902672885627197e+00, 1.132309086262860554e+01
1.906000000000000000e+03, 5.634135782526519698e+00, 1.593461440568421139e+01, 1.118242491632383206e+01, 1.145051927752607313e+01, 1.158078899735755307e+01, 1.063505495878501783e+01, 6.913487688079804627e+00, 7.287026610244444313e+00, 1.462852850277409900e+01, 1.468623349432265535e+01, 1.038557909714596406e+01, 9.147973320317479562e+00, 6.340285791172235896e+00, 9.524776683631122509e+00, 6.488613609122208636e+00, 1.212106087168852930e+01
1.907000000000000000e+03, 5.716918141689417254e+00, 1.601919874283381162e+01, 1.127053393458819208e+01, 1.041041878339676607e+01, 1.156872303773164212e+01, 1.097999972466057272e+01, 6.021223268152535724e+00, 7.753854971668949325e+00, 1.418245974029612810e+01, 1.527050086066006074e+01, 1.071902778687598712e+01, 9.509517830335580513e+00, 6.378411633087223365e+00, 9.816359107116491955e+00, 6.548018461122726563e+00, 1.195908982916057184e+01
1.908000000000000000e+03, 5.608099383634467472e+00, 1.569856545175100671e+01, 1.098315048965282870e+01, 1.138996495159898892e+01, 1.174813959412779241e+01, 1.113648270521777661e+01, 6.678372206917900122e+00, 7.376344394527881043e+00, 1.452876999679908465e+01, 1.447298359471220230e+01, 1.057900438301969182e+01, 9.382763123312388487e+00, 5.949444789450475390e+00, 9.519769264590529190e+00, 6.099382759333692228e+00, 1.189042676116997654e+01
