year, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.895000000000000000e+03, 4.800065313536044860e-10, 1.458912813685180192e-10, 4.503139893137864829e-10, 2.444315451151277824e-10, 2.450288789004257154e-10, 1.490287255698900206e-10, 2.180497305131235520e-10, 4.133811010651403511e-11, 1.528370575214472779e-10, 1.120448563487669859e-10
1.896000000000000000e+03, 4.829938942578932433e-10, 1.489897339163862142e-10, 4.604561210096646835e-10, 2.468655483473566994e-10, 2.619940874866440339e-10, 1.514789371336039671e-10, 2.149206447350626288e-10, 4.477314709897373549e-11, 1.544335855221079742e-10, 1.120696230856431037e-10
1.897000000000000000e+03, 4.875608619116879369e-10, 1.519516588930256789e-10, 4.682175840354589720e-10, 2.496388121388975732e-10, 2.493665019337016784e-10, 1.536132268210294789e-10, 2.270149472077228806e-10, 5.113928595921961331e-11, 1.560978807492325918e-10, 1.114428114661427894e-10
1.898000000000000000e+03, 4.896283267078064784e-10, 1.546134143223945900e-10, 4.807222793883429436e-10, 2.523438856148513285e-10, 2.416042589613886381e-10, 1.554679916003208406e-10, 2.399671660023876360e-10, 5.624670112997335323e-11, 1.575610068001609863e-10, 1.127448804390271079e-10
1.899000000000000000e+03, 4.873524693457016025e-10, 1.553488914945415596e-10, 4.859051167598594104e-10, 2.568861309787831277e-10, 2.385767238285222674e-10, 1.577084205141691193e-10, 2.426405496042484859e-10, 5.909581814258959854e-11, 1.591114470011428490e-10, 1.132082898469190713e-10
1.900000000000000000e+03, 4.698923007932335615e-10, 1.284650949165696481e-10, 4.925403052222323607e-10, 1.662287146085651243e-10, 2.456815096932327586e-10, 1.595536297554507430e-10, 2.480043854506039127e-10, 4.386274215221606108e-11, 1.604327409594230244e-10, 1.242772661490286798e-10
1.901000000000000000e+03, 2.849839096359746431e-10, 1.292333850516679355e-10, 3.104304372438007270e-10, 1.596006716764535996e-10, 2.123682629932991114e-10, 1.287772718415405213e-10, 2.111725177789217631e-10, 2.451237241938303316e-11, 1.120804876076796864e-10, 1.291694205014451393e-10
1.902000000000000000e+03, 2.884128091386376956e-10, 1.316266432114626453e-10, 3.050335446350446083e-10, 1.551657693861624958e-10, 2.347626096483782071e-10, 1.295502961635887672e-10, 2.191220058091996730e-10, 1.702477356636528132e-11, 1.094403073071578316e-10, 1.302794579875631573e-10
1.903000000000000000e+03, 2.956473223073654264e-10, 1.319602935004087635e-10, 3.009779967080847351e-10, 1.523956149340775765e-10, 2.632619251240518859e-10, 1.303786147505395963e-10, 2.141260995764223269e-10, 1.380907394877699943e-11, 1.066127626263139006e-10, 1.316684785469202757e-10
1.904000000000000000e+03, 2.973385732763473952e-10, 1.345372248449242652e-10, 2.947170530846736353e-10, 1.505608957554491912e-10, 2.711589014228954446e-10, 1.322433895826976747e-10, 2.196580386606463680e-10, 1.244232681807180756e-11, 1.038733065335227527e-10, 1.323314757177906571e-10
1.905000000000000000e+03, 2.989680002919370458e-10, 1.382811104444956552e-10, 2.872191538696741603e-10, 1.489375021654269433e-10, 2.710245051893750600e-10, 1.333366842129509282e-10, 2.191656504335716687e-10, 1.262653230416324772e-11, 1.013645942782116543e-10, 1.337147719277907366e-10
1.906000000000000000e+03, 2.961084616066441630e-10, 1.391508587337433471e-10, 2.789694112446431347e-10, 1.482787671323666272e-10, 2.662644816868485058e-10, 1.348228432886594081e-10, 2.183752614619631281e-10, 1.299272930645555551e-11, 9.857419242904897259e-11, 1.359287271397039146e-10
1.907000000000000000e+03, 3.032603780385100590e-10, 1.417224974503296526e-10, 2.710949004596288034e-10, 1.477941680707960006e-10, 2.417352040824170524e-10, 1.367132497605378698e-10, 2.371877965947036514e-10, 1.325401561956964491e-11, 9.576194827237416212e-11, 1.376139916061756213e-10
1.908000000000000000e+03, 3.084634505621791910e-10, 1.427637434387192800e-10, 2.652768259562449926e-10, 1.490903714836462356e-10, 2.088818170193635377e-10, 1.379592573111960338e-10, 2.533326898839078710e-10, 1.414954506410647644e-11, 9.280036430690862445e-11, 1.377794743008992084e-10
1.909000000000000000e+03, 3.095210323711636527e-10, 1.434844619685599076e-10, 2.575564872438482773e-10, 1.491016549320788684e-10, 2.239790906907615366e-10, 1.397739177725813980e-10, 2.366733619177163482e-10, 1.501226713064245520e-11, 9.017032010809768248e-11, 1.384367383022611336e-10
1.910000000000000000e+03, 3.117762918148617666e-10, 1.367734418688344546e-10, 2.502828203309366488e-10, 1.243815423147220729e-10, 2.485552942420715143e-10, 1.425137711911732979e-10, 2.228044073883136702e-10, 1.215768034279141515e-11, 8.744930940929712351e-11, 1.163098153815842327e-10
1.911000000000000000e+03, 2.630928970435800411e-10, 1.391254946487010782e-10, 1.785631930371227575e-10, 1.235640768920759673e-10, 2.312351088188036651e-10, 1.286104130416502838e-10, 2.176247167730195683e-10, 8.489042932703307284e-12, 5.950878311975632538e-11, 1.008807130065672287e-10
1.912000000000000000e+03, 2.650536409423241662e-10, 1.420391881373069713e-10, 1.741627783975643124e-10, 1.231633254497596231e-10, 2.298353535881756706e-10, 1.299156784644394525e-10, 2.392442510535762790e-10, 6.795868924009891450e-12, 5.825139638613420152e-11, 9.752475328598133427e-11
1.913000000000000000e+03, 2.680432268462644193e-10, 1.458431014405888197e-10, 1.714717995563951952e-10, 1.234878988135949656e-10, 2.204037937526293523e-10, 1.312997697962665893e-10, 2.369083744195536235e-10, 6.071688077408055292e-12, 5.691077122238452816e-11, 9.561460087814446312e-11
1.914000000000000000e+03, 2.710375389444111716e-10, 1.468572115856295238e-10, 1.676057258516311773e-10, 1.238941315682739967e-10, 2.164205903542730864e-10, 1.330358067271448879e-10, 2.203065511858928604e-10, 5.653210647916222048e-12, 5.563897556698937165e-11, 9.319064834029019006e-11
1.915000000000000000e+03, 2.734001635112905514e-10, 1.472244829901229655e-10, 1.630859887593685914e-10, 1.238491204926176687e-10, 2.255760289465830411e-10, 1.349559146767251947e-10, 2.252511836920192895e-10, 5.281567464304130020e-12, 5.436123195400753064e-11, 9.300943481230231533e-11
1.916000000000000000e+03, 2.686279219971391020e-10, 1.494527781506236693e-10, 1.593788728997211903e-10, 1.245166660684091046e-10, 2.329285197240807388e-10, 1.364996146767372846e-10, 2.388125163040006677e-10, 4.879285584803339686e-12, 5.309855782993707902e-11, 9.319476029524548377e-11
1.917000000000000000e+03, 2.690412788162312326e-10, 1.526230594152271161e-10, 1.564538793365093613e-10, 1.254989675806937513e-10, 2.237253114193527568e-10, 1.389662106477904271e-10, 2.306862399222466068e-10, 4.457222838786286741e-12, 5.176443780272981259e-11, 9.308704561610520567e-11
