year, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg
1.904000000000000000e+03, 6.188678382957935414e-10, 1.586389495206947523e-10, 5.334812714185116361e-10, 2.098782515763044957e-10, 2.284482659743836810e-10, 2.284482659743836810e-10, 5.334812714185116361e-10, 1.586389495206947523e-10, 6.211630953792750160e-10, 4.509734938221626390e-10, 1.202120568477407185e-10, 3.816211150892694095e-10
1.905000000000000000e+03, 7.718749170656637756e-10, 2.584347398860338234e-10, 4.447290881488088250e-10, 1.730148786749588203e-10, 1.992032358105841456e-10, 1.992032358105841456e-10, 4.447290881488088250e-10, 2.584347398860338234e-10, 7.741465654669180826e-10, 4.356760361385595260e-10, 1.024945588960925196e-10, 4.697292452176287763e-10
1.906000000000000000e+03, 8.127142855042357975e-10, 2.079285141463209944e-10, 4.153736784619426834e-10, 1.738730471004236014e-10, 2.431643724499483392e-10, 2.431643724499483392e-10, 4.153736784619426834e-10, 2.079285141463209944e-10, 8.150812662050361909e-10, 3.318042493303489993e-10, 1.068060599942764831e-10, 4.592890951469284982e-10
1.907000000000000000e+03, 9.887970156491103168e-10, 1.758871723239180039e-10, 3.993439663103132551e-10, 1.807406177520910452e-10, 2.205817428554955088e-10, 2.205817428554955088e-10, 3.993439663103132551e-10, 1.758871723239180039e-10, 9.911601721470858845e-10, 4.100167064564783752e-10, 9.613945511313411834e-11, 3.423460023851896463e-10
1.908000000000000000e+03, 9.818301025463445531e-10, 1.697023009009504690e-10, 3.459140535651173654e-10, 1.650201058758953388e-10, 2.271090555759798018e-10, 2.271090555759798018e-10, 3.459140535651173654e-10, 1.697023009009504690e-10, 9.842319573175569463e-10, 4.136069833116216878e-10, 9.206479672986645115e-11, 5.803272838722826512e-10
1.909000000000000000e+03, 5.331000490538697452e-10, 1.753623882786997516e-10, 4.535169217296325224e-10, 1.440637556988471279e-10, 2.142968821541762774e-10, 2.142968821541762774e-10, 4.535169217296325224e-10, 1.753623882786997516e-10, 5.355655726163944631e-10, 3.545369726356914362e-10, 8.771160367328164465e-11, 4.671956129137220834e-10
1.910000000000000000e+03, 5.662844833931127956e-10, 1.511394805402433853e-10, 3.761833806664729126e-10, 2.070768845237692209e-10, 2.319798459576425477e-10, 2.319798459576425477e-10, 3.761833806664729126e-10, 1.511394805402433853e-10, 5.687971951971665181e-10, 3.440616703916451465e-10, 8.620675363408612794e-11, 5.018952800459026909e-10
1.911000000000000000e+03, 5.956798068038411519e-10, 1.134428211864570353e-10, 4.132496006196717282e-10, 1.643549750471852151e-10, 2.590293603754376620e-10, 2.590293603754376620e-10, 4.132496006196717282e-10, 1.134428211864570353e-10, 5.981481576081393473e-10, 5.138093060534418202e-10, 1.011731934791531840e-10, 5.691987407506917699e-10
1.912000000000000000e+03, 6.594024054796621634e-10, 1.148641605279661484e-10, 3.914159176809112657e-10, 1.585835193905305067e-10, 2.546622725938396267e-10, 2.546622725938396267e-10, 3.914159176809112657e-10, 1.148641605279661484e-10, 6.618784152356898797e-10, 3.848134437847124788e-10, 9.337819829713910732e-11, 4.215507228323991893e-10
1.913000000000000000e+03, 5.588238295323097453e-10, 1.862732623270850788e-10, 5.261841744215015439e-10, 1.222225734448062911e-10, 2.132384395045241472e-10, 2.132384395045241472e-10, 5.261841744215015439e-10, 1.862732623270850788e-10, 5.613316063690141877e-10, 4.661514126946669520e-10, 1.388591814203768432e-10, 4.981170515574178524e-10
