year, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, UKESM1-0-LL, TaiESM1, INM-CM4-8, CanESM5, NorESM2-MM
1.899000000000000000e+03, 1.142001599949230695e+02, 5.673304420762566735e+01, 7.845939411622561011e+01, 5.565681499346678862e+01, 4.019682359199713062e+01, 9.690448712107868801e+01, 4.053049063141842367e+01, 6.015158938166720759e+01, 6.534174276044953444e+01, 8.598566634931316344e+01, 8.185220447249437825e+01, 7.364861776921176784e+01, 4.419290497912704296e+01, 1.127844193902939054e+02, 6.966132732807278671e+01, 6.272421217743491439e+01
1.900000000000000000e+03, 1.140623922357940501e+02, 5.703539739313277579e+01, 7.834673769699081447e+01, 5.451495815506230258e+01, 4.001896676325546309e+01, 9.669240399389599361e+01, 4.042493675729080138e+01, 5.987683649534035624e+01, 6.509892789528092294e+01, 8.551798038641724986e+01, 8.161530472361067723e+01, 7.332898952217635724e+01, 4.445090064793546247e+01, 1.128402797958080868e+02, 6.979657057584908841e+01, 6.258363136496274137e+01
1.901000000000000000e+03, 1.140364846259059561e+02, 5.734922259977028602e+01, 7.807323120947222606e+01, 5.440235789582133918e+01, 3.959461643455322388e+01, 9.648215074336886232e+01, 4.045385535032863800e+01, 5.984250531606394929e+01, 6.489208917224696904e+01, 8.573354183417082197e+01, 8.136054960950129100e+01, 7.310707679692683314e+01, 4.397436105379155435e+01, 1.128006115013072730e+02, 6.982759813950914918e+01, 6.235527488363364768e+01
1.902000000000000000e+03, 1.144246025749306739e+02, 5.770307041047200869e+01, 7.790793111604038756e+01, 5.445656647964413821e+01, 3.951255850370595368e+01, 9.621809212635783126e+01, 4.037974819815383398e+01, 5.992135901346909321e+01, 6.472585299426850725e+01, 8.555906738477948181e+01, 8.096000476960581693e+01, 7.282044763545472676e+01, 4.387977013617523170e+01, 1.125954074393699784e+02, 6.960410539341083336e+01, 6.215332033956423174e+01
1.903000000000000000e+03, 1.147390085777782218e+02, 5.687483717234871250e+01, 7.789362305503912864e+01, 5.420520396071615465e+01, 3.947563147953706419e+01, 9.611467741459020431e+01, 4.016329986303710342e+01, 5.983084432152994481e+01, 6.454506613424283046e+01, 8.559298385876822124e+01, 8.071724007315597760e+01, 7.275171936433477526e+01, 4.372398010037077398e+01, 1.127952173316217852e+02, 6.930055470713983823e+01, 6.214388032658852978e+01
1.904000000000000000e+03, 1.148463059511611277e+02, 5.595101800515603685e+01, 7.794852179938108350e+01, 5.361182114426381418e+01, 3.953197751162453955e+01, 9.615613711375270611e+01, 4.011202011619773344e+01, 5.972203719314914849e+01, 6.447401017765278652e+01, 8.518196912352921402e+01, 8.045790797683234530e+01, 7.262811685839943721e+01, 4.339110235380140779e+01, 1.130379619214295417e+02, 6.892227206644403736e+01, 6.215963193253251262e+01
1.905000000000000000e+03, 1.150326200391388625e+02, 5.620132410838649406e+01, 7.789683606281545281e+01, 5.333666190889902481e+01, 3.955336524688806321e+01, 9.618263612127434214e+01, 3.987298058364284969e+01, 5.961611419180503191e+01, 6.436367752795895569e+01, 8.466182183946115458e+01, 8.030485694385687623e+01, 7.253770413602771328e+01, 4.318135195709315610e+01, 1.133143965009097229e+02, 6.874935471013733945e+01, 6.198340491565140553e+01
1.906000000000000000e+03, 1.153847994413889069e+02, 5.657245510984883907e+01, 7.764695790450554114e+01, 5.289722658448356896e+01, 3.953035089846490990e+01, 9.621202265780871699e+01, 3.970772921900181274e+01, 5.955849949993530856e+01, 6.411695698307792668e+01, 8.472184261119598148e+01, 8.009356234603063740e+01, 7.217605273443201952e+01, 4.327482909279626710e+01, 1.135600715012356119e+02, 6.867617352274160680e+01, 6.183542635879973659e+01
1.907000000000000000e+03, 1.155118789524504166e+02, 5.563741526988176389e+01, 7.734883666928006107e+01, 5.298554018537004140e+01, 3.939217029408982285e+01, 9.606323078959334794e+01, 3.950532373848984236e+01, 5.951811787143567045e+01, 6.379693819095439267e+01, 8.455566895843622888e+01, 7.967502765221678374e+01, 7.191336070479164277e+01, 4.282749172557216610e+01, 1.134552855109004810e+02, 6.864897074144235489e+01, 6.178512170432268391e+01
1.908000000000000000e+03, 1.156467033839534366e+02, 5.563440061303170836e+01, 7.744855788967268495e+01, 5.267007994222345246e+01, 3.911106618304553706e+01, 9.599732895119691989e+01, 3.944657720722919692e+01, 5.931956520158653490e+01, 6.351458616474858587e+01, 8.438083650387049772e+01, 7.894897106180806645e+01, 7.165981192485789109e+01, 4.303490585253783252e+01, 1.134842892857474226e+02, 6.867547116801900131e+01, 6.153445150000464992e+01
