year, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, CMCC-CM2-SR5, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
2.055000000000000000e+03, 6.717676147620882610e+00, 4.606473511051150993e+00, 4.322530053114130411e+00, 6.642810924999160704e+00, 5.300428718023780128e+00, 2.782820912160250515e+00, 4.595438660214028914e+00, 5.577313345992375382e+00, 4.163776538479332601e+00, 7.810036691902253025e+00, 5.702566331177933101e+00, 6.624918333103602563e+00, 7.132969960176650304e+00, 5.446629776611160878e+00
2.056000000000000000e+03, 6.954677772622117615e+00, 4.392102491058799352e+00, 4.555056240241978749e+00, 6.816062955040255389e+00, 5.362608664005152903e+00, 2.950587253677070532e+00, 4.210638175936742833e+00, 5.594326505494848334e+00, 4.179613250571567740e+00, 7.588579491460843762e+00, 5.861621353149925717e+00, 6.748288925096399993e+00, 7.451124242303976075e+00, 5.363575141972639848e+00
2.057000000000000000e+03, 7.015681884487196207e+00, 4.506642458352114744e+00, 4.293033737389695403e+00, 6.981102881762399903e+00, 5.359411560972572097e+00, 2.939058218551055202e+00, 4.482586588948397122e+00, 5.845000679135023525e+00, 4.139644576006059395e+00, 7.737390494114352535e+00, 5.978349092085474048e+00, 6.433935379846277947e+00, 7.485853111145088334e+00, 5.805260039489255952e+00
2.058000000000000000e+03, 6.781222907036766223e+00, 4.695968902044665327e+00, 4.571822852615383681e+00, 6.561542670338610606e+00, 5.292875939486147985e+00, 2.950455944744378556e+00, 4.914166388014643339e+00, 5.372457090550841308e+00, 4.258961947095254885e+00, 7.719350505034852539e+00, 5.889678798988052577e+00, 6.773074763089725003e+00, 7.324819226658663140e+00, 5.566822249105263687e+00
2.059000000000000000e+03, 6.874265526613578814e+00, 4.922333074772460293e+00, 4.747847620010140268e+00, 6.920280590534897414e+00, 5.281997884193162740e+00, 2.916070338751068025e+00, 4.694122839191892105e+00, 5.641171744393408183e+00, 4.335144235463963547e+00, 7.740419703812401409e+00, 5.850505476798273818e+00, 6.687322702086987647e+00, 7.532430979353136991e+00, 5.540969892842364963e+00
2.060000000000000000e+03, 6.871093864512830329e+00, 4.731744544714434397e+00, 4.577941658981062645e+00, 6.806692952709311406e+00, 5.126946422993641228e+00, 3.039662229309694208e+00, 4.472321650767074885e+00, 5.682976796164517452e+00, 4.282426699518399715e+00, 7.621411337065162606e+00, 6.333132880078222726e+00, 6.831161211467956740e+00, 7.632865286297818130e+00, 5.532874813741146980e+00
2.061000000000000000e+03, 6.849687013021074300e+00, 4.892336018676663123e+00, 4.711748143265529265e+00, 7.331312488613707323e+00, 5.207004883019828334e+00, 2.981477050422960406e+00, 4.441625062978697080e+00, 5.784829942399333014e+00, 4.191690796237367955e+00, 7.967771059707249748e+00, 5.858630949803152355e+00, 6.982693978908022459e+00, 7.712198183416562713e+00, 5.935916246846699273e+00
2.062000000000000000e+03, 6.700277158475048012e+00, 5.125178482126328205e+00, 4.752656394692053254e+00, 7.481624876353594189e+00, 5.302692120883175875e+00, 2.987367989515314903e+00, 5.203187785051460068e+00, 6.024765655452526403e+00, 4.363988772059665067e+00, 8.050906612089415049e+00, 6.073891603504633530e+00, 7.007864563368722877e+00, 7.917897931579381599e+00, 5.807308965930184641e+00
2.063000000000000000e+03, 6.998314502330628351e+00, 5.002227145970965516e+00, 4.881903154389555688e+00, 7.100352645129788698e+00, 5.351322040612238595e+00, 3.043886262112674768e+00, 4.238879675606135322e+00, 5.508956524044680947e+00, 4.464895887897337268e+00, 7.686295729967043577e+00, 5.964826968691365749e+00, 6.861986522894012452e+00, 7.905103581430000581e+00, 5.800660837751527410e+00
2.064000000000000000e+03, 7.049003722457836574e+00, 4.895344328066910222e+00, 4.599384358610343781e+00, 7.220352322276156087e+00, 5.248697129523747229e+00, 2.928567154313245879e+00, 5.064650410087183197e+00, 5.575199549986286307e+00, 4.370219495775661933e+00, 7.756815030591240223e+00, 6.026376353862799462e+00, 7.051932461908999805e+00, 7.696950922178590559e+00, 5.960403689851676567e+00
2.065000000000000000e+03, 7.102016014063981864e+00, 5.050517202599509758e+00, 4.564109926107130732e+00, 7.278242501996462721e+00, 5.546213340068512743e+00, 3.002641477061136488e+00, 4.899951172069496153e+00, 5.774308179786559414e+00, 4.511185009429843795e+00, 7.909256012456538976e+00, 6.251175947910548203e+00, 6.931739423134411382e+00, 8.000919845208684933e+00, 5.779996443702802189e+00
2.066000000000000000e+03, 6.970420753313294249e+00, 4.951080172482526187e+00, 4.595770290335268626e+00, 7.681686224836759003e+00, 5.440564604106725710e+00, 2.989943327513719940e+00, 4.608413990360538115e+00, 5.740561262940729215e+00, 4.362475730311918376e+00, 8.138526848442714012e+00, 6.283309197883260033e+00, 6.874001563367161616e+00, 8.072777295728162272e+00, 5.893927914017946357e+00
