year, NorESM2-MM, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, CNRM-ESM2-1, TaiESM1, NorESM2-LM
2.074000000000000000e+03, 1.628161638112674890e-09, 1.610945962325438276e-09, 3.192495765268786904e-09, 1.928763436976935572e-09, 3.179065171004697351e-09, 1.628161638112674890e-09, 1.519498937576218125e-09, 7.884741924909836075e-10, 7.693840046304354918e-10, 7.884741924909836075e-10, 1.519498937576218125e-09, 8.425815860969347865e-10
2.075000000000000000e+03, 1.313865325491556103e-09, 1.117810147363084005e-09, 3.257022682025462504e-09, 2.658890692534637403e-09, 3.243549307630720282e-09, 1.313865325491556103e-09, 1.843864799640211754e-09, 6.659283408428114756e-10, 1.010207043922415829e-09, 6.659283408428114756e-10, 1.843864799640211754e-09, 1.187783229653055142e-09
2.076000000000000000e+03, 1.666769048658616758e-09, 1.562729784685238145e-09, 2.911849796463268904e-09, 2.282066423313301656e-09, 2.897925797203763136e-09, 1.666769048658616758e-09, 1.610174203941674157e-09, 6.197633522773931154e-10, 9.181580244427530844e-10, 6.197633522773931154e-10, 1.610174203941674157e-09, 1.412501810474107492e-09
2.077000000000000000e+03, 1.268708030778671400e-09, 1.086361512345334416e-09, 3.351702077962821735e-09, 2.140344681105373691e-09, 3.337313424815971942e-09, 1.268708030778671400e-09, 1.510698854726391537e-09, 6.770642380174722417e-10, 9.808435412431016528e-10, 6.770642380174722417e-10, 1.510698854726391537e-09, 1.317348195023426922e-09
2.078000000000000000e+03, 1.223695593200199480e-09, 1.218509461954948358e-09, 2.991241443221630574e-09, 2.023270142496574591e-09, 2.976528644851396921e-09, 1.223695593200199480e-09, 1.452370842997282373e-09, 8.266640607104630591e-10, 9.259315223919654929e-10, 8.266640607104630591e-10, 1.452370842997282373e-09, 1.251430593155270966e-09
2.079000000000000000e+03, 1.320664822347830194e-09, 1.523458280887191346e-09, 2.677904925803938848e-09, 2.475311072025038452e-09, 2.663393788242662616e-09, 1.320664822347830194e-09, 1.187525892194279615e-09, 6.129836283164777900e-10, 8.181847661110171868e-10, 6.129836283164777900e-10, 1.187525892194279615e-09, 1.261855590873632619e-09
2.080000000000000000e+03, 1.348073180993031545e-09, 1.339633198069649593e-09, 2.710466031522823321e-09, 2.756827097320943343e-09, 2.695707645186041340e-09, 1.348073180993031545e-09, 1.568999591650840221e-09, 7.018350142151231112e-10, 7.489212297220056210e-10, 7.018350142151231112e-10, 1.568999591650840221e-09, 1.261442708973760870e-09
2.081000000000000000e+03, 1.688622996133089901e-09, 1.147846844974681065e-09, 2.965915555219847009e-09, 3.371763748167708403e-09, 2.950935956999462238e-09, 1.688622996133089901e-09, 1.400304040647255200e-09, 5.801206545221907829e-10, 8.348836079472956496e-10, 5.801206545221907829e-10, 1.400304040647255200e-09, 1.021715632636872332e-09
2.082000000000000000e+03, 9.998255556950895875e-10, 1.180753708536924773e-09, 2.680532579419643839e-09, 2.930994726207798967e-09, 2.665399960090963548e-09, 9.998255556950895875e-10, 1.343128579524661670e-09, 7.469099143285124517e-10, 7.615276670776766895e-10, 7.469099143285124517e-10, 1.343128579524661670e-09, 1.068396857190457499e-09
2.083000000000000000e+03, 1.645233060630586352e-09, 1.312298857694550228e-09, 2.989126746794600467e-09, 2.143825996242632566e-09, 2.974289732860686596e-09, 1.645233060630586352e-09, 1.618474259603550581e-09, 6.781098942325731529e-10, 8.608935998621610233e-10, 6.781098942325731529e-10, 1.618474259603550581e-09, 1.158319760883677207e-09
