year, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM
2.079000000000000000e+03, 2.367277144225174434e-01, 2.178383667183130701e+00, 1.766755477505463690e+00, 2.198885643917456889e+00, 8.483764427712729705e-02, 2.638328853496748616e-01, 6.216988620627573320e-02, 3.819319241298017586e-01, 7.383478192951132835e-01
2.080000000000000000e+03, 2.582482548627315078e-01, 2.186596815561933749e+00, 1.794764115863119791e+00, 2.179636651543466641e+00, 8.686202793931258048e-02, 2.638073556692315247e-01, 6.635195444036580403e-02, 3.812645398259920659e-01, 7.359484318160985916e-01
2.081000000000000000e+03, 2.706989622529201722e-01, 2.196437873435843624e+00, 1.800583754831508898e+00, 2.153505676258772095e+00, 8.725165551793544194e-02, 2.624286111603091332e-01, 6.829089592094003680e-02, 3.803984876981223451e-01, 7.523592148645144029e-01
2.082000000000000000e+03, 2.961614201626716625e-01, 2.201706225384246540e+00, 1.794402028471995036e+00, 2.128605676567230987e+00, 8.863933528810383211e-02, 2.609251029862723059e-01, 7.032164292377825199e-02, 3.791123556120943872e-01, 7.761876543613379642e-01
2.083000000000000000e+03, 3.250882905650049892e-01, 2.207501239561163064e+00, 1.778826368096136701e+00, 2.104585175198902647e+00, 9.033418140689311593e-02, 2.593118566530628333e-01, 7.186894439857451078e-02, 3.779296041012856211e-01, 7.828878522567925824e-01
2.084000000000000000e+03, 3.509978236736559509e-01, 2.212506519907039060e+00, 1.777633127488611464e+00, 2.080800324319539651e+00, 9.298532975728238115e-02, 2.575424831115405433e-01, 7.292587270870999616e-02, 3.767622578692262914e-01, 7.551943592979563080e-01
2.085000000000000000e+03, 3.693907199229412019e-01, 2.206263569501233146e+00, 1.788525378582691117e+00, 2.057850755439908141e+00, 9.618709907184028185e-02, 2.571058453204582706e-01, 7.312247244291317227e-02, 3.755744627341520148e-01, 7.756891596876288597e-01
2.086000000000000000e+03, 3.599177919450061713e-01, 2.202065189620638019e+00, 1.780771591915159879e+00, 2.043872542520681623e+00, 9.467802234972387543e-02, 2.532740063113819162e-01, 6.875658399131333309e-02, 3.743767710178715902e-01, 7.825213478760972841e-01
2.087000000000000000e+03, 3.620089845540160889e-01, 2.208396858975993027e+00, 1.768602814974977067e+00, 2.028844669328634165e+00, 9.350292816657698736e-02, 2.503000060913290747e-01, 6.455754239522303040e-02, 3.732427577365502458e-01, 7.729302548536156614e-01
2.088000000000000000e+03, 3.704654180359474025e-01, 2.216509037560296491e+00, 1.762987201678948290e+00, 2.013794647918228264e+00, 9.264046527525825192e-02, 2.473799150572868200e-01, 6.090038884886585235e-02, 3.721832730777868692e-01, 7.814453747234514358e-01
2.089000000000000000e+03, 3.789305809320525076e-01, 2.232154718371320623e+00, 1.755387680831228092e+00, 1.998937281529023835e+00, 9.189530429933084887e-02, 2.444221253219218126e-01, 5.823282938215042226e-02, 3.710814481729129422e-01, 7.603636254667227590e-01
2.090000000000000000e+03, 3.829921997761510655e-01, 2.201614941803454517e+00, 1.729201693347564683e+00, 1.984250767525751025e+00, 9.149978048001639053e-02, 2.418476118165649724e-01, 5.843768084918714995e-02, 3.687552633359140741e-01, 7.732481971900597717e-01
2.091000000000000000e+03, 3.626329696599021046e-01, 2.178918202055514453e+00, 1.714097260658270061e+00, 1.978714369326661560e+00, 8.919472332263772563e-02, 2.319150136917560723e-01, 5.463663595106026116e-02, 3.654682379179391982e-01, 7.176951944071872092e-01
2.092000000000000000e+03, 3.486059824644697769e-01, 2.160889213309494572e+00, 1.703961761849798195e+00, 1.956590159545499086e+00, 8.702941390220438056e-02, 2.233554698737475752e-01, 5.135581128514333377e-02, 3.624229584684633965e-01, 7.485424959323839778e-01
2.093000000000000000e+03, 3.403225466380038755e-01, 2.142913941694695179e+00, 1.677879952556966980e+00, 1.936265298992109640e+00, 8.503663338945977035e-02, 2.154632062809240800e-01, 4.850142770436700196e-02, 3.595524087738804497e-01, 7.430719949962785176e-01
2.094000000000000000e+03, 3.372855020360477352e-01, 2.135088874053383101e+00, 1.660116832615623927e+00, 1.916810647226716124e+00, 8.316497248192156189e-02, 2.089815100334848630e-01, 4.608441252846785796e-02, 3.572371305598327496e-01, 7.142938266852414397e-01
2.095000000000000000e+03, 3.336605793139792442e-01, 2.120846078023205461e+00, 1.634341293531933026e+00, 1.897965968842574735e+00, 8.127061143875147220e-02, 2.032966793501438663e-01, 4.460035585585499229e-02, 3.531448894636939895e-01, 7.022415327944594443e-01
2.096000000000000000e+03, 3.154886417729357850e-01, 2.108041281253470345e+00, 1.607258629781525894e+00, 1.883596807260520478e+00, 7.771758914466421475e-02, 1.940733654228120053e-01, 4.289120125830581109e-02, 3.472994144899716473e-01, 7.359791179805095229e-01
2.097000000000000000e+03, 3.007088911178716906e-01, 2.096599274181633277e+00, 1.585346911673462200e+00, 1.860253827369741764e+00, 7.446816199832609340e-02, 1.863819518339928372e-01, 4.112638771237219631e-02, 3.420349077649383340e-01, 7.165915595458091092e-01
2.098000000000000000e+03, 2.891427773902509601e-01, 2.089371082060365037e+00, 1.583296743690400188e+00, 1.838261525147928177e+00, 7.147096785922325834e-02, 1.801268743217002422e-01, 3.941663064650844511e-02, 3.372763771721767334e-01, 6.818818098305714503e-01
2.099000000000000000e+03, 2.790732819015481758e-01, 2.077850239541207067e+00, 1.557407142883191264e+00, 1.817015316534978497e+00, 6.873065346350309968e-02, 1.746951354464976180e-01, 3.778057572124598334e-02, 3.330494718003671473e-01, 7.003359094089131043e-01
2.100000000000000000e+03, 2.699328897714931563e-01, 2.067028048003213492e+00, 1.528184514125167981e+00, 1.796324289194064727e+00, 6.621769102014725406e-02, 1.710168668953687132e-01, 3.664117115215084763e-02, 3.065308485370814573e-01, 6.774501434482453899e-01
