year, TaiESM1, CanESM5, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, GFDL-ESM4, MIROC-ES2L, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL
2.066000000000000000e+03, 1.285821432324743663e+00, 4.322912143898294701e+00, 2.898359465560918835e+00, 2.844747396385842286e+00, 1.850043256215621268e+00, 2.015085635482772197e+00, 2.128085684166080682e+00, 3.447971245031898668e+00, 1.699001138609169903e+00, 2.147159699265806854e+00, 1.665200414348749547e+00, 1.995505323061427916e+00, 2.918681843484263183e+00, 2.774761650548073000e+00
2.067000000000000000e+03, 1.253019389387745486e+00, 4.484705562470692186e+00, 2.638785396198756406e+00, 3.135638488131597512e+00, 1.767959485338918446e+00, 2.012079763863259707e+00, 2.135393559339936242e+00, 3.364301811903020578e+00, 1.877188807762327771e+00, 2.018506845233722036e+00, 1.794703573836242239e+00, 1.844597311191072064e+00, 2.978658308368531848e+00, 2.748075365595591180e+00
2.068000000000000000e+03, 1.279449791392873292e+00, 4.274662061243051703e+00, 2.839757855300538036e+00, 3.094918826003716816e+00, 1.712399222968660206e+00, 1.979036897538776651e+00, 2.162976050840473619e+00, 3.521320302877711583e+00, 1.774340735559773563e+00, 2.042942484350167121e+00, 1.721549934077543531e+00, 1.953657892458573020e+00, 3.111863292108789647e+00, 2.806325360276669567e+00
2.069000000000000000e+03, 1.266663319729396386e+00, 4.393688299245456896e+00, 2.826860257947913624e+00, 2.990843494995717666e+00, 2.010091399317532890e+00, 2.047546146281725488e+00, 2.075458672434896457e+00, 3.618371461244493048e+00, 1.859965964879661815e+00, 2.192357349191674132e+00, 1.645362901772948527e+00, 1.828967226023999748e+00, 3.078046129998487146e+00, 2.821255715717249313e+00
2.070000000000000000e+03, 1.273738712394573147e+00, 4.471903435356181511e+00, 2.509220021690975688e+00, 2.850743334603416113e+00, 1.748997531992652288e+00, 2.037669492298436857e+00, 1.983588062212101599e+00, 3.544739541001013627e+00, 1.787244858751810828e+00, 2.055022800834667152e+00, 1.668561884192721001e+00, 1.818299735563116526e+00, 2.980860073937137145e+00, 2.995817407186841752e+00
2.071000000000000000e+03, 1.310867248113328554e+00, 4.310826349239713196e+00, 2.726638074087105679e+00, 3.145108034221526516e+00, 1.543801314265295099e+00, 1.953281516191041511e+00, 1.968203706878494330e+00, 3.390539989344943272e+00, 1.738910158992578392e+00, 2.128850394481277775e+00, 1.582174537198013375e+00, 1.933446719750511411e+00, 3.036064518259614431e+00, 3.013029261528078706e+00
2.072000000000000000e+03, 1.219368888809310603e+00, 4.242859816307938736e+00, 2.854461109069807545e+00, 3.064887573505710172e+00, 1.557845515078510212e+00, 1.951204911892104210e+00, 1.908046836185389949e+00, 3.373203891495801354e+00, 1.855904635308310846e+00, 2.115915008720053336e+00, 1.595653483895660418e+00, 1.849522543512732931e+00, 3.019814166774033470e+00, 2.547519524272860547e+00
2.073000000000000000e+03, 1.330241441882685560e+00, 4.573709868007060031e+00, 3.001872307088356173e+00, 3.041599256111267024e+00, 1.840563148267994720e+00, 1.967680195072599947e+00, 1.979730047788425429e+00, 3.253002200138173983e+00, 1.771316129809568984e+00, 1.936283566754500418e+00, 1.754173808472248908e+00, 1.926889509274855694e+00, 3.112279385291807365e+00, 2.748429922932588365e+00
2.074000000000000000e+03, 1.332474125599740544e+00, 4.578465030526016832e+00, 2.838295527020170628e+00, 3.143551852264429236e+00, 1.866988753085497832e+00, 1.929431270173542767e+00, 2.013226493523123217e+00, 3.401959141050356461e+00, 1.634387788542202680e+00, 2.012403727790954111e+00, 1.617664253803695384e+00, 1.962687189551685085e+00, 3.125786355620258750e+00, 2.904337080013701389e+00
2.075000000000000000e+03, 1.176508350293209659e+00, 4.353373722652771782e+00, 2.790835215368397737e+00, 3.081046720549528217e+00, 2.016724039035009408e+00, 1.894949854756783125e+00, 2.072415875941936214e+00, 3.638177909444425762e+00, 1.846471469144985056e+00, 2.269886358205654986e+00, 1.713570747688089257e+00, 1.805031584021217883e+00, 2.957081364688520342e+00, 2.610015885844879868e+00
2.076000000000000000e+03, 1.167011088316675993e+00, 4.369092007361939700e+00, 2.777200604716741239e+00, 3.136211852517515553e+00, 1.683305811491093706e+00, 1.893041909904139564e+00, 2.041795123909512011e+00, 3.520233871641318846e+00, 1.696382017390100527e+00, 2.017217982050577341e+00, 1.726127969167476239e+00, 2.079153382784827642e+00, 3.016086920683542782e+00, 2.665777876580257111e+00
2.077000000000000000e+03, 1.415500727223974797e+00, 4.519012426263339322e+00, 2.702942257607486631e+00, 2.976347328653222934e+00, 2.004770312850740588e+00, 1.937462838015849176e+00, 1.992981723489980928e+00, 3.437344281015206615e+00, 1.742369274003789714e+00, 2.013073584709882624e+00, 1.869147668089143233e+00, 1.880759549923380902e+00, 3.064713965448371269e+00, 2.771960666886337687e+00
2.078000000000000000e+03, 1.314391395810869723e+00, 4.759084016995860367e+00, 2.839096023788572509e+00, 3.059835817737039942e+00, 1.860471331627987057e+00, 1.844999263148791924e+00, 2.028449954185396642e+00, 3.398768988262040214e+00, 1.744094383125077696e+00, 1.969218421353241544e+00, 1.726490703672256100e+00, 1.839013467081060949e+00, 3.163427996333256775e+00, 2.854542180481210778e+00
2.079000000000000000e+03, 1.137339429023286552e+00, 4.462492675647407481e+00, 2.586552355086857435e+00, 3.161256763974250816e+00, 1.791148875640008020e+00, 1.927365776539678333e+00, 1.990434697587804669e+00, 3.385512956691848263e+00, 1.794789225527376963e+00, 2.047829508586982872e+00, 1.764311135464045499e+00, 1.987686995855384442e+00, 2.998536117988058969e+00, 3.003001892029451447e+00
2.080000000000000000e+03, 1.236738137965723183e+00, 4.419530165504751196e+00, 2.739073203483423313e+00, 3.127574124870336369e+00, 1.596139101976671304e+00, 1.961017609012317031e+00, 1.966217553280528163e+00, 3.524664591879842046e+00, 1.844515050955073177e+00, 2.128020716432538428e+00, 1.666455423463658825e+00, 1.943292492690839923e+00, 2.982732835293832263e+00, 2.893847948165368500e+00
2.081000000000000000e+03, 1.387708223177077205e+00, 4.560123191072894322e+00, 2.703662650241773768e+00, 2.970412964290352065e+00, 1.808234184172460290e+00, 1.898538471657379878e+00, 1.963609148675733440e+00, 3.363898981773364216e+00, 1.720013021381056273e+00, 1.997712810090995550e+00, 1.781785410058475350e+00, 1.671977705787090818e+00, 2.975776947084568747e+00, 2.955369088927032095e+00
2.082000000000000000e+03, 1.260910064576426182e+00, 4.686672194500483890e+00, 2.697302814453288455e+00, 3.078760208600186399e+00, 1.730889770836429253e+00, 1.934623517630332801e+00, 2.025816785328470093e+00, 3.498565504862499953e+00, 1.716424551975751278e+00, 2.187485585312771708e+00, 1.764034805864314048e+00, 1.901496692879071748e+00, 2.972742505290941750e+00, 2.713222133807204450e+00
2.083000000000000000e+03, 1.277917278188406058e+00, 4.534135362175612194e+00, 2.786045788311679150e+00, 3.272607372513789858e+00, 1.778753324582224460e+00, 1.937739857544395816e+00, 1.985604297886829794e+00, 3.224781934226491842e+00, 1.832273667486367996e+00, 2.153956779005613331e+00, 1.721794248673408356e+00, 1.915561239237544733e+00, 3.079968268156585864e+00, 2.816225460304243366e+00
