year, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, CanESM5, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, CMCC-ESM2, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, NorESM2-LM
2.062000000000000000e+03, 1.080595098203980919e+00, 1.977880469309017064e+00, 8.077205913900916689e-01, 1.433993479896777501e+00, 1.552054401303641695e+00, 1.394977520019111017e+00, 1.830560320246539696e+00, 1.930000058098764848e+00, 1.457416616141449239e+00, 1.299089613943908317e+00, 1.119997983016335574e+00, 1.184223695840023627e+00, 1.638942803441996610e+00, 2.296046905303425145e+00, 1.506191279438369834e+00, 1.062115776004963763e+00
2.063000000000000000e+03, 1.093743340411383880e+00, 1.997041380945210554e+00, 8.660815905561083383e-01, 1.457622186658613650e+00, 1.523834971596000232e+00, 1.373548684969365885e+00, 1.764726721459243475e+00, 1.960621743900465397e+00, 1.445763952924540519e+00, 1.238781184496785093e+00, 1.113051040921828161e+00, 1.265169597694997261e+00, 1.593561539681191519e+00, 2.245989075069577456e+00, 1.514970476786906994e+00, 1.054842069396430437e+00
2.064000000000000000e+03, 1.034261836413352231e+00, 2.011162878326917980e+00, 8.533259941194641929e-01, 1.496237982648168874e+00, 1.514296011491618632e+00, 1.363800306562388265e+00, 1.872704212582878780e+00, 1.848934220911949700e+00, 1.449252434116177657e+00, 1.248272753240939670e+00, 1.111882290937557194e+00, 1.369534566566406486e+00, 1.635767529750286053e+00, 2.186501832967922443e+00, 1.531232449926310135e+00, 1.069588045730972548e+00
2.065000000000000000e+03, 1.094982314464965523e+00, 2.007916495864464412e+00, 9.150072378217108948e-01, 1.489431446998855213e+00, 1.553311686914180534e+00, 1.371806773549616443e+00, 1.890853282343651909e+00, 1.923662327418580897e+00, 1.507355866302017233e+00, 1.263912732881156353e+00, 1.123307980944536322e+00, 1.258743812325555655e+00, 1.610073175487594987e+00, 2.279728421812205141e+00, 1.515732178839857225e+00, 1.079923845402481319e+00
2.066000000000000000e+03, 1.094082229461557310e+00, 2.004288845265392194e+00, 8.311751348082199176e-01, 1.467092504975661127e+00, 1.517216250567248181e+00, 1.378901073917098152e+00, 1.823731007792856351e+00, 2.033222549344741115e+00, 1.433362004708591320e+00, 1.316515433052318551e+00, 1.129227262145158228e+00, 1.231622398748582592e+00, 1.706513619069259358e+00, 2.278558364679568182e+00, 1.515874577748568708e+00, 1.090026850502410438e+00
2.067000000000000000e+03, 1.071616995283801277e+00, 2.022019306221454649e+00, 8.436247149625671904e-01, 1.472420943335538634e+00, 1.535688615927473633e+00, 1.395569274449947939e+00, 1.855383715930518651e+00, 1.794902307423318799e+00, 1.461737451913588171e+00, 1.308524088311695754e+00, 1.129374860131561853e+00, 1.253081998187470569e+00, 1.757985999824508871e+00, 2.228646601764098900e+00, 1.469305165631758614e+00, 1.101326919124907766e+00
2.068000000000000000e+03, 1.114529209541563093e+00, 2.032954017173894901e+00, 8.381448367176292935e-01, 1.430530865993520306e+00, 1.595909592035066327e+00, 1.373485407922401036e+00, 1.848117384660521445e+00, 1.719352451510461011e+00, 1.464477577808810604e+00, 1.300469217957236134e+00, 1.133539156954798566e+00, 1.280676111349839719e+00, 1.530901956219126392e+00, 2.413876185448158296e+00, 1.484800926451318004e+00, 1.104863596553937288e+00
2.069000000000000000e+03, 1.052501752199739515e+00, 1.989833179299855148e+00, 8.298845955825683296e-01, 1.437602410120859098e+00, 1.562653850519157173e+00, 1.373574641332218960e+00, 1.808341408006914675e+00, 1.976890928801419589e+00, 1.485687402819450664e+00, 1.267126247881525503e+00, 1.132657751932391488e+00, 1.225187604473126024e+00, 1.532845648142301176e+00, 2.265841668142365872e+00, 1.476457976805579664e+00, 1.078593966709807894e+00
2.070000000000000000e+03, 1.093835946791037461e+00, 2.031456273506520471e+00, 9.739328054509883703e-01, 1.464135836027907533e+00, 1.547852721971622270e+00, 1.384936344375450323e+00, 1.831631620787962600e+00, 2.154032381909334326e+00, 1.499110837029592913e+00, 1.237766659073626485e+00, 1.135291755325426255e+00, 1.250148542747501201e+00, 1.593237786661053645e+00, 2.249252481012808058e+00, 1.467867463294186159e+00, 1.016613725026683124e+00
2.071000000000000000e+03, 1.148861227566855936e+00, 2.027736634369948110e+00, 7.682832065547413603e-01, 1.470143829023893067e+00, 1.534170292687571324e+00, 1.402247262475367462e+00, 1.851478744730164827e+00, 1.872761368156354633e+00, 1.512760332771257543e+00, 1.237263343754365641e+00, 1.112006300955649118e+00, 1.308249622395631029e+00, 1.606725520740146296e+00, 2.186217457371450568e+00, 1.454151585645218958e+00, 1.036537047046650395e+00
2.072000000000000000e+03, 1.185274692420117404e+00, 1.994316458439697515e+00, 8.338459814346921295e-01, 1.487191279064279392e+00, 1.528233054239565236e+00, 1.397940643453059462e+00, 1.825313517707916500e+00, 1.789494021124142575e+00, 1.462199600162069624e+00, 1.253248174857394259e+00, 1.102731229572563310e+00, 1.335969148087560177e+00, 1.711956766481172787e+00, 2.332073673587732099e+00, 1.496767407501187863e+00, 1.056969703993435372e+00
2.073000000000000000e+03, 1.174837446072767966e+00, 1.985102300137016051e+00, 8.548888875229205819e-01, 1.428870593970762659e+00, 1.513068013142483625e+00, 1.389123479616646284e+00, 1.941800941246274226e+00, 1.926833067315885550e+00, 1.491034041214218897e+00, 1.255523251839590460e+00, 1.137484577572175581e+00, 1.403735347594419425e+00, 1.621770960741328649e+00, 2.246110366464571406e+00, 1.463942043103933610e+00, 1.079432493027178586e+00
