year, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, CESM2-WACCM, NorESM2-LM, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, INM-CM5-0, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1
2.060000000000000000e+03, 2.428512067593729729e+00, 2.307287791661694953e+00, 2.458702066184020651e+00, 2.502552946617118135e+00, 2.412719978041828028e+00, 2.781751269535496451e+00, 2.960526546493511102e+00, 2.136140395439296125e+00, 2.753049714017514749e+00, 2.220744977374695228e+00, 2.248060871112441461e+00, 3.286824612426824110e+00, 3.216320352912480196e+00, 3.067691707268415779e+00, 2.737119916662923202e+00, 2.312699200705181202e+00
2.061000000000000000e+03, 2.352748022118519522e+00, 2.080515541060316220e+00, 2.736687368674010301e+00, 2.634926975753038025e+00, 2.158014560507673263e+00, 2.991591991265646122e+00, 3.081091805211140233e+00, 2.313288977045140360e+00, 2.685009155004538961e+00, 2.185215086651489003e+00, 2.144810465544703337e+00, 3.371315657131943144e+00, 3.196637144648023732e+00, 2.950343112399655965e+00, 2.738128202376514775e+00, 2.358054751793830395e+00
2.062000000000000000e+03, 2.294546620159861217e+00, 2.076930777238449988e+00, 2.512790568745990161e+00, 2.678012111215799962e+00, 2.364277671060210473e+00, 3.045863282818938256e+00, 3.028362386637089454e+00, 2.183022955696449774e+00, 2.887526912060502049e+00, 2.292107791122650617e+00, 2.170540580625777594e+00, 3.297542624813062595e+00, 3.209316754345388212e+00, 3.132184503428157907e+00, 2.450391894205547150e+00, 2.172451588520063037e+00
2.063000000000000000e+03, 2.156146912927168202e+00, 1.981062915489783638e+00, 2.395235791928989055e+00, 2.511571198972199603e+00, 2.638661478898121526e+00, 3.120121627697592270e+00, 3.055147197891384447e+00, 2.266334858673755726e+00, 2.490834163591709061e+00, 2.249381786366882796e+00, 2.205274446723530346e+00, 3.298661356773359365e+00, 3.033268145079992983e+00, 2.866486348501087633e+00, 2.721439389419003430e+00, 2.540318525518526549e+00
2.064000000000000000e+03, 2.334289868390958311e+00, 1.992183370398307618e+00, 2.534623584478435721e+00, 2.368594238794777151e+00, 2.230497223445993438e+00, 2.763344039440406519e+00, 3.152960663706349198e+00, 2.401437288651429913e+00, 2.762986885949315408e+00, 2.273344571040755824e+00, 2.191782061705061846e+00, 3.374070254387877554e+00, 3.103165872950221171e+00, 3.074221152741337892e+00, 2.694729253226403998e+00, 2.290933949008769233e+00
2.065000000000000000e+03, 2.463585183955148583e+00, 2.258442865199340233e+00, 2.664071595012428961e+00, 2.585110634191341461e+00, 2.108611294519326940e+00, 2.718668158711243787e+00, 2.953856397597267591e+00, 2.246646069408630098e+00, 2.828460302171280638e+00, 2.316281548190327388e+00, 2.206028820774924348e+00, 3.277012134306494850e+00, 3.271397657040500562e+00, 2.987613540340216201e+00, 2.887718785072092675e+00, 2.382290780626703519e+00
2.066000000000000000e+03, 2.089989352033339021e+00, 2.265842103327746937e+00, 2.445936425325378138e+00, 2.449234404776348129e+00, 2.492189779765563884e+00, 2.967075504123880325e+00, 3.039319647530349666e+00, 2.213711961931313699e+00, 2.843993350811205190e+00, 2.241361881122267974e+00, 2.283578395518817583e+00, 3.220752757722599835e+00, 3.335871038703195346e+00, 2.970726586019544424e+00, 2.622716416516931659e+00, 2.365308988680231650e+00
2.067000000000000000e+03, 2.248882811640589896e+00, 1.922399772051935019e+00, 2.605857095905134369e+00, 2.642960739964185457e+00, 2.377448597358821747e+00, 3.056791775744696071e+00, 3.105050187473103129e+00, 2.445007472086057732e+00, 2.678915882749788313e+00, 2.324608692857361714e+00, 2.245191436587883782e+00, 3.139665211994246530e+00, 3.195428445541906193e+00, 3.224206592458939813e+00, 2.670808202328507353e+00, 2.038320328572061246e+00
2.068000000000000000e+03, 2.401389942997022242e+00, 2.163805808758397120e+00, 2.495728908993875894e+00, 2.436711761993886505e+00, 2.181246188735798341e+00, 2.955975987019243689e+00, 3.095419519557342625e+00, 2.116481031377432931e+00, 2.504592095525879802e+00, 2.283641627618398395e+00, 2.161456361590344599e+00, 3.289383504208216902e+00, 3.127313199852899572e+00, 3.015821317385238842e+00, 2.466066459061982297e+00, 2.303310930218890551e+00
2.069000000000000000e+03, 2.323214425941370287e+00, 1.938099326407406453e+00, 2.383780952773814299e+00, 2.870510726517301325e+00, 2.614983818817677275e+00, 2.807042970764328960e+00, 2.970564151677631770e+00, 2.124241950826623704e+00, 2.913476264718901643e+00, 2.109137044010968687e+00, 2.013829047078064427e+00, 3.321903910144971217e+00, 3.089358237660196682e+00, 2.936148862371834145e+00, 2.467966566889144620e+00, 2.279919770437386806e+00
2.070000000000000000e+03, 2.217907736926857609e+00, 2.095394314944504011e+00, 2.478789193750853048e+00, 2.473364895267799568e+00, 2.594932066902393419e+00, 2.729967155281193936e+00, 2.811016810547134259e+00, 2.260110941140617946e+00, 2.810006754186913813e+00, 2.255058979012917852e+00, 2.221989267783790911e+00, 3.246913214740648979e+00, 3.131372358677755319e+00, 3.001773322778670927e+00, 2.800261072276759133e+00, 2.529399103062467624e+00
2.071000000000000000e+03, 2.353595926317752163e+00, 2.091803954468964388e+00, 2.413471761235507440e+00, 2.422031273210091928e+00, 2.366112761264230535e+00, 2.907902547541822980e+00, 3.001743441051681671e+00, 2.187613008403119341e+00, 2.671436307734005755e+00, 2.271881952311840980e+00, 2.217422684041006065e+00, 3.298056195521968270e+00, 3.058292389664032385e+00, 3.290372850449201803e+00, 2.685598320548566953e+00, 2.425238287919261548e+00
2.072000000000000000e+03, 2.170345223715091088e+00, 2.433261566405765297e+00, 2.479318369206949590e+00, 2.765546887787884156e+00, 2.253590939804684723e+00, 2.952837637883480415e+00, 3.000115976802995466e+00, 2.254101892701232845e+00, 2.601597978137212053e+00, 2.159571925630372924e+00, 2.192861885928170995e+00, 3.255468625142113659e+00, 3.215271382239447640e+00, 3.071476472274825564e+00, 2.863971201584510684e+00, 2.319039384873696541e+00
2.073000000000000000e+03, 2.380122346222795837e+00, 2.071365242540422091e+00, 2.349734835699393898e+00, 2.549141186696694650e+00, 2.293737838881333868e+00, 2.832019041424747474e+00, 3.017202496880798890e+00, 2.213265724416786373e+00, 2.888540178387784430e+00, 2.273275373863457016e+00, 2.319702965434476294e+00, 3.138228204764824447e+00, 3.257681131143487452e+00, 3.104745744598964574e+00, 2.861743195499406589e+00, 2.471044378319904311e+00
