year, CMCC-CM2-SR5, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1, NorESM2-LM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CanESM5
2.047000000000000000e+03, 5.618467859939570985e+00, 7.822782935593912690e+00, 4.216925643704342086e+00, 1.843850852938243801e+00, 4.117157494628162162e+00, 5.138667970585369282e+00, 2.858064934846413152e+01, 4.142576485568120859e+00, 5.685431216354820627e+00, 2.551739365919326730e+01, 2.342293990750061283e+01, 1.385455688050047485e+01, 8.292884223494262130e+00
2.048000000000000000e+03, 5.670281481368104615e+00, 7.775282523252389666e+00, 4.279839989874212769e+00, 1.930015091909602853e+00, 4.208263284893783762e+00, 5.039835878625032350e+00, 2.871326668305932373e+01, 4.136302316300862536e+00, 5.665318714918573306e+00, 2.553716161820785047e+01, 2.346099559576343552e+01, 1.393881117969462302e+01, 8.153599639350121109e+00
2.049000000000000000e+03, 6.159878965055940014e+00, 7.823228896933985155e+00, 4.166271477395196321e+00, 1.806650560304856157e+00, 4.264275568742791123e+00, 5.062528559065273548e+00, 2.874346102000275849e+01, 4.131574523990083847e+00, 5.628552448289547705e+00, 2.571528900620183578e+01, 2.348851968599948492e+01, 1.405331314704384127e+01, 8.234873475635010820e+00
2.050000000000000000e+03, 5.866083174954432877e+00, 7.823846787656280277e+00, 4.056056584236595874e+00, 1.689894625302373665e+00, 4.355354697474167480e+00, 5.055129647389981606e+00, 2.871289476508890459e+01, 4.231503828443348603e+00, 5.646680953467403619e+00, 2.580991050539800824e+01, 2.339125213722526908e+01, 1.403472077670993556e+01, 8.173408457449175657e+00
2.051000000000000000e+03, 5.764215539355133977e+00, 7.843025322619962658e+00, 4.137208482066070836e+00, 1.803130690486568710e+00, 4.269407898940147383e+00, 5.109373010925162717e+00, 2.891532300378109710e+01, 4.159241597676153646e+00, 5.701035766660096371e+00, 2.581044642892517871e+01, 2.323946193307918762e+01, 1.420991870100056786e+01, 8.069151301473402427e+00
2.052000000000000000e+03, 5.930610522093394010e+00, 7.848600825438283302e+00, 4.032346567920595426e+00, 1.775849101975383926e+00, 4.214866419252138563e+00, 5.083441798960190994e+00, 2.898491996333008203e+01, 4.089038712675405307e+00, 5.705381164342483657e+00, 2.589524288773640848e+01, 2.328551136507879349e+01, 1.426638633036090020e+01, 8.267942230087585997e+00
2.053000000000000000e+03, 5.407206973351503798e+00, 7.859070692655115487e+00, 4.040533815948916363e+00, 1.754193128312065308e+00, 4.093041500716529058e+00, 5.155012736634888348e+00, 2.909158694693904579e+01, 4.065841221777581893e+00, 5.701940506467393810e+00, 2.600964074929516201e+01, 2.348777418977187992e+01, 1.430375219394252184e+01, 8.361386366301765349e+00
2.054000000000000000e+03, 5.988189676598040911e+00, 7.863792439373852972e+00, 4.101649040583329686e+00, 1.834905006084460721e+00, 4.149194180301728707e+00, 5.136879019179396266e+00, 2.905187360306054245e+01, 3.984843661848434415e+00, 5.690615512946569865e+00, 2.615387230296462207e+01, 2.365519870964920557e+01, 1.433541070701914144e+01, 8.255045523447682498e+00
2.055000000000000000e+03, 6.547904440159421746e+00, 7.914080905601236005e+00, 4.007017487838461456e+00, 1.896874516422996981e+00, 4.245255768372361516e+00, 5.050132998517618432e+00, 2.902077262007250269e+01, 4.170911289864299043e+00, 5.715654232721035122e+00, 2.627821130367892977e+01, 2.377938883450501351e+01, 1.445675020036512137e+01, 8.328174690318512319e+00
2.056000000000000000e+03, 5.580893764195655748e+00, 7.950556903881454751e+00, 3.897135463974168879e+00, 1.852790688165388611e+00, 4.115221785761043805e+00, 4.993100013475539889e+00, 2.924362123734684360e+01, 4.129240219986271221e+00, 5.754443684665926817e+00, 2.638603653001243643e+01, 2.375855651450817163e+01, 1.461225395268655092e+01, 8.356001747514719469e+00
