year, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM
2.063000000000000000e+03, 2.274008396635736296e-10, 1.437934862365326844e-09, 8.233705769721551743e-11, 4.581640324115240306e-12, 2.790810570876800756e-10, 3.352110746925917721e-10, 2.572584657747353306e-10, 8.065468066735029406e-11, 1.870129507354208653e-10, 1.411736692521458334e-09
2.064000000000000000e+03, 2.358593153968622318e-10, 1.403315944844218832e-09, 8.608124287825798907e-11, 5.242294628337923496e-12, 2.832720114359562867e-10, 3.283151013946700936e-10, 2.568033304783376919e-10, 8.382010826903408240e-11, 2.527552162698054739e-10, 1.417767638618449960e-09
2.065000000000000000e+03, 2.493849469164246325e-10, 1.446163758771264453e-09, 8.968347784525664610e-11, 8.536120818558950814e-12, 2.882676618924251463e-10, 3.183396381344028073e-10, 2.490328252438096639e-10, 7.908843396010457093e-11, 2.917609748515288702e-10, 1.426199366332059255e-09
2.066000000000000000e+03, 2.726655664150668623e-10, 1.432737715351775939e-09, 9.570898282961464838e-11, 6.982890524331618119e-12, 2.541085729491864877e-10, 3.261125832168765432e-10, 2.615314268211244192e-10, 8.494563734294831598e-11, 2.866629131196408092e-10, 1.434537056414906400e-09
2.067000000000000000e+03, 2.903039454809243247e-10, 1.448453146679864596e-09, 1.093910159600623256e-10, 5.674469410049530161e-12, 2.712171102810125576e-10, 3.364272969991754871e-10, 2.706839148900720982e-10, 9.376660339692070413e-11, 3.240346168619469040e-10, 1.481380293336842203e-09
2.068000000000000000e+03, 2.977573831359527779e-10, 1.484818104938457331e-09, 1.144662842738952111e-10, 4.860957905774825251e-12, 2.748693135979904369e-10, 3.269726156650680244e-10, 2.673672335372079789e-10, 1.038952271639297641e-10, 3.472467100285349301e-10, 1.494976245731582174e-09
2.069000000000000000e+03, 3.023661564559136124e-10, 1.462091897638223213e-09, 1.171986549320280089e-10, 4.303466300139101167e-12, 2.722461929942511300e-10, 3.294187167249901964e-10, 2.677412018509518313e-10, 1.022633524349926615e-10, 3.820869895965333018e-10, 1.496863403025190565e-09
2.070000000000000000e+03, 3.801549646833124198e-10, 1.450074412218017333e-09, 1.201777895644367226e-10, 4.324403179134492500e-12, 2.744248961702127834e-10, 4.429952623241836499e-10, 3.412320517906562414e-10, 9.996019547664712373e-11, 3.987703537404008877e-10, 1.473207369537784287e-09
2.071000000000000000e+03, 4.358447246941071858e-10, 1.527904327168225261e-09, 1.775249556221081103e-10, 5.335004612530746263e-12, 3.727800302006794535e-10, 4.620696747469511172e-10, 3.495234216607080093e-10, 1.454770715369105218e-10, 4.822003872080924793e-10, 1.568933365654964377e-09
2.072000000000000000e+03, 4.498620988349220350e-10, 1.512192667918041437e-09, 1.846363045116690152e-10, 6.684898452797546878e-12, 3.861907674258723581e-10, 4.514788859775400991e-10, 3.515047827190139348e-10, 1.535242963966354061e-10, 5.535879123336676320e-10, 1.594019282500522056e-09
