year, CMCC-CM2-SR5, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, UKESM1-0-LL, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR, CanESM5, INM-CM5-0
2.057000000000000000e+03, 1.728190400854408670e+00, 1.836707415431653168e+00, 1.848710944757003150e+00, 1.817307456484412276e+00, 1.464269511381307565e+00, 2.053119718949532047e+00, 1.581036318886582359e+00, 1.550433166615280633e+00, 1.958131743224618582e+00, 1.768674390158411658e+00, 1.725817006254367625e+00, 1.526816587078092313e+00, 1.608365301642481926e+00, 1.872711099773363141e+00, 1.822517779067229782e+00, 1.796999797730419068e+00
2.058000000000000000e+03, 1.796708238558276216e+00, 1.893039716885506429e+00, 1.824211477900573142e+00, 1.724306960889853135e+00, 1.472625715717212458e+00, 2.104187176883637989e+00, 1.537326772252614493e+00, 1.582416154741062675e+00, 1.833752425851399304e+00, 1.814687730625940132e+00, 1.789626579741572243e+00, 1.621598489843704805e+00, 1.577787630219567028e+00, 1.902696938488028788e+00, 1.727782222560785286e+00, 1.736743589304463598e+00
2.059000000000000000e+03, 1.810978626912158829e+00, 1.766371375863201809e+00, 1.724852258782755499e+00, 1.715229129868590663e+00, 1.451743770196409766e+00, 2.184654861925551472e+00, 1.577948193529127296e+00, 1.664819385021741427e+00, 1.875232758086633478e+00, 1.720518660941809719e+00, 1.844485289769450143e+00, 1.637139918535226002e+00, 1.600398641849136716e+00, 1.918642478829937881e+00, 1.856214381000135472e+00, 1.756059982398509245e+00
2.060000000000000000e+03, 1.792998789846695473e+00, 1.823665028665341525e+00, 1.857682285739663319e+00, 1.770025725009180650e+00, 1.497018060136497963e+00, 2.164845231087556776e+00, 1.702241637535814700e+00, 1.580580876563453252e+00, 1.909498844148175944e+00, 1.668555882321584916e+00, 1.822430968359125325e+00, 1.616709342028890051e+00, 1.592174320803893872e+00, 1.971250441581634094e+00, 1.853813818815398973e+00, 1.772191458574664757e+00
2.061000000000000000e+03, 1.825628608350311932e+00, 1.835970774680295792e+00, 1.841111005231399256e+00, 1.676428135628138971e+00, 1.421269522106967109e+00, 2.017470954633033831e+00, 1.561968561672976818e+00, 1.653594532243092718e+00, 1.958156735646595203e+00, 1.754513382393008802e+00, 1.867273873538507267e+00, 1.569131623660449559e+00, 1.607690765887548334e+00, 2.063590463128504915e+00, 1.786280760687276592e+00, 1.798258482977381112e+00
2.062000000000000000e+03, 1.748937008013800920e+00, 1.804284578190713750e+00, 1.794885525532710746e+00, 1.792898094770551953e+00, 1.491718641400323397e+00, 1.941410084368687894e+00, 1.484579702390859124e+00, 1.653160397968831408e+00, 1.890493049106390044e+00, 1.737984947975896866e+00, 1.750752482621448669e+00, 1.569133519766789719e+00, 1.679397544113444996e+00, 1.853552468689606325e+00, 1.829736181180912302e+00, 1.746269848405411995e+00
2.063000000000000000e+03, 1.623332631862511866e+00, 1.865595217643394532e+00, 1.753812201054781861e+00, 1.740248700197394305e+00, 1.597152279090568339e+00, 2.015210244469173517e+00, 1.785929140547015681e+00, 1.632673638951727124e+00, 1.936558247410320455e+00, 1.832326780755539453e+00, 1.682034548464462320e+00, 1.609259130559081319e+00, 1.561814725959117967e+00, 1.982477680074833382e+00, 1.874066604256466206e+00, 1.819765564170807703e+00
2.064000000000000000e+03, 1.709875491092351263e+00, 1.811235634028738328e+00, 1.819432856992697189e+00, 1.687429626681681727e+00, 1.418728014266869453e+00, 2.098029545479286995e+00, 1.599924045362850045e+00, 1.593573255188860172e+00, 1.962758716479956478e+00, 1.842259686147782682e+00, 1.856622660349424692e+00, 1.591568095067117383e+00, 1.654213525216226888e+00, 1.869573121754239509e+00, 1.864268254746683118e+00, 1.742194520990617335e+00
2.065000000000000000e+03, 1.708974153167107213e+00, 1.785344107163750138e+00, 1.845210825248150721e+00, 1.705252655246085158e+00, 1.453836686669040423e+00, 1.982594059787024188e+00, 1.579770071191601843e+00, 1.550656416421423822e+00, 1.936261250522837152e+00, 1.798554306756489307e+00, 1.727535943109913541e+00, 1.646071973799627441e+00, 1.579923318431891710e+00, 1.895079762734611872e+00, 1.937455579845561049e+00, 1.797495467128044533e+00
2.066000000000000000e+03, 1.760518982294947854e+00, 1.818171805624908544e+00, 1.904165163228081603e+00, 1.818526751263755514e+00, 1.465133223183098687e+00, 2.054992198007200788e+00, 1.649232051192632831e+00, 1.561403218786870717e+00, 1.855108880608811850e+00, 1.717057534472089975e+00, 1.652911913852836978e+00, 1.585717207690028996e+00, 1.594639975466306980e+00, 2.006773906417586240e+00, 1.822429071093075947e+00, 1.702101487976791727e+00
2.067000000000000000e+03, 1.726468717988961954e+00, 1.740872755865142452e+00, 1.874389710388364438e+00, 1.761894483876488726e+00, 1.440286292396395051e+00, 1.981411332131495451e+00, 1.620467766559994249e+00, 1.760788932389731443e+00, 1.856440297297881292e+00, 1.781079596922860997e+00, 1.717495142774360106e+00, 1.574188699454913687e+00, 1.604081637614657607e+00, 1.956925320879777663e+00, 1.748787031457096797e+00, 1.782655556998604229e+00
2.068000000000000000e+03, 1.789519460194790801e+00, 1.842712229746679142e+00, 1.894512290672736299e+00, 1.678288032490993453e+00, 1.531629862072818593e+00, 2.109133552391852628e+00, 1.671619562675615178e+00, 1.671648368599192747e+00, 1.966911039775340431e+00, 1.678694605073759449e+00, 1.858204588605188556e+00, 1.596362704303901703e+00, 1.525054320665922614e+00, 1.951635853507378560e+00, 1.767096687905107766e+00, 1.773951585899125938e+00
2.069000000000000000e+03, 1.773424250892565945e+00, 1.923765595440146026e+00, 1.840590155030614294e+00, 1.695814795327772240e+00, 1.546676475446185473e+00, 2.236454928710368772e+00, 1.631414610945622901e+00, 1.689818691291997688e+00, 1.893552488948997858e+00, 1.722514329742155237e+00, 1.755564072411488041e+00, 1.596517623220714110e+00, 1.534341819288920217e+00, 1.892484736247327159e+00, 1.840925253159513053e+00, 1.821118855209695964e+00
2.070000000000000000e+03, 1.648252065068730676e+00, 1.761791817346224809e+00, 1.828123017400341110e+00, 1.611202935665313696e+00, 1.544302435753346359e+00, 1.995019243242023288e+00, 1.569152094154445010e+00, 1.715759883632520966e+00, 1.976577514515871492e+00, 1.647715730985081173e+00, 1.777915353054174696e+00, 1.689465684518681066e+00, 1.649031386677283217e+00, 2.059285564926381706e+00, 1.821408214321997177e+00, 1.807447535963405238e+00
2.071000000000000000e+03, 1.743356208477222946e+00, 1.791706287399297048e+00, 1.901142163993407186e+00, 1.639076988516761535e+00, 1.582317367898294247e+00, 2.094467671430899181e+00, 1.554918336410618496e+00, 1.635976595031678249e+00, 1.850834697445260968e+00, 1.660784725905153580e+00, 1.814421730965214863e+00, 1.630241989431272076e+00, 1.605302301751902361e+00, 1.958742918025496049e+00, 1.706171733892680287e+00, 1.734767507801150188e+00
