year, CNRM-ESM2-1, GFDL-ESM4, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1
2.082000000000000000e+03, 6.735603158256983624e-10, 4.510397454759661630e-10, 3.534340152421072210e-10, 2.417036216184787493e-10, 2.018110085889680145e-10, 1.761025179376289121e-10, 4.614841744477571934e-10, 2.018110085889680145e-10, 2.315779169580119723e-10, 3.534340152421072210e-10, 1.494306933296775125e-10, 6.735603158256983624e-10
2.083000000000000000e+03, 1.159019172328606709e-09, 2.874335683592564835e-10, 3.769911800415059500e-10, 4.594752648191710799e-10, 2.316542117754100442e-10, 4.758948755289917217e-10, 2.981014311044002638e-10, 2.316542117754100442e-10, 2.079800254002708343e-10, 3.769911800415059500e-10, 9.356942828959833557e-11, 1.159019172328606709e-09
2.084000000000000000e+03, 4.783145235849053896e-10, 4.176820443970584454e-10, 3.621732627157952993e-10, 2.991340703632561228e-10, 2.006235287460520777e-10, 4.345522012701904162e-10, 4.286445242351804051e-10, 2.006235287460520777e-10, 2.823628227084092463e-10, 3.621732627157952993e-10, 1.142491353666825267e-10, 4.783145235849053896e-10
2.085000000000000000e+03, 8.638132221302696755e-10, 4.885807159090093127e-10, 2.154601481918634637e-10, 2.910281626035327281e-10, 2.124061410299522698e-10, 2.446553807411339833e-10, 4.990682509155755882e-10, 2.124061410299522698e-10, 2.552726456013185161e-10, 2.154601481918634637e-10, 9.885575697103021716e-11, 8.638132221302696755e-10
2.086000000000000000e+03, 1.228919212217866156e-09, 4.838126366012141051e-10, 3.841689469056014985e-10, 3.661740061309618062e-10, 2.129929168100971705e-10, 1.865065630290874159e-10, 4.938816656146865240e-10, 2.129929168100971705e-10, 2.311636636889411363e-10, 3.841689469056014985e-10, 1.807067804401309047e-10, 1.228919212217866156e-09
2.087000000000000000e+03, 5.934202439190439527e-10, 5.455433291351469009e-10, 5.187982476313648706e-10, 2.932028823750147149e-10, 2.173682883301808143e-10, 2.849457312327358796e-10, 5.550453789760044341e-10, 2.173682883301808143e-10, 1.713778593096800251e-10, 5.187982476313648706e-10, 2.988920847258420201e-10, 5.934202439190439527e-10
2.088000000000000000e+03, 6.013410813190386105e-10, 6.595146704934101853e-10, 5.745041182699176085e-10, 3.010816061535348211e-10, 2.303778385292160836e-10, 3.176729961523536901e-10, 6.690504305994771595e-10, 2.303778385292160836e-10, 2.059050361440852663e-10, 5.745041182699176085e-10, 1.414100282269579870e-10, 6.013410813190386105e-10
2.089000000000000000e+03, 7.843544543244126206e-10, 6.042498482163117855e-10, 5.641776193655193375e-10, 2.002962166276183096e-10, 2.003692601427325104e-10, 1.133313350849860867e-10, 6.135439405597191106e-10, 2.003692601427325104e-10, 1.947833369145300694e-10, 5.641776193655193375e-10, 1.305799626645773708e-10, 7.843544543244126206e-10
2.090000000000000000e+03, 9.824465235265499810e-10, 6.887867308683988865e-10, 5.682797352007148425e-10, 2.167757374765195073e-10, 1.964064605737429891e-10, 3.709204924447906252e-10, 6.981529607573140076e-10, 1.964064605737429891e-10, 3.545397279494861956e-10, 5.682797352007148425e-10, 2.897430305459211909e-10, 9.824465235265499810e-10
2.091000000000000000e+03, 8.680027032587735971e-10, 6.690626075809881654e-10, 3.104116793828966942e-10, 3.128127596875376616e-10, 2.155166515681338640e-10, 1.597687362405969084e-10, 6.783323627790763684e-10, 2.155166515681338640e-10, 2.173919680149999740e-10, 3.104116793828966942e-10, 1.489668028913156276e-10, 8.680027032587735971e-10
