year, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CMCC-CM2-SR5, CNRM-ESM2-1, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR, CanESM5
2.061000000000000000e+03, 6.658388115705817256e+01, 3.238122841346378067e+01, 6.570220257633573624e+01, 6.137726813243223489e+01, 9.916118735660673167e+01, 4.364780046882825104e+01, 8.055738015272984853e+01, 3.143399556777422887e+01, 3.654538592765899097e+01, 7.879051259409683894e+01, 5.473439121473452218e+01, 7.311004595681768592e+01, 6.403387341037192471e+01, 6.666101618529670247e+01, 4.123332237540129341e+01, 7.455648488410666630e+01
2.062000000000000000e+03, 6.663182804580058871e+01, 3.250253810158565670e+01, 6.581691523851559111e+01, 6.138973793077785501e+01, 9.912709942432802279e+01, 4.413095451641972744e+01, 8.087624622353541781e+01, 3.142027883373406283e+01, 3.679374763433681039e+01, 7.904962941579351821e+01, 5.485788892856101739e+01, 7.329512229111966803e+01, 6.411327238981405685e+01, 6.665686085049773624e+01, 4.143237912394933176e+01, 7.521570343453083751e+01
2.063000000000000000e+03, 6.666916444829452359e+01, 3.258769466658123548e+01, 6.586739937633859654e+01, 6.155948105442953988e+01, 9.908300428683169514e+01, 4.351083689735602889e+01, 8.118034333351907605e+01, 3.164694492024821315e+01, 3.725853933349846869e+01, 7.942145088412134157e+01, 5.488075336096097345e+01, 7.351922096467649226e+01, 6.435954714773315288e+01, 6.696964000039045573e+01, 4.151354778234588139e+01, 7.591658666392650900e+01
2.064000000000000000e+03, 6.681958644978193718e+01, 3.284304974536993882e+01, 6.598036464106029086e+01, 6.169950650348319954e+01, 9.906137455970198857e+01, 4.289890411701689743e+01, 8.139125009972748614e+01, 3.178792482459256519e+01, 3.768424297594641104e+01, 7.984281859194335595e+01, 5.508035241976460128e+01, 7.370604102122851486e+01, 6.463772797246548407e+01, 6.705369362289943069e+01, 4.165966532960953828e+01, 7.636387769794198732e+01
2.065000000000000000e+03, 6.691703965912090268e+01, 3.315946707381617387e+01, 6.635160729437875204e+01, 6.167910138945472198e+01, 9.906586146620495015e+01, 4.296126615713020414e+01, 8.166813246273881077e+01, 3.175521012213105720e+01, 3.793801360179562465e+01, 8.014378160835941856e+01, 5.524944916286778351e+01, 7.381801581902803377e+01, 6.481758448076209334e+01, 6.725670688260960617e+01, 4.178479441007454653e+01, 7.686990490923315633e+01
2.066000000000000000e+03, 6.702370058372314077e+01, 3.329745747166921177e+01, 6.665452789941640788e+01, 6.168056149252402776e+01, 9.911074945680192627e+01, 4.339039074093999204e+01, 8.185472145084884232e+01, 3.173654721560776082e+01, 3.825790824703112492e+01, 8.006298670715618471e+01, 5.519095781371653686e+01, 7.408770637795093705e+01, 6.480088947091768148e+01, 6.758547513705542542e+01, 4.186821629467822703e+01, 7.718960201211096717e+01
2.067000000000000000e+03, 6.717114225062796606e+01, 3.358708239416737484e+01, 6.655752123298270817e+01, 6.154702546689731690e+01, 9.914281250521661093e+01, 4.383267582299956899e+01, 8.210992187126818465e+01, 3.205032216704247361e+01, 3.857699086534357491e+01, 8.001113597477298356e+01, 5.524066653405009220e+01, 7.449264717168794903e+01, 6.483701071280529504e+01, 6.785010007830729251e+01, 4.202958500828551536e+01, 7.753910947024107259e+01
2.068000000000000000e+03, 6.725363203509301968e+01, 3.402150667049602362e+01, 6.652139504237612755e+01, 6.174270196778805797e+01, 9.919116482922346734e+01, 4.406067163498757822e+01, 8.241080072946760993e+01, 3.242337704751184191e+01, 3.880193674794374914e+01, 8.011070117697776993e+01, 5.549285749324567263e+01, 7.498989184808259267e+01, 6.486566863171370301e+01, 6.795418726397728904e+01, 4.216494379231571799e+01, 7.780384567408074759e+01
2.069000000000000000e+03, 6.709394114121933228e+01, 3.418872065884254852e+01, 6.665181639585232176e+01, 6.219144861879129849e+01, 9.938305616577470403e+01, 4.414919654667078674e+01, 8.263054675708035290e+01, 3.227461762092872988e+01, 3.911186278649608283e+01, 8.016007858751662241e+01, 5.575677331152438398e+01, 7.531710916515982035e+01, 6.479974040252587031e+01, 6.790797531444667356e+01, 4.226145282552607796e+01, 7.814679303344905748e+01
2.070000000000000000e+03, 6.706933953304155693e+01, 3.442987129207489261e+01, 6.653219022449445674e+01, 6.223154772124789247e+01, 9.971302297386407076e+01, 4.384716283761380851e+01, 8.282781569435802282e+01, 3.231544185586967899e+01, 3.943164654333406105e+01, 8.049405385696043425e+01, 5.595890850966883789e+01, 7.536791619532560560e+01, 6.486915471675229128e+01, 6.792057408240019356e+01, 4.231180517072829872e+01, 7.844156481105207490e+01
