year, NorESM2-LM, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-MM, GFDL-ESM4, CanESM5, INM-CM5-0, CESM2-WACCM, CMCC-ESM2, INM-CM4-8, UKESM1-0-LL, EC-Earth3-Veg, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, IPSL-CM6A-LR
2.052000000000000000e+03, 1.451046596788744480e+00, 1.257900911677732214e+00, 1.166637734733366738e+00, 1.455544530577728368e+00, 2.308401874928581510e+00, 1.360781073322179235e+00, 1.604861780547916172e+00, 1.541986739178222710e+00, 2.391176146532876690e+00, 1.638464686565740180e+00, 2.453296464264803411e+00, 1.665306841563016782e+00, 1.435891762637538260e+00, 1.709664895517416738e+00, 1.290152292125815503e+00, 1.513616365478165138e+00
2.053000000000000000e+03, 1.458255242857842360e+00, 1.272709649399355714e+00, 1.188694599244832562e+00, 1.461533194452519169e+00, 2.233956648708285364e+00, 1.348001407269729501e+00, 1.618890500047659220e+00, 1.508797953855803842e+00, 2.472356730196170194e+00, 1.628564531854442388e+00, 2.470428586937819304e+00, 1.650083707155284296e+00, 1.424968003530210137e+00, 1.711992458916736792e+00, 1.302684397435639685e+00, 1.537948313707098613e+00
2.054000000000000000e+03, 1.435616192363590615e+00, 1.278576489353567158e+00, 1.167584929906788194e+00, 1.447220203287461704e+00, 2.230286791196212981e+00, 1.333631071776586463e+00, 1.622217900101029064e+00, 1.503976691471768046e+00, 2.533184598648824171e+00, 1.632366047012308696e+00, 2.438514902187915556e+00, 1.633302614398921992e+00, 1.424031150065236728e+00, 1.780821984265333668e+00, 1.291440711288850407e+00, 1.557722861510349555e+00
2.055000000000000000e+03, 1.445935635675970499e+00, 1.251016917659610872e+00, 1.210358925748928449e+00, 1.448462745216617886e+00, 2.293161698617959932e+00, 1.361515827438958492e+00, 1.616633539668503650e+00, 1.517191481164880118e+00, 2.418265201530550357e+00, 1.630633453289582313e+00, 2.477076899196441140e+00, 1.689156860286173512e+00, 1.396509769135553025e+00, 1.881343115432140056e+00, 1.272094456507817162e+00, 1.580159703845438024e+00
2.056000000000000000e+03, 1.468840737084354364e+00, 1.275535701646689057e+00, 1.204542071585455787e+00, 1.413640316047627188e+00, 2.301517801442899636e+00, 1.334610833691357579e+00, 1.628635709799657771e+00, 1.532174735118946973e+00, 2.322915872552133276e+00, 1.611213148172914389e+00, 2.499085844980267090e+00, 1.688675801632979701e+00, 1.414907212589241681e+00, 1.851552325203429827e+00, 1.366917071166345421e+00, 1.570956387667695964e+00
2.057000000000000000e+03, 1.486205897379322405e+00, 1.311947135467857795e+00, 1.214067441720382723e+00, 1.415198671840531830e+00, 2.304383994414057835e+00, 1.363330874772491708e+00, 1.640846232646706593e+00, 1.512134670026306971e+00, 2.105267636793562325e+00, 1.649324535254246271e+00, 2.469332556617244823e+00, 1.679014036995005288e+00, 1.438928344834112805e+00, 1.663782092826573633e+00, 1.339286138808651438e+00, 1.588015066586843105e+00
2.058000000000000000e+03, 1.504933168079521932e+00, 1.324347394649945109e+00, 1.195196175537307504e+00, 1.437941576200265636e+00, 2.268185863687484094e+00, 1.360530062966308185e+00, 1.624425565212178846e+00, 1.516661449791294691e+00, 2.204383841819833822e+00, 1.633969383175202239e+00, 2.463932278112072272e+00, 1.726300417331181558e+00, 1.447871146578751267e+00, 1.774220421179881324e+00, 1.341007230534380756e+00, 1.606554427599398815e+00
2.059000000000000000e+03, 1.537323369589935096e+00, 1.337163964281654405e+00, 1.196122094521671064e+00, 1.423907342600690296e+00, 2.301087854667506427e+00, 1.377789574428270880e+00, 1.656853182136730496e+00, 1.538958576730075301e+00, 2.399633409407130991e+00, 1.634676733568859008e+00, 2.484709401374940008e+00, 1.744219752305386839e+00, 1.426939304742369519e+00, 1.836202107869135514e+00, 1.270832696196925182e+00, 1.595246907300262418e+00
2.060000000000000000e+03, 1.516748266449325921e+00, 1.295502698627330584e+00, 1.166752716796664480e+00, 1.436089420868686961e+00, 2.297133846610553753e+00, 1.403775282707166117e+00, 1.657739199933060847e+00, 1.536864325371373186e+00, 2.432880408022424668e+00, 1.622903237211983596e+00, 2.485731008709073819e+00, 1.768944926706659482e+00, 1.437496735900457345e+00, 1.864309672607371793e+00, 1.287879252043522049e+00, 1.561330245799801508e+00
2.061000000000000000e+03, 1.566413796549824600e+00, 1.290684419349382495e+00, 1.153377322801591109e+00, 1.429510846246173861e+00, 2.298998146976333423e+00, 1.361017037757510373e+00, 1.663084054050724347e+00, 1.521726918427953823e+00, 2.327097026224977938e+00, 1.655586293046340307e+00, 2.464400215999610122e+00, 1.711632583570645183e+00, 1.438652838272933554e+00, 1.923216735923268139e+00, 1.296308509917557528e+00, 1.553670624802127698e+00
