year, NorESM2-MM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR
2.053000000000000000e+03, 2.464256198219839345e-10, 1.169156213483035663e-09, 2.390659996635668259e-10, 6.557495409833923820e-10, 6.557495409833923820e-10, 5.200710950761661308e-10, 1.172644583898782773e-09, 2.390659996635668259e-10, 2.464256198219839345e-10, 2.668628387050612956e-10, 1.817572220190369027e-10, 6.780880897251757074e-10
2.054000000000000000e+03, 2.001034272345595027e-10, 8.530939608316730912e-10, 2.461209531513860460e-10, 7.284345887872608996e-10, 7.284345887872608996e-10, 4.779879674270311039e-10, 8.564996417508516766e-10, 2.461209531513860460e-10, 2.001034272345595027e-10, 2.783670773094868119e-10, 1.506591736006824896e-10, 7.805951472964796725e-10
2.055000000000000000e+03, 2.019162818321601148e-10, 7.727173957258203531e-10, 2.238210823664729871e-10, 7.776651392014341761e-10, 7.776651392014341761e-10, 4.329244051008233576e-10, 7.761155724603478348e-10, 2.238210823664729871e-10, 2.019162818321601148e-10, 2.753483177861456967e-10, 1.616942884832762207e-10, 5.094865555682563546e-10
2.056000000000000000e+03, 2.305683996567493514e-10, 8.506329833513517478e-10, 2.459458146019344091e-10, 5.959156558779054228e-10, 5.959156558779054228e-10, 4.486728343938301322e-10, 8.539910389163350250e-10, 2.459458146019344091e-10, 2.305683996567493514e-10, 2.563806099450395619e-10, 1.114595009599495675e-10, 5.630748613798457659e-10
2.057000000000000000e+03, 2.544027749265813368e-10, 9.915348826292870608e-10, 2.238379822754031264e-10, 6.458122628993070309e-10, 6.458122628993070309e-10, 6.281334904249450323e-10, 9.949396225822978563e-10, 2.238379822754031264e-10, 2.544027749265813368e-10, 2.792946272290914847e-10, 1.416240501667559891e-10, 8.133191179498117053e-10
2.058000000000000000e+03, 2.531654920284207096e-10, 1.000650151006384432e-09, 1.963206444322006137e-10, 7.112213633872298623e-10, 7.112213633872298623e-10, 5.348757400736947246e-10, 1.003942457899695313e-09, 1.963206444322006137e-10, 2.531654920284207096e-10, 2.152509245894468076e-10, 1.559287752185508843e-10, 5.042433907614249373e-10
2.059000000000000000e+03, 2.436953860975271353e-10, 8.069252497949921356e-10, 2.290855319297265737e-10, 9.442733674086468406e-10, 9.442733674086468406e-10, 3.759855931025619635e-10, 8.104422306116786109e-10, 2.290855319297265737e-10, 2.436953860975271353e-10, 2.709817906411860955e-10, 1.209032772856509422e-10, 7.325689874566930337e-10
2.060000000000000000e+03, 2.350080743333840930e-10, 6.279505111639263414e-10, 2.275810543414762661e-10, 8.010061495885329845e-10, 8.010061495885329845e-10, 5.608504991885714251e-10, 6.314434029437918617e-10, 2.275810543414762661e-10, 2.350080743333840930e-10, 2.502209483110785312e-10, 1.423756823292540008e-10, 6.160210974873419518e-10
2.061000000000000000e+03, 2.312972407877257017e-10, 8.972767025779268974e-10, 2.492318923246782731e-10, 8.070884186437373428e-10, 8.070884186437373428e-10, 4.569164815320917243e-10, 9.009480522034410014e-10, 2.492318923246782731e-10, 2.312972407877257017e-10, 2.498974465423846251e-10, 1.390401677387171276e-10, 6.781968212755375212e-10
2.062000000000000000e+03, 2.863157830650577569e-10, 8.505588156461342498e-10, 2.387948679488344354e-10, 8.493490342232177556e-10, 8.493490342232177556e-10, 6.185092129848236105e-10, 8.544617266446900322e-10, 2.387948679488344354e-10, 2.863157830650577569e-10, 1.950811366838603235e-10, 1.353317543000884381e-10, 7.325905738531653944e-10
2.063000000000000000e+03, 2.056450235048926006e-10, 1.135208941039267328e-09, 2.971488903283819872e-10, 9.644904825191062949e-10, 9.644904825191062949e-10, 7.195046732964761103e-10, 1.139127418598726118e-09, 2.971488903283819872e-10, 2.056450235048926006e-10, 2.248199335894073247e-10, 1.141197367995212361e-10, 6.229570149214946943e-10
2.064000000000000000e+03, 1.902358295946008663e-10, 8.206461170287440146e-10, 2.455870652675403318e-10, 1.148096186396323742e-09, 1.148096186396323742e-09, 8.174836963803743697e-10, 8.243859560364917975e-10, 2.455870652675403318e-10, 1.902358295946008663e-10, 1.547720494679541535e-10, 2.017172577328074624e-10, 5.899657400662014640e-10
2.065000000000000000e+03, 1.730068917142955853e-10, 9.687891138288272396e-10, 2.245793980554568925e-10, 7.456989299701731179e-10, 7.456989299701731179e-10, 4.101982974775151683e-10, 9.725670277609838858e-10, 2.245793980554568925e-10, 1.730068917142955853e-10, 2.199325187353924412e-10, 1.166192519619164122e-10, 4.754445651267603950e-10
2.066000000000000000e+03, 2.384155549627922160e-10, 9.049723168639962985e-10, 2.343834913053867602e-10, 1.157957284649204080e-09, 1.157957284649204080e-09, 5.720615773704153677e-10, 9.088514136301755838e-10, 2.343834913053867602e-10, 2.384155549627922160e-10, 2.969408472501862454e-10, 1.716448947180246787e-10, 6.097436334427452978e-10
