year, MIROC-ES2L, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CMCC-CM2-SR5, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5, CanESM5, NorESM2-LM, NorESM2-MM
2.078000000000000000e+03, 7.666497225238504143e+01, 1.139843429011178166e+01, 6.309317449605409678e+01, 8.256684924413269400e+00, 1.010012288450509921e+01, 1.627950140035125504e+00, 6.179736648088169915e+01, 7.255148189394549263e+01, 2.266979697301196950e+01, 1.072419342960931310e+01, 1.973256204494748900e+01, 7.602074394551871173e+00, 8.246816660395067444e+00
2.079000000000000000e+03, 7.648252928467277911e+01, 1.153379198537040651e+01, 6.319396835590301720e+01, 7.997167247325838169e+00, 9.780053290460489990e+00, 1.864593322843066669e+00, 6.177240476571654426e+01, 7.271274397695090386e+01, 2.272261606488824981e+01, 1.070139768517703871e+01, 1.965872300679297169e+01, 7.910757807339710901e+00, 8.251239631890442183e+00
2.080000000000000000e+03, 7.643728563242679286e+01, 1.156145008242699568e+01, 6.325980503310762515e+01, 7.947876196398217630e+00, 1.047804948493349997e+01, 2.081109747264375809e+00, 6.195310140851615444e+01, 7.274147626422482915e+01, 2.283630614346902021e+01, 1.071068066289191556e+01, 1.945182121115037077e+01, 7.970379696580820017e+00, 8.321056039335225307e+00
2.081000000000000000e+03, 7.656323549507840198e+01, 1.161966547279883599e+01, 6.356032277352576898e+01, 8.256804642746194745e+00, 1.106233413641639807e+01, 1.853360675099239296e+00, 6.188888978852784817e+01, 7.264654292617690601e+01, 2.287162838776650631e+01, 1.074608258817227302e+01, 1.929664940135925022e+01, 8.000409862670542438e+00, 8.247520035318876452e+00
2.082000000000000000e+03, 7.683119841057515487e+01, 1.137254854977610918e+01, 6.375394861301164440e+01, 8.318963170024533227e+00, 1.089881054561913309e+01, 1.821946906917887077e+00, 6.192498520013769081e+01, 7.252322934891572004e+01, 2.299893147483311040e+01, 1.072079134325237604e+01, 1.936705193972069949e+01, 7.967699189167278817e+00, 8.289634102683807626e+00
2.083000000000000000e+03, 7.660469495141060747e+01, 1.131407656988034027e+01, 6.426068032666339036e+01, 8.138470878956628241e+00, 1.048676993909981547e+01, 2.022576300438641450e+00, 6.177650535604436044e+01, 7.237836024056628048e+01, 2.314772022378935645e+01, 1.068815272727704624e+01, 1.936591754820893030e+01, 8.101170008279835244e+00, 8.365640670310220628e+00
2.084000000000000000e+03, 7.652318063809501325e+01, 1.142741585335764043e+01, 6.426599933929270492e+01, 7.977984922211932783e+00, 1.063339656858651772e+01, 1.710210095165408450e+00, 6.185816745779898440e+01, 7.252315108859019688e+01, 2.317943571726880947e+01, 1.070359505616598561e+01, 1.945840027972080932e+01, 8.008637801553302182e+00, 8.434256836946708802e+00
2.085000000000000000e+03, 7.647143189801728624e+01, 1.164421189731213246e+01, 6.450224118376301874e+01, 8.164415733063822955e+00, 1.075995773785423282e+01, 1.979099035583130384e+00, 6.195825189439726444e+01, 7.272378791738995574e+01, 2.320079725920311731e+01, 1.075340915618893689e+01, 1.942664988795377923e+01, 8.055757893536624081e+00, 8.497388680662336213e+00
2.086000000000000000e+03, 7.661330612321873446e+01, 1.135766700490027326e+01, 6.448792360800496226e+01, 8.223163141018536848e+00, 1.035149681739983762e+01, 2.057643552864615089e+00, 6.199591837637261449e+01, 7.278068308322693269e+01, 2.323774341901688345e+01, 1.069055680687440990e+01, 1.934924690653804902e+01, 8.163127116054724297e+00, 8.295915376398172114e+00
2.087000000000000000e+03, 7.663996708945434477e+01, 1.148400881525021333e+01, 6.421245628587912790e+01, 8.221738332980091712e+00, 1.019321392977708385e+01, 1.958030122670716855e+00, 6.209623353219335939e+01, 7.267121437052965405e+01, 2.319562607374776064e+01, 1.065910497826032532e+01, 1.952450327182762635e+01, 8.166079356588292981e+00, 8.519177711911122941e+00
