year, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CESM2-WACCM, NorESM2-LM, INM-CM5-0, CNRM-ESM2-1, GFDL-ESM4, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR
2.048000000000000000e+03, 9.438857373952841101e+01, 4.411524676118478538e+01, 9.734172689476153550e+01, 3.789051631907045703e+01, 7.962296836298283154e+01, 7.386509634239536126e+01, 1.334053294068871480e+02, 1.201560197010235242e+02, 8.323310970535753484e+01, 1.293968405397268668e+02, 7.622677545809112587e+01, 5.767601096067037503e+01, 8.016635441520416805e+01, 6.371054588618728332e+01, 1.180245821417182981e+02, 6.648052959293718800e+01
2.049000000000000000e+03, 9.478274049975891558e+01, 4.444082857044882218e+01, 9.773892026053452753e+01, 3.866156387804561945e+01, 8.017213840030807148e+01, 7.434174026437104033e+01, 1.331906502705612922e+02, 1.206336695767444809e+02, 8.367805235925254692e+01, 1.296615774456466568e+02, 7.643210372337354386e+01, 5.781579806537312294e+01, 8.048202654535533895e+01, 6.330618526958359382e+01, 1.182271952625042530e+02, 6.712752745576564450e+01
2.050000000000000000e+03, 9.503193732826609619e+01, 4.424432869277273994e+01, 9.809529012215762123e+01, 3.831320825210640635e+01, 8.070755031343762198e+01, 7.451470485760808060e+01, 1.330620991033786993e+02, 1.213023857601452988e+02, 8.382927413401074546e+01, 1.297588646187757035e+02, 7.679288514831689838e+01, 5.809367646101122062e+01, 8.077891228460042328e+01, 6.376481873229834463e+01, 1.187598988689058501e+02, 6.779443595971149250e+01
2.051000000000000000e+03, 9.537283300302458144e+01, 4.454453833754227787e+01, 9.824633577397690942e+01, 3.743265039332619182e+01, 8.101850110045023712e+01, 7.472605727340578596e+01, 1.334197519972667578e+02, 1.216537666730564524e+02, 8.417191917309708060e+01, 1.300826751020769620e+02, 7.715295772116373030e+01, 5.823426653234771067e+01, 8.106754896746771522e+01, 6.409658510940991505e+01, 1.192192027033108275e+02, 6.808420360532055327e+01
2.052000000000000000e+03, 9.609444452195911879e+01, 4.498133216346278829e+01, 9.809743077131884093e+01, 3.753970307885281699e+01, 8.123042210458049794e+01, 7.501079739861420137e+01, 1.335215346404575314e+02, 1.223380737281731996e+02, 8.475776482336556228e+01, 1.301064796597975999e+02, 7.754992202395145284e+01, 5.832357377838540202e+01, 8.133352947596712568e+01, 6.472231964783775027e+01, 1.193720599222235279e+02, 6.834122837831276343e+01
2.053000000000000000e+03, 9.672487611799526519e+01, 4.507817498838395665e+01, 9.798845295429519808e+01, 3.787587367712937692e+01, 8.142611242888575873e+01, 7.531496308776306137e+01, 1.334532674061780710e+02, 1.228259504554887798e+02, 8.495456358013392162e+01, 1.301700115456731908e+02, 7.783950961388150347e+01, 5.859988313041571217e+01, 8.164835389110602648e+01, 6.441579262619562485e+01, 1.195620325286704855e+02, 6.880082126268793274e+01
2.054000000000000000e+03, 9.700815508925707320e+01, 4.524967575884899418e+01, 9.770202353175746168e+01, 3.832757231410297294e+01, 8.147291912535611402e+01, 7.550195498106369030e+01, 1.335118858732897706e+02, 1.234466837797964303e+02, 8.521647027446370259e+01, 1.304470904144801864e+02, 7.809453990188534078e+01, 5.858694113316980889e+01, 8.175864085565090988e+01, 6.434858208818597802e+01, 1.199101881364215245e+02, 6.934021695384448947e+01
2.055000000000000000e+03, 9.768889420468742912e+01, 4.513398510750130299e+01, 9.765935808833995679e+01, 3.910780822842882287e+01, 8.204124977039913347e+01, 7.588636287028317895e+01, 1.335575486704264563e+02, 1.237615728230299936e+02, 8.566083867661215834e+01, 1.304136226725440508e+02, 7.832360094385485638e+01, 5.877585792568402923e+01, 8.197078571898731525e+01, 6.569949923827930149e+01, 1.200555023355764632e+02, 6.995445439641029850e+01
2.056000000000000000e+03, 9.798968869602809662e+01, 4.542061706614052952e+01, 9.788206056941137945e+01, 3.835881166630916539e+01, 8.243588269839459315e+01, 7.631278071638247695e+01, 1.335589150823836917e+02, 1.245170346583226859e+02, 8.605462900773831336e+01, 1.303273421408878505e+02, 7.849169691243287161e+01, 5.933328744108946040e+01, 8.225584214997026322e+01, 6.585526161597249484e+01, 1.203324043220545434e+02, 7.043871166025678576e+01
2.057000000000000000e+03, 9.828866920464317047e+01, 4.575070159739313880e+01, 9.794122067448289215e+01, 3.790429249248403920e+01, 8.248918586299328126e+01, 7.689540109269493939e+01, 1.334855331545085733e+02, 1.249723734887861895e+02, 8.643405403609624216e+01, 1.301881974392949246e+02, 7.873694953376015349e+01, 5.960175367801240753e+01, 8.242049550689571902e+01, 6.559794362170043769e+01, 1.207922763542287754e+02, 7.104011350806040070e+01
2.058000000000000000e+03, 9.882893739121338683e+01, 4.615878686946842180e+01, 9.780602490480315225e+01, 3.893972944397685154e+01, 8.284159994280555850e+01, 7.737239567322849609e+01, 1.335852436628276223e+02, 1.253737079170891064e+02, 8.664451379211585902e+01, 1.303668253997980742e+02, 7.900297718405086300e+01, 5.997930398842286337e+01, 8.264271935912830713e+01, 6.543491095488481335e+01, 1.213836694871436919e+02, 7.165287391070729939e+01
2.059000000000000000e+03, 9.924117371960728917e+01, 4.646539075779338646e+01, 9.791228594604287139e+01, 3.901050154515719726e+01, 8.339129343385613424e+01, 7.765421347152023657e+01, 1.338339410210930396e+02, 1.256812783125090220e+02, 8.695688578612553954e+01, 1.306395597141807343e+02, 7.947537502983405489e+01, 6.061845035848776320e+01, 8.297303433398215589e+01, 6.480952436812142992e+01, 1.220150464338489087e+02, 7.215224316127149962e+01
2.060000000000000000e+03, 9.985131890399580357e+01, 4.672447798682892994e+01, 9.775393269509088157e+01, 3.931203401021852528e+01, 8.353745430629885504e+01, 7.804802278322446796e+01, 1.341900029977715292e+02, 1.259441412870183683e+02, 8.733175006996205525e+01, 1.306341875146148652e+02, 7.958309694128548983e+01, 6.137842322777912329e+01, 8.319584961623976938e+01, 6.594545104331793084e+01, 1.221149783437384713e+02, 7.237517501865890779e+01
2.061000000000000000e+03, 1.001642712502523409e+02, 4.695010435124294901e+01, 9.728946627454054408e+01, 3.948994427755012282e+01, 8.376237748176266962e+01, 7.852737445893582446e+01, 1.341280255201333773e+02, 1.262478201729475416e+02, 8.760928939606968413e+01, 1.304711774911543500e+02, 7.984426165657420427e+01, 6.141926280940877092e+01, 8.341118983925518648e+01, 6.585132278906652914e+01, 1.220923561046138985e+02, 7.258780188473848227e+01
