year, CMCC-CM2-SR5, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, IPSL-CM6A-LR, CanESM5, CESM2-WACCM, INM-CM4-8, MPI-ESM1-2-LR, NorESM2-MM, CNRM-ESM2-1, INM-CM5-0, MIROC-ES2L, EC-Earth3-Veg, UKESM1-0-LL
2.052000000000000000e+03, 8.445543445653488135e+00, 5.936970295110054252e+00, 6.924063478416941919e+00, 7.719028419310101086e+00, 1.086359500538172540e+01, 8.037123613860956084e+00, 1.172878671585405641e+01, 7.763281243403191922e+00, 9.558097861888164459e+00, 1.220230756483984536e+01, 7.523369140339526417e+00, 1.001966496887420810e+01, 9.641949709459415985e+00, 1.127160608119948826e+01, 8.799691240697022465e+00, 1.090979643233700003e+01
2.053000000000000000e+03, 7.948530452595713669e+00, 5.897620109346225270e+00, 6.982538489210647903e+00, 8.078524933292808186e+00, 1.011461607084676295e+01, 8.263581270573283177e+00, 1.128051211261633213e+01, 7.217277534154812102e+00, 9.816847433644255716e+00, 1.178559615498333812e+01, 7.389104577517421113e+00, 1.007839894960023663e+01, 9.937368664311408750e+00, 1.142306974767920380e+01, 8.515630613471167010e+00, 1.111298015743495426e+01
2.054000000000000000e+03, 8.629581584720257936e+00, 6.033997055204878279e+00, 7.010700185387450212e+00, 7.969827341327173187e+00, 1.025421823456034964e+01, 8.610184029025687025e+00, 1.159119447290702531e+01, 7.475163346348709936e+00, 9.854811538291087913e+00, 1.175325688898042564e+01, 7.392772201010679112e+00, 1.003175743769595663e+01, 9.998891530948634809e+00, 1.101714415009259085e+01, 8.501551504953940963e+00, 1.038903009636000796e+01
2.055000000000000000e+03, 8.718745357163843579e+00, 5.629279823466190713e+00, 7.154153390548882996e+00, 7.742211828253407369e+00, 1.073724009415550462e+01, 8.737476043828264594e+00, 1.170723644262253593e+01, 7.989035935579583914e+00, 9.246714298003583465e+00, 1.174808329375532523e+01, 7.215722886040803807e+00, 9.867513278470745774e+00, 9.956076960665081188e+00, 1.163290683594007646e+01, 9.207493722560593952e+00, 1.119837349294953022e+01
2.056000000000000000e+03, 8.402810874001714225e+00, 5.452431422143548367e+00, 7.355272982427939255e+00, 8.088434689602593153e+00, 1.094147484176064111e+01, 8.667239322080009245e+00, 1.101221634770917035e+01, 7.504217368899391616e+00, 9.302993372442024622e+00, 1.158444362941604311e+01, 7.187710288642152889e+00, 1.053248924542996257e+01, 9.680072969949538475e+00, 1.173506706723586213e+01, 8.870812754820477153e+00, 1.127418786077148738e+01
2.057000000000000000e+03, 8.149293470114995941e+00, 5.850386888549558684e+00, 7.455953750842691186e+00, 8.313361078118775893e+00, 1.085493849494952912e+01, 8.900242303718542303e+00, 1.179962318543988076e+01, 7.287919093061750786e+00, 9.474280252583383799e+00, 1.244142587892901020e+01, 6.967426387228492501e+00, 1.033044867806347256e+01, 1.005687526625516170e+01, 1.143109649781231774e+01, 9.088292990362115020e+00, 1.093952166722829666e+01
2.058000000000000000e+03, 8.246482267524898546e+00, 6.061175741479090107e+00, 7.243918335426679178e+00, 8.674080648297284313e+00, 1.063972716357900694e+01, 9.017312951164628387e+00, 1.168442228069986832e+01, 7.979832273107105856e+00, 9.848542930194865264e+00, 1.233097812399898530e+01, 7.601189959605693325e+00, 1.051216782904210412e+01, 9.726619461948182277e+00, 1.120251724585087416e+01, 9.635699976535761380e+00, 1.127874001478062560e+01
2.059000000000000000e+03, 8.576161421253750916e+00, 5.631547578296608236e+00, 7.429131261412440068e+00, 8.527830379325418875e+00, 1.081519233370035593e+01, 8.624906688870357385e+00, 1.175437907479408928e+01, 7.495267931237010295e+00, 1.005638538100854085e+01, 1.219260730114127966e+01, 7.245630108236936096e+00, 9.769396416242575043e+00, 1.044618398082051414e+01, 1.179375089351615280e+01, 9.810326891237533431e+00, 1.129861580335827220e+01
2.060000000000000000e+03, 8.829638174978029497e+00, 5.952642321635204681e+00, 7.430586755881351202e+00, 7.889992984496108086e+00, 1.086944278301840505e+01, 8.143112605219583244e+00, 1.220199529346681899e+01, 7.484154426961612039e+00, 9.068662118616114043e+00, 1.237625143700310382e+01, 7.042785722262117076e+00, 1.015839720061902618e+01, 1.020573870148267304e+01, 1.103765186442401180e+01, 9.038222079134225595e+00, 1.123370956520411745e+01
2.061000000000000000e+03, 8.031707805128039723e+00, 5.676437377851201838e+00, 7.619551106862600953e+00, 8.138229494481267423e+00, 1.072979988924861061e+01, 8.458250267695650138e+00, 1.148201847837378864e+01, 7.557325915465443522e+00, 9.756902105288595806e+00, 1.231974837364906961e+01, 7.455087437172350562e+00, 1.013624389792181013e+01, 9.841437771981816240e+00, 1.077171728074112700e+01, 9.106674615072709145e+00, 1.066398317873586521e+01
2.062000000000000000e+03, 7.907299678105787599e+00, 5.828519237666452746e+00, 7.154851299430855960e+00, 8.180116381339269438e+00, 1.096072820552662819e+01, 8.876654581922146292e+00, 1.112350606580381829e+01, 7.464105497948980705e+00, 9.686553011156680881e+00, 1.189832960542202578e+01, 7.123403025297961655e+00, 9.837157955690567945e+00, 1.100322052307125276e+01, 1.101954951665457472e+01, 8.888317633795510986e+00, 1.020499335793893891e+01
2.063000000000000000e+03, 7.962456629556054821e+00, 5.484655224475518231e+00, 7.626659691440448974e+00, 8.157892434117950842e+00, 1.060625880306691293e+01, 9.112718391222941250e+00, 1.159208362417722071e+01, 7.953536403186334702e+00, 9.774715565859082744e+00, 1.151185740122289047e+01, 7.712196191270133561e+00, 9.606523156975095290e+00, 1.001467323141932830e+01, 1.167534623465398624e+01, 8.813580336852055552e+00, 1.154842510081514284e+01
2.064000000000000000e+03, 8.040578230008319949e+00, 5.469812310671562372e+00, 6.890314856286769540e+00, 8.256727149195286941e+00, 1.072630503830791682e+01, 9.117030564739865284e+00, 1.147153280435163047e+01, 7.990911991251286040e+00, 9.544485525039492657e+00, 1.220898172199329146e+01, 7.745930509775767803e+00, 8.833849398187512136e+00, 1.016159477903253894e+01, 1.078140499289155052e+01, 8.813646535102151347e+00, 1.078190286137712128e+01
