year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, NorESM2-MM, MPI-ESM1-2-LR, CNRM-ESM2-1, CMCC-ESM2, NorESM2-LM, IPSL-CM6A-LR, TaiESM1
2.064000000000000000e+03, 1.132318879940198175e-10, 1.760529316334770120e-12, 1.993365544164057911e-10, 6.458596098849238747e-10, 6.876172835432570338e-11, 2.008049040655877011e-10, 2.055386641605951510e-10, 7.290731693865938805e-10, 8.025358938743464020e-11, 1.486370540535656918e-10
2.065000000000000000e+03, 1.148803221163766738e-10, 1.523289981742481500e-12, 2.013910476411823363e-10, 6.937340843701252709e-10, 6.969337441864372370e-11, 2.090360017578731084e-10, 1.818542736580965222e-10, 7.775360207133102451e-10, 8.390523090546610726e-11, 1.286915510250705202e-10
2.066000000000000000e+03, 8.983241816338797311e-11, 1.284510184363059753e-12, 1.784085682013076707e-10, 6.470311899000562281e-10, 7.059586093526657942e-11, 1.364233936692941349e-10, 1.789734201198289897e-10, 7.993643904695627560e-10, 5.382409972094923381e-11, 1.289935236517589304e-10
2.067000000000000000e+03, 9.248372442845033894e-11, 1.209199885398653952e-12, 1.767061026465089234e-10, 6.125002195317443796e-10, 7.185328537149334554e-11, 1.392636369386498670e-10, 1.780546986293274946e-10, 6.974458988073315380e-10, 5.455415359908448090e-11, 1.268131781208388982e-10
2.068000000000000000e+03, 9.475164259374363946e-11, 1.324937995809413012e-12, 1.752332748765347462e-10, 5.987024528576972228e-10, 7.175836894954884721e-11, 1.423854157242937765e-10, 1.766584280438274258e-10, 6.143692008776127521e-10, 5.498488790200603050e-11, 1.253679562274230587e-10
2.069000000000000000e+03, 9.664549657275039766e-11, 1.363532972732291871e-12, 1.745425732048889457e-10, 5.601324580860269058e-10, 7.393137272980622976e-11, 1.444454326115632962e-10, 1.769724037613722507e-10, 6.706289211483911154e-10, 5.597442485794021826e-11, 1.249234519237991614e-10
2.070000000000000000e+03, 9.652481119432685128e-11, 1.403820556652528874e-12, 1.741651978563921253e-10, 6.047767524408457429e-10, 9.735531025660921756e-11, 1.483141325940418864e-10, 1.872799986076711091e-10, 7.256368194352891602e-10, 5.710145012391259159e-11, 1.358124958592045673e-10
2.071000000000000000e+03, 1.171494676338716182e-10, 1.712410757836380755e-12, 1.829236327301544234e-10, 6.264175842434144854e-10, 1.127194563557599986e-10, 2.127278874364458754e-10, 1.869350877426722647e-10, 6.664052467518360762e-10, 6.890042610326565700e-11, 1.373943220907252250e-10
2.072000000000000000e+03, 1.229880971438771204e-10, 1.847152372757067475e-12, 1.845895336600900394e-10, 6.953750697206216007e-10, 1.167990194994893252e-10, 2.130559583013570628e-10, 1.902730434168921638e-10, 6.349681537084363468e-10, 6.782954629617279018e-11, 1.368059436340282861e-10
2.073000000000000000e+03, 1.308560091946628088e-10, 1.890894486353830997e-12, 1.845899872419161351e-10, 7.396128899852404549e-10, 1.190536962089267519e-10, 2.114020488762191439e-10, 1.902358747943126071e-10, 6.850975663403244333e-10, 6.795834528764974274e-11, 1.390133792922903559e-10
