year, MPI-ESM1-2-LR, CanESM5, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1
2.056000000000000000e+03, 6.413258891181138210e+01, 1.273454472244398161e+01, 1.031776651796300115e+01, 8.682314033013533106e+01, 1.763519963784935030e+01, 1.017922152123852264e+01, 7.861124783672125638e+00, 1.928445353648518434e+01, 7.071040362729632989e+01, 1.052364490888413506e+01, 7.634710711974457809e+01, 1.032769190306589380e+01, 1.385790589446415533e+00
2.057000000000000000e+03, 6.427797024854734786e+01, 1.268411700159813016e+01, 1.031557632500016375e+01, 8.721842604639097374e+01, 1.764524127199011616e+01, 1.022507393348244520e+01, 7.973472197108772974e+00, 1.853415980675111641e+01, 7.077532975940670212e+01, 1.075195866854148541e+01, 7.655984243348686391e+01, 1.033965078821349337e+01, 1.404077781205275377e+00
2.058000000000000000e+03, 6.431570910409702435e+01, 1.297191401177760994e+01, 1.025764537459595438e+01, 8.758024203019564879e+01, 1.770883405263867516e+01, 1.026317046961090540e+01, 7.997705946807619704e+00, 1.804298872844494994e+01, 7.087294181513101421e+01, 1.064884170484259585e+01, 7.672550424457942597e+01, 1.033877732312642728e+01, 1.415758157076694612e+00
2.059000000000000000e+03, 6.444278663855050127e+01, 1.310559598001176163e+01, 1.017104634297436583e+01, 8.789310370461022615e+01, 1.783406616350820784e+01, 1.032295922718563830e+01, 7.974043697872497560e+00, 1.839253607516559086e+01, 7.102581822709278470e+01, 1.044252652426473738e+01, 7.701737439976947996e+01, 1.032702816045630989e+01, 1.381912622318670625e+00
2.060000000000000000e+03, 6.453945355916648907e+01, 1.313893537753312124e+01, 1.029398943133218935e+01, 8.813702320664441459e+01, 1.787242689231777959e+01, 1.043483280019537673e+01, 8.017294368541527660e+00, 1.893616553923640922e+01, 7.104893000847765450e+01, 1.033440120994431588e+01, 7.711650505700686153e+01, 1.038512078817666229e+01, 1.333727849333393056e+00
2.061000000000000000e+03, 6.455123259515075063e+01, 1.306753918683520865e+01, 1.031162406123262620e+01, 8.842712526479350288e+01, 1.796582966760571054e+01, 1.051344988443559636e+01, 8.183454837490311107e+00, 1.932835259082515122e+01, 7.122481830653195800e+01, 1.031849094738713291e+01, 7.721641883013678864e+01, 1.044671171618405658e+01, 1.381549787123205197e+00
2.062000000000000000e+03, 6.461158876439846210e+01, 1.309138133907355517e+01, 1.036601253584755611e+01, 8.869684698301490755e+01, 1.803577705225612249e+01, 1.052153378811889795e+01, 8.362870098687160691e+00, 1.982476057653606105e+01, 7.157999700924516162e+01, 1.029902976251691804e+01, 7.740676812194301704e+01, 1.044232681364352011e+01, 1.383020414222446037e+00
2.063000000000000000e+03, 6.467888372514046580e+01, 1.313086934714445420e+01, 1.047383532767640979e+01, 8.896624843299207441e+01, 1.806104564663616685e+01, 1.038049999070262075e+01, 8.336501773523316672e+00, 1.991062277746619458e+01, 7.183509062128862865e+01, 1.045925589490361141e+01, 7.757011929814670737e+01, 1.041943080471211580e+01, 1.364581111475715591e+00
2.064000000000000000e+03, 6.481505699067659521e+01, 1.328316982158228754e+01, 1.047265450334471915e+01, 8.923325102994556346e+01, 1.806543835043174795e+01, 1.027403065068153687e+01, 8.349384606055890501e+00, 1.984856425056942797e+01, 7.190796925031959574e+01, 1.053568891444378330e+01, 7.776977886693677533e+01, 1.040184602349961196e+01, 1.376814322375039312e+00
2.065000000000000000e+03, 6.498533621334955512e+01, 1.333940511169865850e+01, 1.048720988191066894e+01, 8.966008024121370568e+01, 1.823767025498321459e+01, 1.028340168717108405e+01, 8.340831190724680155e+00, 1.961320160954228342e+01, 7.198186674844731670e+01, 1.050175453083999066e+01, 7.792427549213344662e+01, 1.037867792797218947e+01, 1.369794796015890270e+00
2.066000000000000000e+03, 6.511091906357617631e+01, 1.346774776538307705e+01, 1.055171245988466744e+01, 9.011531453770101052e+01, 1.826425166279969048e+01, 1.036490798772946498e+01, 8.373211947575667224e+00, 1.926799822670814066e+01, 7.206148227731441125e+01, 1.049388138739439746e+01, 7.816189648749896435e+01, 1.041208135716574112e+01, 1.347358957173794725e+00
2.067000000000000000e+03, 6.527713002152256649e+01, 1.356098857809972813e+01, 1.061751462096722065e+01, 9.025597958025365131e+01, 1.825578662821230935e+01, 1.040624311088911647e+01, 8.497263372883072208e+00, 1.912743936534485911e+01, 7.224971241278004186e+01, 1.043230793312893212e+01, 7.816340040896407970e+01, 1.042150863301158736e+01, 1.335775014125701876e+00
2.068000000000000000e+03, 6.541126006046526697e+01, 1.367325009694338611e+01, 1.066361449612596068e+01, 9.044006947298751697e+01, 1.830970552841240462e+01, 1.032368998959053741e+01, 8.637746780923720280e+00, 1.897929251414741358e+01, 7.228470971129465283e+01, 1.037866244322446185e+01, 7.827637029130450230e+01, 1.038326585202865537e+01, 1.354487829538843169e+00
