year, GFDL-ESM4, MIROC-ES2L, TaiESM1, NorESM2-LM, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-CM2-SR5, CanESM5, UKESM1-0-LL, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM
2.049000000000000000e+03, 1.241988772657484503e+02, 3.608605388222061947e+02, 6.130814805626637565e+01, 1.330821852518266269e+03, 3.148167452386651917e+02, 1.538361246831307767e+02, 1.005827476820906099e+03, 2.160536992424016773e+02, 2.559252329790255089e+02, 4.408699332195855618e+02, 1.978581982050936858e+02, 7.337073310560293748e+02, 6.939960979082127324e+01, 9.319391922505392358e+02
2.050000000000000000e+03, 1.242251250813873611e+02, 3.611037715774926369e+02, 6.129440680482272796e+01, 1.330749285633057298e+03, 3.148268980212277484e+02, 1.539226646518962411e+02, 1.005675315334457991e+03, 2.161853091096037076e+02, 2.562133227599055090e+02, 4.412415359760266256e+02, 1.979122185524131510e+02, 7.337619607795040793e+02, 6.961496675027827052e+01, 9.318961479628205780e+02
2.051000000000000000e+03, 1.242357527312305763e+02, 3.613662013760803688e+02, 6.128433075887739534e+01, 1.330666423036793958e+03, 3.148910816305058802e+02, 1.540557406414142463e+02, 1.005523725602547302e+03, 2.163200662059463184e+02, 2.563727529242368064e+02, 4.416140668276283918e+02, 1.979740106339222905e+02, 7.338306271763095765e+02, 6.981310162835499966e+01, 9.318313940536363589e+02
2.052000000000000000e+03, 1.242610557025718947e+02, 3.616430419042868607e+02, 6.126961277311113463e+01, 1.330619865483650301e+03, 3.150190160256127001e+02, 1.541008293389398602e+02, 1.005346592412510404e+03, 2.164508298728514148e+02, 2.565678304751572227e+02, 4.419569717663179063e+02, 1.980291121458136843e+02, 7.338820005904148047e+02, 7.000725023167483130e+01, 9.317434293212838838e+02
2.053000000000000000e+03, 1.242075234438620015e+02, 3.619534077242479384e+02, 6.123248233215991121e+01, 1.330633389001589421e+03, 3.151426623045909423e+02, 1.540867057654072596e+02, 1.005169113104177654e+03, 2.165915317761651124e+02, 2.568643423533411578e+02, 4.422753965868298565e+02, 1.980794287744618316e+02, 7.339149707989573699e+02, 7.021343503559423027e+01, 9.316892277246539606e+02
2.054000000000000000e+03, 1.242311824688564030e+02, 3.622517112856691597e+02, 6.123276812359399202e+01, 1.330647852774567809e+03, 3.152333493022024982e+02, 1.542339434360904704e+02, 1.004993203934012286e+03, 2.167291775895399439e+02, 2.572246321248884442e+02, 4.425887151925532521e+02, 1.981281134319362138e+02, 7.339639035296298744e+02, 7.040185051779202752e+01, 9.317099767744040264e+02
2.055000000000000000e+03, 1.242238635698812743e+02, 3.625687031152839381e+02, 6.122548531391186089e+01, 1.330591294941283877e+03, 3.152829500483657057e+02, 1.543896934751112724e+02, 1.004808145452050212e+03, 2.168679398703424113e+02, 2.574290429742192714e+02, 4.429136552079258422e+02, 1.981857666495889134e+02, 7.340236657217175207e+02, 7.057490929772228583e+01, 9.317156799649719687e+02
2.056000000000000000e+03, 1.241394220392272985e+02, 3.628956103202436339e+02, 6.121793407399019316e+01, 1.330484209935525087e+03, 3.152707049699241679e+02, 1.544926370359858083e+02, 1.004614162135623815e+03, 2.170046485355008770e+02, 2.577333942824857900e+02, 4.432334338753976226e+02, 1.982333164747906835e+02, 7.340742053654053052e+02, 7.076507262028350453e+01, 9.317132574433269383e+02
2.057000000000000000e+03, 1.240429686663299975e+02, 3.631828797811313621e+02, 6.121549016539327681e+01, 1.330418754605469076e+03, 3.151629212580965032e+02, 1.546606483118629285e+02, 1.004461940823081363e+03, 2.171700967156934325e+02, 2.578978769070236581e+02, 4.435484372797767492e+02, 1.982800380218830014e+02, 7.341171726686567354e+02, 7.094264655021299859e+01, 9.317366317737985355e+02
2.058000000000000000e+03, 1.239328561742808148e+02, 3.634490902462406439e+02, 6.122145201378275914e+01, 1.330374340731034636e+03, 3.150144131211548029e+02, 1.547553711155767644e+02, 1.004330449133834350e+03, 2.173122632665399863e+02, 2.579834164577960678e+02, 4.438921099684134219e+02, 1.983262500865393463e+02, 7.341702747233363198e+02, 7.110936791205580221e+01, 9.317376639990004605e+02
2.059000000000000000e+03, 1.238880047287950816e+02, 3.637270175522445470e+02, 6.120856129205956364e+01, 1.330334517048336011e+03, 3.149355839119476173e+02, 1.548838808199246273e+02, 1.004160064413043074e+03, 2.174832331787374073e+02, 2.580507994370312304e+02, 4.442338197839449663e+02, 1.983781230877499695e+02, 7.341771593179573756e+02, 7.130279520623571443e+01, 9.317251159529988627e+02
2.060000000000000000e+03, 1.238900410486867827e+02, 3.640718369416940732e+02, 6.116520805060383026e+01, 1.330263646551128659e+03, 3.149723866657311646e+02, 1.549619273836649427e+02, 1.003940665238411725e+03, 2.176707411458438912e+02, 2.580788856858275153e+02, 4.445952126307303729e+02, 1.984326875493447346e+02, 7.342006875747701997e+02, 7.149837811096760731e+01, 9.317169455243849825e+02
2.061000000000000000e+03, 1.238832500848281342e+02, 3.643623882210816873e+02, 6.114635549354108690e+01, 1.330180424444567734e+03, 3.150485366738836888e+02, 1.549524968490420065e+02, 1.003729734978251372e+03, 2.178574840285467076e+02, 2.582220299525229734e+02, 4.449365905254385325e+02, 1.984905556876801711e+02, 7.342370657697118759e+02, 7.167694729096919559e+01, 9.317076601478868270e+02
