year, IPSL-CM6A-LR, EC-Earth3-Veg, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM
2.071000000000000000e+03, 1.865085681250362726e-01, 1.527689431187070901e-03, 2.714429534512294412e-06, 1.047044721158279845e+00, 1.459152897647970784e-04, 4.072760552056526318e-01, 6.160244947303692431e-01, 4.108686837864751751e-01, 8.394957108224319065e-01
2.072000000000000000e+03, 1.877246304996727233e-01, 1.510100949717323778e-03, 2.856312312549850016e-06, 1.049367083626530528e+00, 1.714499840642619939e-04, 4.031870934330946676e-01, 6.185959533863130133e-01, 3.984600750198182828e-01, 8.393366408330332762e-01
2.073000000000000000e+03, 1.896101960892187244e-01, 1.507298528065917831e-03, 2.944576885781213031e-06, 1.053432562394134075e+00, 1.945854733365389312e-04, 3.988313323152070100e-01, 6.201824060077998357e-01, 3.843798085477969084e-01, 8.352416781574616422e-01
2.074000000000000000e+03, 1.884817241212530525e-01, 1.570359480694929512e-03, 2.995533333871923491e-06, 1.055875025375381915e+00, 2.150336426778329073e-04, 3.961474888639280878e-01, 6.235589474842038182e-01, 3.828562060715828275e-01, 8.372003519974555719e-01
2.075000000000000000e+03, 1.890277659227493912e-01, 1.553578585810915956e-03, 3.157589588256533227e-06, 1.055760347827163770e+00, 2.329431829846868060e-04, 3.933746548878312987e-01, 6.256282785773347177e-01, 3.809032237638532714e-01, 8.324706747920412875e-01
2.076000000000000000e+03, 1.891581124905493128e-01, 1.537150816798337014e-03, 3.601433303858740789e-06, 1.055080597433641465e+00, 3.032317808622235120e-04, 3.910274104166335807e-01, 6.241191215956115590e-01, 3.794079948476787867e-01, 8.269002396098248386e-01
2.077000000000000000e+03, 1.894302259930922272e-01, 1.514998213649324183e-03, 4.020832978144285805e-06, 1.054347015868308368e+00, 3.656565951894735094e-04, 3.885403947200457009e-01, 6.220628877925428180e-01, 3.775035243905833227e-01, 8.220585898136765213e-01
2.078000000000000000e+03, 1.893308122606955357e-01, 1.493259756036384141e-03, 4.300274136071722860e-06, 1.053411360296337307e+00, 4.293660945682899752e-04, 3.861588850672444395e-01, 6.197229194249170847e-01, 3.760521966190722432e-01, 8.173307912830771738e-01
2.079000000000000000e+03, 1.891754748706193368e-01, 1.468713478868599901e-03, 4.509759738741372218e-06, 1.052723400725180669e+00, 5.000884183251527162e-04, 3.837938682969260218e-01, 6.168386634609522856e-01, 3.742141038559184674e-01, 8.126461201869897844e-01
2.080000000000000000e+03, 1.887543095392193171e-01, 1.444499637871761617e-03, 4.906041689412006191e-06, 1.051475006839168946e+00, 5.586250084983954405e-04, 3.815411986063126371e-01, 6.135423048075034913e-01, 3.722780305175242277e-01, 8.081962278276647593e-01
