year, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, INM-CM4-8, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CanESM5, TaiESM1, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, IPSL-CM6A-LR, CNRM-ESM2-1
2.057000000000000000e+03, 2.168262826422222567e+00, 1.570876974432355855e+00, 1.993134163097558087e+00, 3.268353158473171316e+00, 3.095322618982140117e+00, 1.918367502278992109e+00, 1.919726241822374169e+00, 1.031073263111820459e+00, 1.514062806812786155e+00, 5.250139451973083737e+00, 1.688582926288168418e+00, 1.939674596070842583e+00, 7.672198307773268056e-01, 1.577984271639433445e+00, 1.703961037693941361e+00, 1.931224254923121775e+00
2.058000000000000000e+03, 2.014335048115991622e+00, 1.590974052134069838e+00, 2.281084707107031484e+00, 3.570878906028443822e+00, 2.849676838282387603e+00, 1.917314797592722053e+00, 1.672030737578298787e+00, 1.098458967288871380e+00, 1.746974671518026101e+00, 5.144433841991777889e+00, 1.621807720951311316e+00, 2.014126386975935379e+00, 7.780906548119236321e-01, 1.839568622524514030e+00, 1.545022818732758152e+00, 1.769797983189120183e+00
2.059000000000000000e+03, 1.906190074410220925e+00, 1.542381540975664045e+00, 2.357560846321500314e+00, 3.448631700383250731e+00, 3.076671265350486184e+00, 1.796256764030835562e+00, 1.568529820607446723e+00, 1.002303334457240069e+00, 1.746483699563492475e+00, 5.175575721100298843e+00, 1.793838912812194319e+00, 2.091633588764231000e+00, 7.936191214342952494e-01, 1.810371474434095296e+00, 1.686063484336129514e+00, 1.878907548704246588e+00
2.060000000000000000e+03, 2.155134818845179101e+00, 1.633557231057952031e+00, 2.213632550698954482e+00, 3.571486618604982066e+00, 3.000275525461511883e+00, 1.830216322138000118e+00, 1.836635196590558072e+00, 1.078751050338924822e+00, 1.617958732436979741e+00, 5.280275325587690638e+00, 2.005099752748564779e+00, 1.907796458895577807e+00, 7.814278260436022805e-01, 1.730534945869451002e+00, 1.684445103345138639e+00, 1.873570307232169885e+00
2.061000000000000000e+03, 2.275645253506676902e+00, 1.472357137585638576e+00, 2.073357233061142502e+00, 3.473075418008805038e+00, 2.899151799999772461e+00, 1.967763904205881209e+00, 1.728389266642818667e+00, 1.049406520614249549e+00, 1.765676053999390094e+00, 5.394859788660655298e+00, 1.709146558087728085e+00, 2.098242428699010453e+00, 8.115371751742831430e-01, 1.819021073247281128e+00, 2.046988114828057981e+00, 1.787853305790727765e+00
2.062000000000000000e+03, 2.255915261450488707e+00, 1.583925133450452272e+00, 2.004215377387331021e+00, 3.483883214409445372e+00, 2.895110188886590663e+00, 1.920313720975537430e+00, 1.951596753778297444e+00, 1.003313470364082249e+00, 1.828317323548927398e+00, 4.978203513664498203e+00, 1.402447077700257339e+00, 2.370012491277592392e+00, 8.009138279895379187e-01, 1.920488283604703250e+00, 2.004638422388033803e+00, 1.801814938292410684e+00
2.063000000000000000e+03, 2.101887192592654330e+00, 1.735891326263719225e+00, 2.302927121880451899e+00, 3.279340348708314590e+00, 2.863930605499811044e+00, 1.777864144031027660e+00, 1.877213254411606469e+00, 1.227498303363004473e+00, 1.751070513946034524e+00, 5.131654171892104266e+00, 1.753362085801948522e+00, 2.055131350055878325e+00, 8.017344761630489369e-01, 1.957285665735405411e+00, 1.855644781256853060e+00, 1.939195365702666596e+00
2.064000000000000000e+03, 2.178727996557731306e+00, 1.766238594469219159e+00, 2.703619001478424266e+00, 3.130025567685309706e+00, 3.060546698443640690e+00, 1.962847391815102371e+00, 1.920484926210108467e+00, 1.136312026369605821e+00, 1.568848901685196084e+00, 5.397627668946575419e+00, 2.088222622123064198e+00, 1.888697002878475306e+00, 7.542819821545353465e-01, 1.721312661920117559e+00, 2.121399706670625385e+00, 1.842608229639238759e+00
2.065000000000000000e+03, 2.338617716730736706e+00, 1.536075376941742787e+00, 2.436150506982037722e+00, 3.664889015696793262e+00, 3.252960191804658230e+00, 2.018891236092756003e+00, 2.006602968509946905e+00, 1.173892999664792880e+00, 1.631726599688545276e+00, 5.246568802476997639e+00, 1.861984806978862039e+00, 1.922951365387288503e+00, 8.056383300012691651e-01, 1.684051220731326071e+00, 1.803763583137817372e+00, 2.063935061917251179e+00
2.066000000000000000e+03, 2.253372536557338712e+00, 1.703994974855494338e+00, 2.230086874227012128e+00, 3.723790599173556259e+00, 3.044387575093838727e+00, 1.954678095970760143e+00, 1.864934614476441377e+00, 1.046101093413247751e+00, 1.551282152212378529e+00, 5.336646858915705671e+00, 1.345784871034703123e+00, 1.969672141929509790e+00, 8.608192318705967239e-01, 1.709379897685682659e+00, 1.824279202085432150e+00, 1.796286465739972860e+00
2.067000000000000000e+03, 2.089700692579563590e+00, 1.658475302075774538e+00, 2.226413213462925533e+00, 3.740461837532030653e+00, 3.083177215900070323e+00, 1.869010312101926585e+00, 1.826754915058441453e+00, 1.143888807510431205e+00, 1.717803131328955901e+00, 5.417336242327570162e+00, 1.869842884599391519e+00, 2.021886982203408234e+00, 8.712655368785101606e-01, 1.731006738679509160e+00, 1.718780892734570021e+00, 1.799523921772765434e+00
2.068000000000000000e+03, 2.177678276952996761e+00, 1.516513050761771453e+00, 2.454055588922333886e+00, 3.147960603049620776e+00, 2.928995595390196716e+00, 2.114377073070355273e+00, 1.955746186308076062e+00, 1.174250840226164883e+00, 1.964874360640064710e+00, 5.580429806364860745e+00, 2.248325219432923738e+00, 2.239984130268057871e+00, 7.888368026468577376e-01, 1.769730250245662662e+00, 2.164618131796866685e+00, 1.916270542597342530e+00
2.069000000000000000e+03, 2.389097899911784229e+00, 1.606475165655409043e+00, 2.027986296002416644e+00, 3.418451001925751687e+00, 3.154922152972128746e+00, 2.090481859783174912e+00, 1.905868784984093400e+00, 1.337783248528690683e+00, 1.717277529259965130e+00, 5.663583183372305818e+00, 1.400421973715205493e+00, 2.473909050733374748e+00, 8.207824333385619342e-01, 1.821243334144080128e+00, 1.917568565473023234e+00, 1.902821315791207724e+00
2.070000000000000000e+03, 2.270233198511514061e+00, 1.735871828497871139e+00, 2.207174546218543920e+00, 3.285945505713645076e+00, 3.036846629369941652e+00, 2.089516464931293616e+00, 1.888080417927101351e+00, 1.410195767856841975e+00, 1.890659630679627279e+00, 5.523320693172006024e+00, 1.728171735207648885e+00, 2.273595946442021898e+00, 8.454623391291292700e-01, 1.782608691986254934e+00, 1.741361887989930857e+00, 2.044136943550515007e+00
2.071000000000000000e+03, 2.137871901587503398e+00, 1.509966785494135433e+00, 2.419842590375724356e+00, 3.414874942058573559e+00, 3.001735498928248091e+00, 1.958164683636635983e+00, 2.037834298492080531e+00, 1.088768136152494348e+00, 2.118449975999827206e+00, 5.544260135437260928e+00, 1.732302535672071375e+00, 2.093989600393018957e+00, 9.385649247584469945e-01, 1.635351795241365647e+00, 2.293393446002172542e+00, 1.899813167014467341e+00
2.072000000000000000e+03, 2.400604947296284486e+00, 1.630301472623722381e+00, 2.364605744051293090e+00, 3.826402115435494800e+00, 3.055439845267250654e+00, 2.006660836510520518e+00, 2.041326388202251430e+00, 1.127991739753687606e+00, 1.761757824229164493e+00, 5.599679391271696893e+00, 1.701227393870457405e+00, 2.437770186328182209e+00, 8.447925475616975266e-01, 1.871733042742333097e+00, 1.895227517014373975e+00, 2.089324053706000051e+00
2.073000000000000000e+03, 2.217396553777484236e+00, 1.747867302524821254e+00, 2.262294266552420385e+00, 3.582511762035858638e+00, 3.097270954128326981e+00, 2.103430263170816161e+00, 1.979443237172574976e+00, 1.024314589071521731e+00, 2.040765201468115020e+00, 5.556851393529318450e+00, 1.926388265573882652e+00, 2.134899716894909538e+00, 7.759550213492800719e-01, 1.798421870174023773e+00, 1.951395051165945693e+00, 2.086681661200272764e+00
