year, TaiESM1, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, NorESM2-MM, TaiESM1, CNRM-ESM2-1
2.070000000000000000e+03, 1.864641998746344865e-10, 1.080098128394719657e-10, 1.079449383056131460e-10, 1.100955721657703579e-10, 1.150935557405943612e-10, 2.257397490343863031e-10, 8.523770152918058974e-10, 1.041597935202280225e-10, 1.381944956242878972e-10, 1.381944956242878972e-10, 1.864641998746344865e-10, 1.150935557405943612e-10
2.071000000000000000e+03, 1.130479272804634954e-10, 1.893254856753186580e-10, 7.829022762716918418e-11, 1.378481528012302640e-10, 1.487757800564796814e-10, 1.682553452257787579e-10, 5.682830051729286961e-10, 7.421890772469168009e-11, 2.399889346473116699e-10, 2.399889346473116699e-10, 1.130479272804634954e-10, 1.487757800564796814e-10
2.072000000000000000e+03, 2.183286770596029798e-10, 1.140232374480396891e-10, 8.601339947198194178e-11, 1.251699709247391871e-10, 1.014640109156354484e-10, 1.881313718686827427e-10, 8.833648358867161807e-10, 8.188507855627062869e-11, 1.188435288839149867e-10, 1.188435288839149867e-10, 2.183286770596029798e-10, 1.014640109156354484e-10
2.073000000000000000e+03, 1.226698070448721440e-10, 1.221179408882714557e-10, 9.829990955198587352e-11, 1.290641843982492625e-10, 1.287597962651842445e-10, 2.177641600210647780e-10, 6.503343846872483446e-10, 9.450891762571328473e-11, 1.415250036375518019e-10, 1.415250036375518019e-10, 1.226698070448721440e-10, 1.287597962651842445e-10
2.074000000000000000e+03, 8.097248616560532593e-11, 1.354950963132635442e-10, 9.193670659187384228e-11, 1.421900152744772078e-10, 1.091686718726837903e-10, 1.847592361008553552e-10, 1.146531586406735918e-09, 8.803599020370750680e-11, 1.376174239953856228e-10, 1.376174239953856228e-10, 8.097248616560532593e-11, 1.091686718726837903e-10
2.075000000000000000e+03, 1.634504881858499697e-10, 2.085065119523538428e-10, 9.563874850779676225e-11, 1.569294150125912653e-10, 1.452982885912628588e-10, 2.627938808452489725e-10, 5.927262002575990436e-10, 9.191772023704848901e-11, 1.250616082575506485e-10, 1.250616082575506485e-10, 1.634504881858499697e-10, 1.452982885912628588e-10
2.076000000000000000e+03, 1.675694236002878713e-10, 9.689144586467889544e-11, 7.451078243709513012e-11, 1.138786538348053209e-10, 1.956337442238170732e-10, 2.852067711711747593e-10, 6.834138172084935052e-10, 7.072270431326796693e-11, 1.592101466328713943e-10, 1.592101466328713943e-10, 1.675694236002878713e-10, 1.956337442238170732e-10
2.077000000000000000e+03, 1.380966674599569996e-10, 1.027789916175095191e-10, 1.109823626362752832e-10, 1.112657093146931402e-10, 9.116578175703401103e-11, 2.632916447067142887e-10, 5.924756043040674841e-10, 1.070084535780140302e-10, 1.561671283647158859e-10, 1.561671283647158859e-10, 1.380966674599569996e-10, 9.116578175703401103e-11
2.078000000000000000e+03, 1.296834015781130181e-10, 1.408447246951388974e-10, 1.102440351652947215e-10, 1.224408602448490525e-10, 2.344015662366140567e-10, 2.440394204022305503e-10, 1.591237180493015598e-09, 1.062052886194447690e-10, 1.154891709634296210e-10, 1.154891709634296210e-10, 1.296834015781130181e-10, 2.344015662366140567e-10
2.079000000000000000e+03, 2.040297645520945249e-10, 1.246000174119882044e-10, 9.802918418684747660e-11, 1.099661601425122231e-10, 9.220476490921384508e-11, 1.933824376816074876e-10, 1.309634218967007479e-09, 9.408379310060648686e-11, 2.092262574399703774e-10, 2.092262574399703774e-10, 2.040297645520945249e-10, 9.220476490921384508e-11
2.080000000000000000e+03, 2.195156659562543731e-10, 1.714312335106256786e-10, 9.465337072517404136e-11, 1.325961743664275062e-10, 2.045292405539369206e-10, 2.867248753722272135e-10, 7.512903821053636025e-10, 9.076288831326534870e-11, 1.260533365320497370e-10, 1.260533365320497370e-10, 2.195156659562543731e-10, 2.045292405539369206e-10
2.081000000000000000e+03, 1.335134699397181653e-10, 1.123345282402923406e-10, 1.325354633267447560e-10, 1.437052735885821668e-10, 9.149501071445711329e-11, 5.404643994063044221e-10, 6.339840706560897298e-10, 1.286265363436737857e-10, 1.681135335083530920e-10, 1.681135335083530920e-10, 1.335134699397181653e-10, 9.149501071445711329e-11
2.082000000000000000e+03, 1.769525878596625679e-10, 2.224250166700666442e-10, 1.523978582688006146e-10, 1.268775689984898699e-10, 1.780114119594899946e-10, 2.838039154750623981e-10, 5.066664374588906441e-10, 1.484775217742614980e-10, 2.367696034988698976e-10, 2.367696034988698976e-10, 1.769525878596625679e-10, 1.780114119594899946e-10
2.083000000000000000e+03, 2.027435562997066905e-10, 1.720201859706208016e-10, 1.052057463595887936e-10, 1.352550855458589998e-10, 1.549986687803523813e-10, 5.124337410894163785e-10, 8.839556601947413922e-10, 1.014818427313064876e-10, 1.419753993291394023e-10, 1.419753993291394023e-10, 2.027435562997066905e-10, 1.549986687803523813e-10
2.084000000000000000e+03, 9.056027434503060290e-11, 1.396967353369244173e-10, 1.664899807150660514e-10, 1.346354910331102317e-10, 1.290341913482358664e-10, 5.339654893170883068e-10, 2.053692595843506106e-09, 1.626637703416484201e-10, 1.189422716182776263e-10, 1.189422716182776263e-10, 9.056027434503060290e-11, 1.290341913482358664e-10
2.085000000000000000e+03, 1.722248560846770958e-10, 1.137268225836157353e-10, 1.251814088672970494e-10, 1.425094004686066286e-10, 1.383338023927881223e-10, 5.591916486054127971e-10, 9.315568910342762783e-10, 1.212037290560192879e-10, 1.653066815227274427e-10, 1.653066815227274427e-10, 1.722248560846770958e-10, 1.383338023927881223e-10
2.086000000000000000e+03, 1.642052960708931715e-10, 1.780920103560826544e-10, 1.641099016226233225e-10, 1.478556261341560443e-10, 1.973535661145581551e-10, 1.422916477696909733e-10, 1.137106669885339396e-09, 1.601127656788310851e-10, 1.281227612607639611e-10, 1.281227612607639611e-10, 1.642052960708931715e-10, 1.973535661145581551e-10
2.087000000000000000e+03, 1.731119175524667955e-10, 2.176794607273594450e-10, 1.486046409788459607e-10, 1.394086598644504706e-10, 1.048543136061841063e-10, 1.500510612288506575e-10, 8.698787034574100244e-10, 1.446246845999919708e-10, 1.624421965033105140e-10, 1.624421965033105140e-10, 1.731119175524667955e-10, 1.048543136061841063e-10
2.088000000000000000e+03, 1.422499598032016116e-10, 1.428475354166425334e-10, 1.276810353895200243e-10, 1.457555254852722702e-10, 1.259185407580994254e-10, 2.772941685528262665e-10, 1.736286039608574978e-09, 1.238858666587286182e-10, 1.561927736660733560e-10, 1.561927736660733560e-10, 1.422499598032016116e-10, 1.259185407580994254e-10
