year, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5
2.074000000000000000e+03, 5.905749753164297733e-01, 3.360042064062639805e-02, 3.607867462870787412e-01, 1.253527006966184354e+00, 9.621191100494265180e-01, 8.340960331429616735e-04, 9.970734055979198901e-03, 1.940038085465978224e-01, 3.209382807075659150e-01
2.075000000000000000e+03, 5.823164931410060863e-01, 3.356485902280602340e-02, 3.606336631117761371e-01, 1.258110793384118908e+00, 9.717116338153476418e-01, 8.231157280365089231e-04, 9.767390798796477674e-03, 1.935143739143937724e-01, 3.183532485059160089e-01
2.076000000000000000e+03, 5.791757366303285082e-01, 3.350644218125451573e-02, 3.601696387274545552e-01, 1.255297307085474268e+00, 9.825145844926854721e-01, 8.169170233692559782e-04, 1.060967351394622067e-02, 1.937734768712094102e-01, 3.281289671826131404e-01
2.077000000000000000e+03, 5.807124368491500821e-01, 3.345532008080046721e-02, 3.599538849262287066e-01, 1.253676113619778931e+00, 9.960251526700270031e-01, 8.097039205960232912e-04, 1.128045879275827758e-02, 1.938215870217224190e-01, 3.236967270363294014e-01
2.078000000000000000e+03, 5.787950790336329199e-01, 3.349003193489741986e-02, 3.603332120525221671e-01, 1.256617656279839901e+00, 1.007524871331911376e+00, 7.972797427938034835e-04, 1.186964274858342584e-02, 1.940897266338649785e-01, 3.206459368913043284e-01
2.079000000000000000e+03, 5.773833509989040325e-01, 3.367043142769131359e-02, 3.607592802963046630e-01, 1.260006616643866151e+00, 1.008332622031383741e+00, 7.821594018909291089e-04, 1.229527014202752740e-02, 1.934348228597445596e-01, 3.179055339437327765e-01
2.080000000000000000e+03, 5.741458441475425500e-01, 3.381951023831632208e-02, 3.612993663902800412e-01, 1.266571020120893287e+00, 1.007477377684427688e+00, 7.694829635658385989e-04, 1.263271972660747963e-02, 1.931075991619627397e-01, 3.153117921810142943e-01
2.081000000000000000e+03, 5.723041977914619105e-01, 3.387195114561435821e-02, 3.632325808084659324e-01, 1.271850779978707990e+00, 1.012265906077668642e+00, 7.739260353783276305e-04, 1.358903139144699256e-02, 1.928791678181002722e-01, 3.295960706092695425e-01
2.082000000000000000e+03, 5.800782723024522358e-01, 3.405354338207020048e-02, 3.671223689812951330e-01, 1.274877382614929111e+00, 1.014292667578173823e+00, 7.821666200035840011e-04, 1.440685227285793193e-02, 1.932732770393593147e-01, 3.292286957633692168e-01
2.083000000000000000e+03, 5.727280170031692208e-01, 3.421013349975900869e-02, 3.715111549254556111e-01, 1.275431214829868543e+00, 1.006388355886853603e+00, 7.750194669629485071e-04, 1.506237841636206241e-02, 1.928920302948598786e-01, 3.293957618844618462e-01
