year, GFDL-ESM4, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, CESM2-WACCM, EC-Earth3-Veg, CanESM5, INM-CM5-0, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, MPI-ESM1-2-LR, UKESM1-0-LL, TaiESM1
2.063000000000000000e+03, 1.377554044997413518e+00, 6.501129753119862187e+00, 4.633509347798173472e+00, 2.491551416633766891e+00, 3.766179187405373163e+00, 3.187553189764258832e+00, 3.797296438605192836e+00, 5.874090850041550738e+00, 8.213052161779708982e+00, 5.737463859182769355e+00, 3.293404731025380450e+00, 3.800712783563176433e+00, 5.361528748771836383e+00, 6.862179367611128455e+00, 3.286731999819690664e+00, 4.551625994723528912e+00
2.064000000000000000e+03, 1.304165897089593296e+00, 6.251243370332774774e+00, 4.425259295644953461e+00, 2.373908757311929740e+00, 3.340527784060744132e+00, 3.311677539212537269e+00, 3.899033099000602132e+00, 5.903145262709099228e+00, 8.547178770421695049e+00, 6.059094412397423746e+00, 3.551634788795158926e+00, 4.267083934421339819e+00, 5.123190829470276597e+00, 8.289160986884937188e+00, 2.949080672786432711e+00, 5.360634935395317768e+00
2.065000000000000000e+03, 1.370848887375969882e+00, 7.103741669092218380e+00, 4.196851138805863357e+00, 2.446755293626445837e+00, 3.233424272729454430e+00, 2.960377142670526762e+00, 4.099708978877459664e+00, 6.198606655649643749e+00, 8.393019149555192016e+00, 6.352401780402694875e+00, 3.621360473516969769e+00, 3.760865799182282032e+00, 5.786087772482214397e+00, 7.719902494765453760e+00, 3.094099602370171898e+00, 5.986367593636919615e+00
2.066000000000000000e+03, 1.478548832021564285e+00, 7.261209327555041781e+00, 4.089315303553842540e+00, 2.232183719752571793e+00, 3.133190788268133797e+00, 3.149035028986924445e+00, 3.890146583364482602e+00, 6.120656649364978996e+00, 8.431668092689216465e+00, 6.069202098440540816e+00, 3.539355174842056861e+00, 3.768750659759481092e+00, 5.085930663960859022e+00, 7.160528524411555296e+00, 2.920079524678838467e+00, 4.643940603859534555e+00
2.067000000000000000e+03, 1.486636882958834338e+00, 7.294575292603491690e+00, 4.069997967401712380e+00, 2.384239155973034041e+00, 3.256889301773437495e+00, 3.082006071391100832e+00, 3.727764556779246785e+00, 5.925216746964203196e+00, 8.647781275193137773e+00, 6.147669509457759141e+00, 3.449800812631321101e+00, 3.578399338388037254e+00, 5.127640342256348127e+00, 6.911438787583206178e+00, 3.222267027290328212e+00, 4.480922593509835572e+00
2.068000000000000000e+03, 1.348345248920420181e+00, 6.329904264306777328e+00, 4.475176823014549221e+00, 2.448375844158865000e+00, 3.338778861198422820e+00, 2.886176957003850241e+00, 3.963376458959919635e+00, 5.993964445959837128e+00, 8.835921785077422541e+00, 5.828204965293876327e+00, 3.789347125678827588e+00, 4.358206531218443480e+00, 5.338383828837000245e+00, 7.503688120831069952e+00, 3.627627566511626878e+00, 5.613832590173370996e+00
2.069000000000000000e+03, 1.403306534097277458e+00, 6.715961504301517060e+00, 5.120732617683423804e+00, 2.714602253025478529e+00, 3.417697347054556190e+00, 2.999704700705656535e+00, 3.829934866597718646e+00, 6.358911038270771421e+00, 8.915624325716208887e+00, 6.202945808115296167e+00, 3.757200365280008558e+00, 3.912927361599984000e+00, 5.358821499533756416e+00, 6.603320182478075395e+00, 3.268504548904508589e+00, 4.838287551009123888e+00
2.070000000000000000e+03, 1.436582896694893474e+00, 6.508755961256945888e+00, 5.373696332015129862e+00, 2.848237255743097052e+00, 3.379232696047494766e+00, 3.190034998066073602e+00, 3.780187369759960170e+00, 6.113021706843397851e+00, 8.789325541394298114e+00, 6.078482644774052979e+00, 3.766948712516132503e+00, 3.621751539648628171e+00, 5.977215973037158570e+00, 6.712553553259259509e+00, 3.529506673368230985e+00, 4.630717649530924795e+00
2.071000000000000000e+03, 1.594643274672581379e+00, 6.801171561070207261e+00, 5.087961625671457710e+00, 2.370917077474969936e+00, 3.117611288738073583e+00, 2.858901870578609561e+00, 4.050137494184927967e+00, 5.817799304092491575e+00, 8.795356351285757768e+00, 6.007214140335304542e+00, 3.610361051472133376e+00, 4.571785356389023391e+00, 5.521090702077899870e+00, 7.604033749100230111e+00, 3.958467508931781342e+00, 4.809851181785171903e+00
2.072000000000000000e+03, 1.450155937092712177e+00, 7.438918276369179239e+00, 5.612934946135197833e+00, 2.393994147268012185e+00, 3.439209966348303116e+00, 3.003541383373270257e+00, 4.085336207116506024e+00, 6.289545578191385822e+00, 8.889296031746491522e+00, 6.044056978943347147e+00, 3.660873305895663510e+00, 3.928145210069818205e+00, 5.844008357403236431e+00, 7.362458180114707318e+00, 3.335649279364253594e+00, 4.556855151216186783e+00
