year, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CMCC-ESM2, CanESM5, CESM2-WACCM, GFDL-ESM4, MPI-ESM1-2-LR
1.939000000000000000e+03, 1.067373607985072772e-09, -6.341657478845741773e-10, -2.030057803667848073e-10, -1.095017971350072149e-09, -2.035986350707647836e-09, -4.232959305975109599e-10, -5.523324906846683888e-11, 1.291611233814307440e-10
1.940000000000000000e+03, -3.067686580447666060e-10, -2.453855639151627184e-10, 7.341541228624958810e-10, 1.219131754324943039e-09, -7.497299385231442862e-10, 1.450030822379240523e-10, -2.418808305835330867e-10, -3.328564820312951374e-10
1.941000000000000000e+03, 3.188728864235864012e-10, 3.591176323974292388e-10, 2.489680333286774403e-10, 7.186607736424852730e-10, 4.258013238915084975e-11, 4.639015559627004248e-11, 3.197384965349101823e-10, 2.139737091237076791e-10
1.942000000000000000e+03, -1.612352551447137857e-10, 2.300579052749339015e-10, 6.364426690359595164e-11, -1.220221728228077182e-09, -2.660736180241229129e-10, 4.531046081842851795e-10, -1.340305945920726392e-09, 9.098356545222451011e-10
1.943000000000000000e+03, -3.108321532680408430e-10, 1.200748656929950529e-10, 6.552668156839096534e-10, 1.068210758629635366e-09, -5.046463445902816877e-10, 9.340553401015153289e-11, -1.898231774023528400e-10, -6.620600797440329212e-10
1.944000000000000000e+03, 5.823162814856655812e-10, 3.280090232494651082e-10, 3.847701358398977261e-10, 7.864306831174114690e-10, -6.590861591427131171e-10, 4.885428626334836429e-11, -1.172021811249838679e-10, 4.809586792948378075e-10
1.945000000000000000e+03, 4.999606277162137952e-10, 3.812376405180704050e-10, 3.952908063681287564e-11, 2.537133684614877613e-10, -3.271402950939780991e-10, -1.457831234678230713e-10, 6.263477512037869441e-11, 1.495455189301332184e-10
1.946000000000000000e+03, 7.385376242946116793e-12, 1.162236520876391415e-10, 1.808525242592438945e-10, -6.448891748462858321e-10, -8.081310333340077254e-10, -3.632516355033346008e-10, -3.175359512652335166e-10, -2.314740616302730222e-10
1.947000000000000000e+03, 1.113323078859299435e-09, -1.850854882401245061e-11, 9.384751175621031327e-10, -5.789942292937187693e-10, -1.106324194326031987e-09, 2.441386743502787230e-10, -2.676791993632356442e-10, -3.903281284037292693e-10
1.948000000000000000e+03, -7.722584942557716389e-10, 3.673266727709686795e-10, 8.227166546872672231e-10, 4.577407790222496896e-10, -8.182821748898791115e-11, 1.601264239803808503e-10, 7.020082576272056505e-11, -2.053966676159351806e-10
1.949000000000000000e+03, -1.466936347205964296e-10, 5.415132514220250367e-10, 2.267150051357401047e-10, 1.408935202533553731e-09, -3.845460039969914146e-10, -7.939074400136847440e-10, -4.372911363680398282e-10, -1.016166759441727671e-10
1.950000000000000000e+03, 9.929312061912532966e-10, 2.974187026091940475e-10, 5.701987103220194458e-10, -8.128717878344114999e-10, 1.802798521764463248e-10, -1.241523037692948208e-10, 5.903892496590850937e-10, 8.351878111687084457e-10
1.951000000000000000e+03, 6.253743876213307851e-10, -3.608332683110877220e-10, 2.295363546520804018e-10, -1.113581798204347537e-10, -1.361171503064304876e-09, 3.693384642882101267e-10, -5.647640888032879701e-10, 3.520435913150747159e-10
1.952000000000000000e+03, 6.975988144648078828e-10, 3.369331151400614412e-10, 6.120789335898011985e-11, -3.238609468614304105e-10, 5.639835437081377778e-10, 1.915515085654633987e-10, -7.540564174345314735e-13, 1.120903509217424842e-10
1.953000000000000000e+03, -7.528294035859454562e-11, 8.909246531040163873e-11, 1.185253574246752810e-10, -9.435662980951609777e-10, -9.543372829624552533e-10, 1.816075024876739971e-10, -2.065334916458764667e-10, -4.899756115375716814e-10
1.954000000000000000e+03, 6.505096250259246105e-10, -4.771662695393822502e-10, 8.914880044064773546e-11, 1.650903339448603416e-09, -5.753334040066179029e-10, 2.337858074608679088e-10, -1.154491624128501027e-09, -7.007983976761137270e-10
1.955000000000000000e+03, 9.555238399735872376e-11, 5.375884948496662491e-10, 1.675577212851334686e-09, 2.873538849291000574e-10, -1.150064556153855103e-09, -4.642832019150436899e-10, -3.639761400704897348e-10, 1.058893782915154191e-09
1.956000000000000000e+03, -1.849231659466683298e-10, -5.675316398536564149e-10, 1.952714492351967216e-09, 4.252134632036014217e-10, -1.233963944374452978e-09, 9.348692680715799348e-10, -2.713217077702655035e-10, 1.037791414707217341e-09
1.957000000000000000e+03, 6.574600398923238261e-10, 4.730743069979109935e-10, 1.414004504978926939e-09, -1.450018519259074625e-09, -4.128131847918217143e-10, -3.751881805044958352e-10, 1.041030480136109173e-10, -7.529356553290046447e-10
1.958000000000000000e+03, 5.632869808428918895e-10, -6.373293089960599510e-11, 1.069797977452626439e-09, 6.741651603608745070e-10, 1.082367001263244931e-09, 8.576258343888275962e-10, -8.172219649709915643e-11, -6.980683805635704248e-10
1.959000000000000000e+03, -6.677254934387417993e-10, -2.941422377310289803e-11, 6.041785409949012901e-10, -1.413991450972572744e-09, -1.386688216929137706e-09, 1.986538297368986184e-11, -1.958418037826495829e-10, 2.824819665381473187e-10
1.960000000000000000e+03, 5.084442034374626164e-10, -2.301456660512613071e-10, 1.235154376683342499e-09, -3.369994173064692721e-10, -1.959142730189195935e-09, 5.465186200802337616e-11, -1.278608926682114749e-10, -8.316557569702406269e-10
1.961000000000000000e+03, 5.500194938950255164e-10, -1.572381023434491847e-10, 1.481432351235372372e-09, 5.036930363825647930e-10, -1.488398783187226878e-09, 5.200325500798189983e-10, -6.271210277591495631e-10, 5.626532864832851460e-10
1.962000000000000000e+03, 9.995440726898366471e-10, 3.912859953281902106e-10, 1.741360112844855430e-09, 1.682199336922400497e-09, 5.120785938612546759e-10, -3.393826045810718907e-10, 1.316349691126757847e-10, 3.145548349925996753e-10
1.963000000000000000e+03, 2.850080475864647957e-10, -6.597928458845968842e-11, 1.905457191365875625e-09, -1.150602614304343047e-10, -8.167500054287291785e-10, 3.536508940717482768e-10, 6.390042295327782651e-11, 3.993497655135378767e-10
1.964000000000000000e+03, -6.991310295458200255e-10, 3.459499138862346648e-10, 1.824276530746205505e-09, -9.898592280396944600e-10, -5.007424515269811235e-10, 4.439159676432524105e-10, -1.168678586056793227e-10, -8.782590371605609846e-10
1.965000000000000000e+03, 4.656055528220060029e-10, 8.750627710994829741e-11, 1.380443913713737052e-09, -6.704297989862297423e-10, -3.255364663184078318e-10, 7.503420312667445574e-10, 1.312767415992139369e-10, -5.248554886255866326e-10
