year, CanESM5, CESM2-WACCM, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, TaiESM1
1.905000000000000000e+03, 8.218350542557049110e+00, 1.573474688034111946e+00, 1.585291617037653644e+01, 1.718565388517998471e+01, 5.096420367985408539e+00, 1.402585602786265095e+00, 4.906742199252355441e+00, 3.418108317696713527e+00, 1.125744157852772354e+01, 2.053932610947140525e+00, 1.557192431211429362e+00, 2.723138693271121458e+00, 3.056620274541934634e-01
1.906000000000000000e+03, 8.309122749001797814e+00, 1.574227185459667222e+00, 1.600029636538059563e+01, 1.714557397225512858e+01, 5.102600543960712720e+00, 1.428994151290897685e+00, 4.918508650208523569e+00, 3.425710985403910946e+00, 1.133039873189793845e+01, 2.100034111260469238e+00, 1.564055765656598540e+00, 2.540687373773216962e+00, 3.382980206032255022e-01
1.907000000000000000e+03, 8.268985829399925436e+00, 1.529693939583232298e+00, 1.605173463081125007e+01, 1.712891635859803330e+01, 5.075450282783505962e+00, 1.428504294301098154e+00, 4.931834893635983263e+00, 3.405726052862717346e+00, 1.135382430071635440e+01, 2.126241701814319818e+00, 1.580000008768755126e+00, 2.440173595672633144e+00, 3.157972966274897320e-01
1.908000000000000000e+03, 8.316674725350578612e+00, 1.528709263001143182e+00, 1.608123309370773413e+01, 1.707338128706133418e+01, 5.044511600301701648e+00, 1.391112057513903988e+00, 4.946484207281584666e+00, 3.407254615622266058e+00, 1.136116994241492151e+01, 2.017040159436366054e+00, 1.599506543731848529e+00, 2.787178913889361453e+00, 4.792748358177709722e-01
1.909000000000000000e+03, 8.410139965758473224e+00, 1.550121993533963183e+00, 1.606690351890653190e+01, 1.698621932995392569e+01, 4.982379400744521014e+00, 1.358496494951676459e+00, 4.899171084585153935e+00, 3.373185208967362847e+00, 1.140518216128460693e+01, 1.996208567631223785e+00, 1.565995755913009546e+00, 2.576283892354135130e+00, 3.529828604078717458e-01
1.910000000000000000e+03, 8.262146698619424967e+00, 1.548583470000217455e+00, 1.614117854209926861e+01, 1.703025832537139195e+01, 4.945432823740462780e+00, 1.366385644924623444e+00, 4.941070003698213142e+00, 3.276899917978710164e+00, 1.143891114108111928e+01, 2.050973271380764462e+00, 1.527552876703341944e+00, 2.353457569194794541e+00, 3.478702931597369985e-01
1.911000000000000000e+03, 8.045699823170265219e+00, 1.555328766674361818e+00, 1.609793325332789138e+01, 1.695699880465403098e+01, 4.905888911181112810e+00, 1.399003411783460882e+00, 4.910718154476520603e+00, 3.228407836488487170e+00, 1.139097140528808616e+01, 2.092407809358371118e+00, 1.570713868209142605e+00, 2.317183474684649802e+00, 2.533483169307222949e-01
1.912000000000000000e+03, 7.811157343220882510e+00, 1.575577261122377060e+00, 1.621414165360879167e+01, 1.689819279319263146e+01, 4.857614953171517591e+00, 1.408517699614546537e+00, 4.925055599397033745e+00, 3.176424637070543788e+00, 1.140623908426324817e+01, 2.079766585371317422e+00, 1.561645459187139151e+00, 2.497828612327193998e+00, 3.302497085126089860e-01
1.913000000000000000e+03, 7.695608350248867247e+00, 1.541063433492788848e+00, 1.627159883805891738e+01, 1.695330604876193092e+01, 4.870093195913947071e+00, 1.423960025566842980e+00, 4.937438392569169388e+00, 3.188130997169518643e+00, 1.140438188628627003e+01, 2.080308461076888715e+00, 1.538171937577308857e+00, 2.589212209644858653e+00, 4.067444780012796635e-01
1.914000000000000000e+03, 7.982627761838477554e+00, 1.555712325994409007e+00, 1.634281622898049235e+01, 1.692257465989874632e+01, 4.845111121994679415e+00, 1.431998556982762905e+00, 4.988091362907500326e+00, 3.207500508435109587e+00, 1.138677262616896968e+01, 2.034889912972872583e+00, 1.530463163571834428e+00, 2.490331144816833042e+00, 4.086579040289946008e-01
