year, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM
1.890000000000000000e+03, 2.829699070406036654e+01, 6.178522794009976593e+01, 3.534108331779134460e+01, 7.812600548584644855e+01, 1.824534129868969217e+02, 3.828149468639156083e+01, 3.721060880208427335e+01, 5.045009215920277512e+01, 1.472754863902229872e+01, 1.376080283191026510e+01, 5.945106773902038100e+01, 8.808522596290012530e+01, 1.039967568964267173e+02, 3.657784447661121874e+01
1.891000000000000000e+03, 2.829272428556715724e+01, 6.176236199262410054e+01, 3.536597266739742906e+01, 7.810375336347898667e+01, 1.823953726123162085e+02, 3.829376060085510858e+01, 3.721317442633078088e+01, 5.044801016485459400e+01, 1.467594049196671513e+01, 1.372628614531978641e+01, 5.942180508660231908e+01, 8.808963210250112752e+01, 1.040096376721958364e+02, 3.658519054395021897e+01
1.892000000000000000e+03, 2.829070298051725985e+01, 6.176085800768935741e+01, 3.535849150824565612e+01, 7.809026762262746502e+01, 1.823960008357741458e+02, 3.829620735804767406e+01, 3.719266191425958823e+01, 5.044568994967689690e+01, 1.462609709287957571e+01, 1.368649007746547319e+01, 5.940469642491096636e+01, 8.815521921341762379e+01, 1.040571266309211751e+02, 3.658330493403544637e+01
1.893000000000000000e+03, 2.829682626648482113e+01, 6.174589224612135752e+01, 3.535735385489823557e+01, 7.806958442485746730e+01, 1.823257971642132418e+02, 3.831849567820545133e+01, 3.720012053560262899e+01, 5.048243488425904246e+01, 1.463885821348464233e+01, 1.365500499669821544e+01, 5.938559924913481325e+01, 8.823921279177032773e+01, 1.040452782429833292e+02, 3.658421966142128667e+01
1.894000000000000000e+03, 2.829430723909198520e+01, 6.176337228083915676e+01, 3.539728392216040476e+01, 7.803380090231436839e+01, 1.822796171292998508e+02, 3.833948601924618771e+01, 3.721274321121190809e+01, 5.051649099608499682e+01, 1.469411205016923461e+01, 1.361085686159771235e+01, 5.935365927170164468e+01, 8.830562232049609861e+01, 1.040396970341000014e+02, 3.659752167036128156e+01
1.895000000000000000e+03, 2.829390929757067497e+01, 6.177206239928117526e+01, 3.543158923073721667e+01, 7.800611089912490570e+01, 1.822788481267293150e+02, 3.833017388595886388e+01, 3.723497750363562631e+01, 5.052398384439955947e+01, 1.466741142717044077e+01, 1.357305415956002115e+01, 5.929294596089766856e+01, 8.837023593990178938e+01, 1.040449250882862202e+02, 3.659628912221984365e+01
1.896000000000000000e+03, 2.829827651167467550e+01, 6.173637818645674002e+01, 3.537999348546824763e+01, 7.798214573230463031e+01, 1.821946522731414575e+02, 3.832035661722711950e+01, 3.725087288702520283e+01, 5.053251928976776952e+01, 1.466508411872230155e+01, 1.353080441577228754e+01, 5.925967271954895210e+01, 8.843660785958535087e+01, 1.040278871484237300e+02, 3.658589324032189438e+01
1.897000000000000000e+03, 2.829406878418506466e+01, 6.171685641908462117e+01, 3.539584082599044024e+01, 7.794509033284624877e+01, 1.820796687412646406e+02, 3.832716956823660581e+01, 3.725174166443550661e+01, 5.056674176108575125e+01, 1.469590138303085602e+01, 1.349844553914372014e+01, 5.924288328449963359e+01, 8.849862675615635510e+01, 1.039886227742488245e+02, 3.660974247473750154e+01
1.898000000000000000e+03, 2.827069619129684241e+01, 6.174323560769845898e+01, 3.533677557990967699e+01, 7.791842543576254343e+01, 1.819881812225480928e+02, 3.833701623253176649e+01, 3.725537593654303237e+01, 5.061303900416397994e+01, 1.466406879238714467e+01, 1.347729835044373381e+01, 5.921930917393255811e+01, 8.856417005153846844e+01, 1.040955269910039931e+02, 3.663957282737960952e+01
1.899000000000000000e+03, 2.824991802783744532e+01, 6.174843608943305640e+01, 3.533792340480270866e+01, 7.789190679840091036e+01, 1.820109253792919901e+02, 3.834621108138392032e+01, 3.726424875758127797e+01, 5.065083991890408299e+01, 1.466095870884177010e+01, 1.344964952426406768e+01, 5.919375971133557357e+01, 8.857269045592289558e+01, 1.041205528738023816e+02, 3.664821302619772325e+01
