year, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL
1.920000000000000000e+03, 1.438661144298626017e-09, 9.999123167847029562e-10, 2.537340285917877943e-10, 3.727485923835238875e-11, 2.385792572261572553e-09, 3.298151230838850714e-10, 2.444005235369855708e-10, 1.251978999703010463e-09
1.921000000000000000e+03, 1.513659241600196661e-09, 1.018124862042522277e-09, 2.457119205725171836e-10, 3.569910490876447016e-11, 2.523662741211318485e-09, 2.963309351482392212e-10, 2.348539571109948154e-10, 1.125948055913643057e-09
1.922000000000000000e+03, 1.449065245071262908e-09, 1.081029786166266670e-09, 2.340888769881222623e-10, 3.483523318972740616e-11, 2.396137132327076813e-09, 2.836589062273306949e-10, 2.318099387213430359e-10, 1.161628587268575765e-09
1.923000000000000000e+03, 1.466804684947306554e-09, 1.075546721898318648e-09, 2.164915309849515477e-10, 3.413860603150875810e-11, 2.213692473850277262e-09, 3.376998594043982976e-10, 2.268750416338412027e-10, 1.276204739237371135e-09
1.924000000000000000e+03, 1.481219605175393079e-09, 1.044374067707225863e-09, 2.162603386140237291e-10, 3.434097387086792451e-11, 2.318167462040970064e-09, 3.521804995313586236e-10, 2.274883953737339706e-10, 1.160203869513719810e-09
1.925000000000000000e+03, 1.436966432231485212e-09, 9.986270595584638387e-10, 2.133845664833487769e-10, 3.485055579662322789e-11, 2.214155624502587744e-09, 3.458860628983507628e-10, 2.277695661058447392e-10, 1.120896745514517097e-09
1.926000000000000000e+03, 1.407545087080473277e-09, 1.030536226328248656e-09, 2.067652784319399657e-10, 3.505060294989690474e-11, 2.304017227092297541e-09, 4.225998200443312903e-10, 2.208723872386047426e-10, 1.110520281939138224e-09
1.927000000000000000e+03, 1.385319740943323604e-09, 1.054223766684080404e-09, 2.066939344967077878e-10, 3.547405688319915460e-11, 2.289799588595253890e-09, 3.992552438357436380e-10, 2.200534376248638594e-10, 1.029583068312873843e-09
1.928000000000000000e+03, 1.384538323237823373e-09, 1.067912835107831679e-09, 2.056864178511622933e-10, 3.637758775118847094e-11, 2.487045914815810152e-09, 3.569315116239436045e-10, 2.201332329636265860e-10, 9.607849860215085430e-10
1.929000000000000000e+03, 1.404619710184809732e-09, 9.682709400077993381e-10, 2.106401361806230649e-10, 3.790183933897462272e-11, 2.626619484471753212e-09, 4.249543670885169180e-10, 2.273510610314263563e-10, 1.075567040570565081e-09
1.930000000000000000e+03, 1.449299010235087919e-09, 1.006360071922924362e-09, 2.171473456477857978e-10, 3.945961941075488468e-11, 2.510571013327612461e-09, 4.393915486917270563e-10, 2.282679642529746738e-10, 1.223310805808569830e-09
1.931000000000000000e+03, 1.492665164524688625e-09, 1.064182705805790646e-09, 2.175621377696172256e-10, 4.065954974052607932e-11, 2.297397715610619148e-09, 4.315969275328404675e-10, 2.259238166439889671e-10, 1.094197467115330973e-09
1.932000000000000000e+03, 1.454194555103270444e-09, 9.854839583533481536e-10, 2.170132535084410062e-10, 4.202690828186092894e-11, 2.343062869999458339e-09, 3.684065729300472258e-10, 2.231489286748918809e-10, 1.174535220364207175e-09
1.933000000000000000e+03, 1.476880526069411494e-09, 1.082440944181177229e-09, 2.168028722695576314e-10, 4.297918280074454963e-11, 2.564207544017845758e-09, 3.235981345975837812e-10, 2.221469690501335089e-10, 1.299126229900431647e-09
1.934000000000000000e+03, 1.512127330246804769e-09, 1.131546811216991485e-09, 2.172223813278435734e-10, 4.372295296790867887e-11, 2.310015706934636121e-09, 3.913260511947903932e-10, 2.212537001521155955e-10, 1.383562114831542124e-09
1.935000000000000000e+03, 1.520162015436838871e-09, 1.023134277865231095e-09, 2.174392567664284466e-10, 4.419144328623676237e-11, 2.556997754925557662e-09, 4.539223679799747246e-10, 2.206187491711838950e-10, 1.210418355875581283e-09
1.936000000000000000e+03, 1.523688671196276055e-09, 9.749994543461352280e-10, 2.175838714213402956e-10, 4.447156683100625363e-11, 2.542559365263981789e-09, 4.315638217375123303e-10, 2.206691723382271336e-10, 1.167609235793180871e-09
