year, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM4-8, NorESM2-LM, CESM2-WACCM, NorESM2-MM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, UKESM1-0-LL, ACCESS-ESM1-5
1.890000000000000000e+03, 2.814183465886022191e+02, 2.808266311141879328e+02, 2.812929177401160246e+02, 2.817254138941553379e+02, 2.830119252445235247e+02, 2.822655965506776283e+02, 2.816374740954096296e+02, 2.820886185040430973e+02, 2.798599098556570652e+02, 2.803003872329171031e+02, 2.799355424743607728e+02, 2.837297443027134136e+02, 2.797531785445628429e+02, 2.787630261602980113e+02, 2.801111629479721614e+02, 2.823730641182388581e+02
1.891000000000000000e+03, 2.812944905301855556e+02, 2.798135307952475159e+02, 2.804134862605060334e+02, 2.811296589866798854e+02, 2.830149231217969827e+02, 2.812306690968296152e+02, 2.814276062542166414e+02, 2.818124911637395940e+02, 2.805478241087882907e+02, 2.799087963258530181e+02, 2.795565946050703019e+02, 2.822241404156596900e+02, 2.785525255486761012e+02, 2.804395479521074321e+02, 2.798352338572443045e+02, 2.829465849966312589e+02
1.892000000000000000e+03, 2.811820288424918317e+02, 2.803083171405980920e+02, 2.811533897419378718e+02, 2.802536423938163352e+02, 2.826548096261360570e+02, 2.826495509474987102e+02, 2.810475371590067084e+02, 2.819668819701882967e+02, 2.804365995121278843e+02, 2.797712622182801852e+02, 2.808910828515022899e+02, 2.824082844527852671e+02, 2.790785633914467212e+02, 2.807252627277198371e+02, 2.804137115635195983e+02, 2.819611422080945431e+02
1.893000000000000000e+03, 2.807315627178933823e+02, 2.808787014073795376e+02, 2.817706728931119642e+02, 2.814017721998752677e+02, 2.821250019654440848e+02, 2.825611979335685646e+02, 2.816238907861210805e+02, 2.818595859441037987e+02, 2.812080343431484835e+02, 2.802869707118246083e+02, 2.804310201679220427e+02, 2.833458229584259129e+02, 2.787670169603636054e+02, 2.796550446247636046e+02, 2.806104577841684886e+02, 2.819332649679683982e+02
1.894000000000000000e+03, 2.813077773976813774e+02, 2.809449533938990839e+02, 2.824850228456356263e+02, 2.818876691752706733e+02, 2.832542903260011826e+02, 2.820322486722602662e+02, 2.810701266423348557e+02, 2.813244603906714474e+02, 2.802973494190155179e+02, 2.808272016787158805e+02, 2.808099257369394195e+02, 2.823132239729893627e+02, 2.810449506756361302e+02, 2.798129187225216015e+02, 2.804366308813460478e+02, 2.826368155364849031e+02
1.895000000000000000e+03, 2.810596593474816132e+02, 2.810750767152849789e+02, 2.821294424816185256e+02, 2.819879964988350025e+02, 2.832214378483338919e+02, 2.814211961731357405e+02, 2.813823633687198935e+02, 2.824133309778466696e+02, 2.819770219429278768e+02, 2.800202006317816199e+02, 2.805688487840392327e+02, 2.822190394313834645e+02, 2.805602887856671259e+02, 2.817254560512727721e+02, 2.803900260235053565e+02, 2.826689559082680034e+02
1.896000000000000000e+03, 2.817972072183093246e+02, 2.813981528116246409e+02, 2.816059921952673903e+02, 2.819871101308206676e+02, 2.828873517200209449e+02, 2.819511348481916002e+02, 2.811434323745842221e+02, 2.822745207117911832e+02, 2.815585194435031440e+02, 2.797383120274386670e+02, 2.804185556892492741e+02, 2.834909905699202000e+02, 2.796612381960631524e+02, 2.798120344299079534e+02, 2.806520171026616595e+02, 2.811800088492237251e+02
1.897000000000000000e+03, 2.807292637142638227e+02, 2.814428583491407494e+02, 2.821840603618217642e+02, 2.823333661745949712e+02, 2.828752418914069153e+02, 2.831318111546176510e+02, 2.808936134606926203e+02, 2.816464900255816133e+02, 2.814571952363998548e+02, 2.800530830016624009e+02, 2.808939769116889238e+02, 2.823799888744651980e+02, 2.794095478399560193e+02, 2.809419314931112694e+02, 2.793208945574518793e+02, 2.817291790335055452e+02
1.898000000000000000e+03, 2.810610331558870598e+02, 2.822752063777891181e+02, 2.821016681342744619e+02, 2.816133155326363067e+02, 2.823562908801677622e+02, 2.827297128341053281e+02, 2.814843635622424927e+02, 2.822494685453924603e+02, 2.814778283174339322e+02, 2.794066861903897916e+02, 2.801276355456574265e+02, 2.824803260082570660e+02, 2.791282767386953765e+02, 2.814108792836822204e+02, 2.803526537164896695e+02, 2.817050103157892522e+02
1.899000000000000000e+03, 2.809999174009996068e+02, 2.816682408260444390e+02, 2.826704182996113559e+02, 2.820814361227644440e+02, 2.830920571880183729e+02, 2.818468855780792524e+02, 2.818484300071659163e+02, 2.820539399063309816e+02, 2.818177744135943499e+02, 2.809294982794342559e+02, 2.794862058751070322e+02, 2.815964857749386283e+02, 2.802985687490095756e+02, 2.813761751941533475e+02, 2.799278931036427593e+02, 2.818651904815814078e+02
