year, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CanESM5, CMCC-ESM2, GFDL-ESM4
2.087000000000000000e+03, 4.008039861005553471e-10, 8.558117354087762595e-10, 2.740644167195885563e-10, 1.889632320470208145e-09, 9.967483089327992998e-10, -2.805159393869061764e-10, 1.681631539535011325e-09, -9.032041170611129937e-10
2.088000000000000000e+03, 7.001224179375495132e-10, -8.720130817102234618e-10, 3.243933641099426501e-10, 4.311386484983128508e-10, 3.407919368712230039e-11, 7.038933546746252909e-10, -2.470608049215536039e-09, -9.955810817171012636e-10
2.089000000000000000e+03, -1.055813843749076796e-10, -5.172167414091210472e-10, 1.457058764606476073e-10, -1.529585394983016378e-10, 1.331262290443310159e-09, 3.108238780348087895e-09, -2.969039995791564174e-10, 7.775927598397011767e-10
2.090000000000000000e+03, 8.748350991267968569e-10, 1.684727157798064024e-09, 2.463627438844215139e-10, -7.168500489927074020e-10, 2.216729416757850345e-10, -1.578669050025914117e-09, 1.982919310307180180e-09, -1.254986547113804469e-09
2.091000000000000000e+03, -4.466288848236201059e-10, -1.622281744644578403e-09, 6.377568660010042136e-10, 4.123698801406962638e-10, -1.180306111021836551e-09, 6.364159603109366287e-10, 7.721835700941697520e-10, 8.055008749745065309e-10
2.092000000000000000e+03, 7.534762173924744007e-10, 7.994333022084005092e-10, -1.097286082724861517e-09, -6.314428664214658213e-10, -2.098856743517956063e-10, 1.124158593739337270e-09, -1.704681049880425743e-09, -9.134282759311563745e-10
2.093000000000000000e+03, 2.452529436371018544e-10, 1.668269795407712864e-09, -9.349005502819193523e-11, -1.149780942046430757e-09, 5.785901750225292138e-10, 1.597801624965572644e-09, -3.177584875935076816e-10, 1.108169494391800833e-10
2.094000000000000000e+03, 1.215094330620257550e-10, -6.274346833253249333e-10, -2.217702169438093007e-10, -2.055236832898459137e-10, -7.031133345626481375e-11, -1.001586994734703538e-09, 2.915517238458865106e-10, 2.302017691159622925e-10
2.095000000000000000e+03, 8.286044667411477217e-10, -1.333645957431374692e-09, -1.142090595609674009e-10, -5.798742392205046453e-10, -8.086113756625947400e-11, -1.234697504444063322e-09, 4.642098985708855480e-10, 7.397552684852018864e-10
2.096000000000000000e+03, -4.706193845769682797e-10, 2.991474255943396844e-09, 1.303518257499367626e-09, 3.189589811753885038e-10, 6.964795564006403647e-11, -9.905642151742263633e-10, 1.155760180537869358e-09, -5.771290563978627815e-12
2.097000000000000000e+03, -4.705585459850696507e-10, -1.331626243380683320e-09, -2.130484026338309947e-10, 4.701265091831214804e-10, -1.250353248114585238e-09, -1.374209606895365623e-09, -7.964395259170881613e-11, -7.668042207959374426e-10
2.098000000000000000e+03, 6.367352103292596344e-10, -1.118730249887210615e-09, 2.756393834579601226e-10, 8.261756641895854682e-10, 3.901619515197442249e-10, -5.282509319474882029e-10, -1.784403428783160593e-09, 6.374981172112994497e-10
2.099000000000000000e+03, -1.360148169998631138e-10, -2.024076561976217908e-09, -1.203718830041015766e-09, -1.021295958669336235e-09, 4.959132784222602338e-10, 1.479924268227641243e-09, 1.057530467690679051e-11, -6.527012711603561437e-10
2.100000000000000000e+03, 5.148621357328847283e-10, 4.280986040021233684e-10, -8.401732685367757022e-10, 8.946205288153249978e-10, -1.733942161648969162e-10, -1.565905129705791803e-10, 6.821126743691097186e-10, -9.664117109399234095e-10
