year, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CanESM5, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, IPSL-CM6A-LR
2.061000000000000000e+03, 1.661616004312957529e+00, 1.117134942248809937e+00, 4.244859996236843291e-01, 9.472648284549945785e+00, 1.368976288857061352e+00, 2.222008575737282943e+00, 5.505899693741352685e+00, 1.291694532299522580e+00, 1.096935189304435632e+01, 7.928957393531777420e+00, 1.107095066473271494e+00, 1.748115238019056994e+00, 5.647144584842419768e+00
2.062000000000000000e+03, 1.291438283710715895e+00, 1.134097160546779115e+00, 7.077149410353156256e-01, 9.625978432489938896e+00, 1.302474326065532928e+00, 2.155548521138788143e+00, 5.490526330714771142e+00, 1.160457523268216606e+00, 1.093828574730537895e+01, 7.892629306164177905e+00, 1.157407607166088370e+00, 2.108921808628494876e+00, 5.809592032278460216e+00
2.063000000000000000e+03, 1.742219560659346467e+00, 1.114780597485481417e+00, 3.529819269494896550e-01, 9.590962327973068469e+00, 1.346390121073155255e+00, 2.134556909927023405e+00, 5.554781021758057769e+00, 1.422692976461927605e+00, 1.098084777729636308e+01, 7.920147053479420052e+00, 1.070821695832786746e+00, 2.234492146999178974e+00, 5.652397852816118728e+00
2.064000000000000000e+03, 1.972943421186562185e+00, 1.096918213733328429e+00, 5.296784886328081976e-01, 9.520424696479640403e+00, 1.252956105464635872e+00, 2.194804090164760080e+00, 5.592314449675336974e+00, 1.350328146872601831e+00, 1.116269469388836022e+01, 7.886564980189334939e+00, 9.671966213054846717e-01, 2.087677224535978038e+00, 5.509337331434527307e+00
2.065000000000000000e+03, 2.434990550623524097e+00, 1.118045876135308925e+00, 7.543580057678096473e-01, 9.661335696369679482e+00, 1.068902725499757400e+00, 2.244994833236781506e+00, 5.356432577900175573e+00, 1.380599252911030250e+00, 1.114840641937536247e+01, 7.802364140582150220e+00, 1.073542169256337386e+00, 1.814097965642986754e+00, 5.588714787813449547e+00
2.066000000000000000e+03, 2.441643891489162055e+00, 1.182151515853125945e+00, 3.275971830028696075e-01, 9.574731810008518806e+00, 1.125201869791315090e+00, 2.177455686691120551e+00, 5.274575942688914054e+00, 1.029065692684384192e+00, 1.114618678298724674e+01, 7.838165125120584165e+00, 1.272021479886117801e+00, 1.819429706199561902e+00, 5.526779748518550583e+00
2.067000000000000000e+03, 1.790819334940806584e+00, 1.173906756786328609e+00, 2.856693411480039080e-01, 9.451051073040382278e+00, 1.301680948498714407e+00, 2.108219013552334431e+00, 5.210192916822574460e+00, 1.087070908852385775e+00, 1.120459259208687008e+01, 7.872794213004429942e+00, 1.153878141530616297e+00, 1.761516394547748998e+00, 5.631182097741992187e+00
2.068000000000000000e+03, 1.513427684521587269e+00, 1.147756693869213196e+00, 9.533469107414324073e-01, 9.582793696305225595e+00, 1.205570880283076463e+00, 2.118739677472566196e+00, 5.121521214249339593e+00, 1.220356913718071423e+00, 1.138303667720226287e+01, 7.895507329097400273e+00, 1.049706876167736613e+00, 1.734343096283523566e+00, 5.806126430215309497e+00
2.069000000000000000e+03, 1.799589601916174342e+00, 1.143089238067948932e+00, 7.945316389106884536e-01, 9.671057852371731656e+00, 1.253862269807481500e+00, 2.123119574018520250e+00, 5.466684914275144358e+00, 1.254591929814518281e+00, 1.130951048782795354e+01, 7.871906145464533822e+00, 1.095606607618226480e+00, 1.619518783196789435e+00, 5.766073915202921896e+00
2.070000000000000000e+03, 2.248203124152162502e+00, 1.096689984480397673e+00, 4.229858674109341909e-01, 9.664692112720409511e+00, 1.297406634503064815e+00, 2.068605204576223322e+00, 5.734608389483253355e+00, 1.032526205673514719e+00, 1.131192431475097493e+01, 7.839678008444828095e+00, 1.097130088323511554e+00, 1.613979410514915447e+00, 5.846574243284893058e+00
2.071000000000000000e+03, 2.070271322008610415e+00, 1.002713226453828321e+00, 4.957660087487413270e-01, 9.557181777375193477e+00, 1.279159108719286619e+00, 2.109165085678145424e+00, 5.945170651816477303e+00, 1.173802173678116123e+00, 1.141400045298296817e+01, 7.780315695290195954e+00, 1.089534861367108531e+00, 1.529383705521132342e+00, 5.714371850284144294e+00
2.072000000000000000e+03, 2.196397704498290970e+00, 9.548987015886327701e-01, 4.435106887613509685e-01, 9.647943563778449416e+00, 1.380603532963476043e+00, 2.210149622284860893e+00, 5.697869658063273945e+00, 1.240200951166245735e+00, 1.146597953629824218e+01, 7.883972821342704940e+00, 1.073940570490020896e+00, 1.787326428497849395e+00, 5.715137629107046813e+00
2.073000000000000000e+03, 2.200875494676652444e+00, 9.627729304381147379e-01, 6.581137914408968781e-01, 9.684898000208203683e+00, 1.288828159496454129e+00, 2.325624595150344476e+00, 5.515115571795137228e+00, 1.000584200734162321e+00, 1.157952082708229113e+01, 8.003729105809483713e+00, 1.170705077434768704e+00, 1.892799443129226100e+00, 5.781612894800078450e+00
2.074000000000000000e+03, 1.842301682180939038e+00, 9.802241145455742322e-01, 3.819499635771076984e-01, 9.554146547937287792e+00, 1.136086236661825843e+00, 2.270881551767335083e+00, 5.654923451667464462e+00, 1.203915388697710753e+00, 1.152985364342744568e+01, 8.004809434335786733e+00, 1.289741648268201146e+00, 2.000491473550578991e+00, 5.880534831374722771e+00
2.075000000000000000e+03, 1.411522124353133290e+00, 1.011550842972834818e+00, 4.956513399530336206e-01, 9.684454452542480496e+00, 1.238816481209225717e+00, 2.204777409965763990e+00, 5.738844406509186591e+00, 1.399553943930001987e+00, 1.160636055347056939e+01, 7.988162360586227528e+00, 1.109564623230556268e+00, 2.095539888404224893e+00, 5.949349486252147656e+00
2.076000000000000000e+03, 1.824977504244939430e+00, 1.043352029432223604e+00, 6.363290851751307597e-01, 9.601595810566800893e+00, 1.189291403118872825e+00, 2.211460434599539671e+00, 5.538078195983858976e+00, 1.287882873429722963e+00, 1.163501082964802791e+01, 7.953053906176546839e+00, 1.189369058682954838e+00, 1.988108336105952612e+00, 5.846885326843761277e+00
2.077000000000000000e+03, 2.413934860644617597e+00, 1.080932961566320349e+00, 4.746433145740393544e-01, 9.645815156203980223e+00, 1.243325827234930792e+00, 2.352633904529783937e+00, 5.291158759233020703e+00, 1.256342333682470391e+00, 1.165424181128859438e+01, 7.975505434068420385e+00, 1.141722160028473265e+00, 1.579233015508065163e+00, 5.727706891935405942e+00
2.078000000000000000e+03, 2.446823533240633175e+00, 1.110947171633473562e+00, 3.861049321045839644e-01, 9.652990050545881218e+00, 1.422142812144211454e+00, 2.287675233965764665e+00, 5.615059351580065083e+00, 9.872029378981858061e-01, 1.157409036676092207e+01, 8.048644500962684134e+00, 1.168097874186899254e+00, 1.394332374117411844e+00, 5.637961803752922663e+00
2.079000000000000000e+03, 2.221610346783467360e+00, 1.135851072985156085e+00, 4.556761050383256739e-01, 9.538452044248323602e+00, 1.349322011633859564e+00, 2.265757937019765134e+00, 5.502081418321942863e+00, 1.228541369647244252e+00, 1.159820149350888840e+01, 8.085879475140108852e+00, 1.116868265355391632e+00, 1.452134661375473756e+00, 5.629017403312674972e+00
2.080000000000000000e+03, 1.809865581409963786e+00, 1.130876312810152662e+00, 6.576135637702557046e-01, 9.740086166322539540e+00, 1.232409033181910640e+00, 2.246468067347260789e+00, 5.285537028423615169e+00, 1.279843543384202809e+00, 1.162722762078456462e+01, 8.058791072635106190e+00, 1.144031682198879407e+00, 1.874290835910051189e+00, 5.651343788403734081e+00
2.081000000000000000e+03, 1.773884828527304558e+00, 1.122692677336436962e+00, 4.527995777754071915e-01, 9.661053884361585631e+00, 1.301201798511210761e+00, 2.183107711214804514e+00, 5.370678307626508108e+00, 1.062046346869491620e+00, 1.160201551484002636e+01, 7.956597988138523370e+00, 1.198139962797607483e+00, 1.864632936744278213e+00, 5.560763146432694093e+00
2.082000000000000000e+03, 1.594739872458349472e+00, 1.067206558336300626e+00, 2.049797422333015651e-01, 9.640576308234960479e+00, 1.258917763696960623e+00, 2.176968790664044473e+00, 5.473165741377888693e+00, 1.095931649492338344e+00, 1.164769887332264808e+01, 7.927806045419438341e+00, 1.144212166544786857e+00, 1.745300247405101146e+00, 5.509509530683690315e+00
2.083000000000000000e+03, 1.740151135999068677e+00, 1.068127403629111072e+00, 3.816874677540570970e-01, 9.626055212910328507e+00, 1.191727252924748681e+00, 2.153433616160402853e+00, 5.412915414161282968e+00, 1.369760185406853736e+00, 1.172104868541162048e+01, 7.948338739006805653e+00, 1.183693987293458427e+00, 1.798684270927224160e+00, 5.499089904822525021e+00
