year, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, CMCC-ESM2, INM-CM4-8, ACCESS-ESM1-5, INM-CM5-0, IPSL-CM6A-LR, CanESM5
2.061000000000000000e+03, 7.585075456054508614e-01, 5.211766228609310270e-01, 1.232090971036376992e+00, 2.952042467359845990e+00, 8.493646166157216015e-01, 5.310014044313691173e-01, 1.059244678559460029e+00, 1.337987547794601051e+00, 7.819518107966322296e-01, 9.257404098821706562e-01, 1.404414539641871906e+00, 1.189463483600631921e+00, 6.006681125963394541e-01, 1.179769387745611242e+00, 1.116006662338714817e+00, 7.461345576714851768e-01
2.062000000000000000e+03, 6.710390526203597883e-01, 6.246017174791842486e-01, 1.061330083761921061e+00, 2.110655419443856484e+00, 1.077784870693624608e+00, 5.504299855809386965e-01, 1.052102574539222068e+00, 1.356156172967301288e+00, 8.747082645632883180e-01, 9.262791334109162777e-01, 1.329059318371951237e+00, 1.270141388766587554e+00, 5.708512942914001354e-01, 1.119597328255381719e+00, 9.309930805052436531e-01, 7.090505976681744649e-01
2.063000000000000000e+03, 6.490142028936737306e-01, 6.921892330317871433e-01, 1.028555167580646579e+00, 2.211633009033329156e+00, 1.292957203742903793e+00, 5.336319076653349702e-01, 9.603189002802772212e-01, 1.178589027107430187e+00, 8.502191873830323710e-01, 9.265279989288924822e-01, 8.817360516191975472e-01, 1.196473473686688882e+00, 5.222209583032462188e-01, 1.147888570240365391e+00, 8.164177963389747106e-01, 7.088240371112175531e-01
2.064000000000000000e+03, 8.874609285008341342e-01, 6.924294279197948931e-01, 1.240868610138079253e+00, 1.677377764402473215e+00, 8.796810920624454910e-01, 5.356178283106824978e-01, 8.656511793948418187e-01, 1.058710317093715769e+00, 9.336407936134797358e-01, 9.124297328755119896e-01, 9.106798712554232678e-01, 1.228655895567009493e+00, 5.524836892123685672e-01, 1.108855275274274410e+00, 9.336823910897400491e-01, 6.385206462507726499e-01
2.065000000000000000e+03, 6.974686987463692978e-01, 5.599272638451792128e-01, 8.787439757490972392e-01, 2.138044299658362402e+00, 8.798587390387063722e-01, 5.542122440337290401e-01, 6.855615049507247649e-01, 1.421158114958274599e+00, 9.962967199405893259e-01, 1.041234891940664209e+00, 8.421720502301649480e-01, 1.248811207845917481e+00, 6.057854448976922601e-01, 1.128683975754945612e+00, 9.522312766578427956e-01, 7.014538995569312707e-01
2.066000000000000000e+03, 7.042521744561642816e-01, 5.236600822993107140e-01, 9.567080027643516393e-01, 1.534294689011806323e+00, 9.814096557425450174e-01, 5.521209196979843803e-01, 9.102386483387417959e-01, 1.278328774369317022e+00, 9.049119203420215030e-01, 1.144044556500461329e+00, 7.297063937833291325e-01, 1.230822411168220443e+00, 6.353068380179233143e-01, 1.159578760356378746e+00, 1.031679390115565198e+00, 7.283589202477462887e-01
2.067000000000000000e+03, 9.509964691100678547e-01, 5.961079424138414629e-01, 1.440184778729820536e+00, 1.952094972374100790e+00, 1.162747032984496443e+00, 5.689233301865744830e-01, 1.016485395482892518e+00, 1.040398624937669103e+00, 9.037360259544295893e-01, 1.171215049456074908e+00, 7.732732570279535755e-01, 1.245688652263688523e+00, 5.149262931483076233e-01, 1.118208542298057218e+00, 1.160470601905172927e+00, 8.060913525670233559e-01
2.068000000000000000e+03, 8.790852652065540562e-01, 6.278801879164176425e-01, 1.466752864585124216e+00, 1.398870380571905825e+00, 8.603375937032108345e-01, 5.575501945839602680e-01, 9.746466213871466389e-01, 1.309937241849058021e+00, 8.983894232938778313e-01, 1.093806045067295951e+00, 9.054038654043723433e-01, 1.250026421705111135e+00, 5.576429632077252174e-01, 1.145616439733752712e+00, 1.068676914186244442e+00, 9.051087921712969164e-01
2.069000000000000000e+03, 7.293034154386590640e-01, 5.783758138723058551e-01, 8.881315762758517085e-01, 1.608776434118831089e+00, 1.016659042698271787e+00, 5.884279259570522891e-01, 9.409716928917084555e-01, 1.246992302914932127e+00, 1.010711494614720429e+00, 1.082751487600680296e+00, 8.600994467908722463e-01, 1.246129317327633101e+00, 5.622138372860310263e-01, 1.130478988462926493e+00, 1.026482175373139460e+00, 7.116001714988136051e-01
2.070000000000000000e+03, 6.428303032957146668e-01, 6.822555353101262821e-01, 7.951280247965872849e-01, 1.708050209883444248e+00, 1.159921258613892503e+00, 6.056619263142559717e-01, 1.022877843728783542e+00, 1.159794910731269946e+00, 9.802003815362958505e-01, 1.127059038657509449e+00, 9.140658298890469435e-01, 1.272440919927400493e+00, 4.509429126865135418e-01, 1.164414528413445948e+00, 9.619600144993908364e-01, 6.761908886907235239e-01
