year, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, MIROC-ES2L, INM-CM4-8, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5
2.063000000000000000e+03, 2.863128049069881609e+00, 2.548847101457607511e+00, 3.873533577701360642e+00, 3.495372804701696534e+00, 6.460469717606023288e+00, 4.054138784272300455e+00, 4.179658910965406982e+00, 4.256119668716404902e+00, 3.359848523117085595e+00, 5.603118425070350739e+00, 4.478763637326658831e+00, 6.506462838531416715e+00, 4.120787855409564493e+00, 5.142261255395323083e+00, 5.158945248874525547e+00, 5.615170006293642935e+00
2.064000000000000000e+03, 3.044983986670908305e+00, 2.581322781100874764e+00, 3.888448626945671283e+00, 3.458763484199172122e+00, 6.515202191092212658e+00, 4.226612347609927767e+00, 4.002379391513432694e+00, 4.590497424173157981e+00, 3.490880922231970551e+00, 6.098907187293082899e+00, 3.706354290373495175e+00, 6.424049427475190477e+00, 3.772516565685463785e+00, 5.125783589433380527e+00, 5.329039940274789444e+00, 5.736884957702972798e+00
2.065000000000000000e+03, 2.909848334624270283e+00, 2.812970802611507448e+00, 3.584279101989466643e+00, 3.393733275400963922e+00, 6.595937766281703141e+00, 3.716089509878857111e+00, 4.257126347180599346e+00, 4.830260827671073010e+00, 3.400300591073842860e+00, 6.969147967677231215e+00, 4.266284354516296951e+00, 6.541708725257335821e+00, 3.862722184788646373e+00, 5.201829712312847853e+00, 5.144952005748325341e+00, 5.859260885810547492e+00
2.066000000000000000e+03, 3.048906509736719617e+00, 2.493585085000022961e+00, 3.719563655153964810e+00, 3.571099609866155156e+00, 6.420404695479750679e+00, 4.596804662393223495e+00, 4.532242861343868334e+00, 4.809610729633276627e+00, 3.654477345996736570e+00, 6.114330151392107560e+00, 4.720241694199414084e+00, 6.499430350504632692e+00, 4.408828491294244145e+00, 5.223515399633968492e+00, 5.119052995785072113e+00, 5.856489670949580173e+00
2.067000000000000000e+03, 2.987186700908829984e+00, 2.409008699717270385e+00, 3.932319406838975961e+00, 3.670157153521503179e+00, 6.535000731517428996e+00, 4.864041532739664220e+00, 4.051128847934625909e+00, 4.447355654444697493e+00, 3.739796931284980808e+00, 5.577624188939635630e+00, 4.182351236904042757e+00, 6.246675768373075144e+00, 4.153501466289861277e+00, 5.029365819289569828e+00, 4.986955156033598513e+00, 5.825824607303768055e+00
2.068000000000000000e+03, 2.939854416325987430e+00, 2.806463178320155905e+00, 4.021253950083440110e+00, 3.398628866461288922e+00, 6.461774706498132126e+00, 4.097704821639380768e+00, 3.889298676717973358e+00, 4.599617120718890284e+00, 3.394402935177494030e+00, 6.162707440276933291e+00, 3.587308517503572602e+00, 6.219358398106916930e+00, 3.992893122722728450e+00, 4.854687103052034658e+00, 5.012906696409966223e+00, 5.869358335199926557e+00
2.069000000000000000e+03, 2.950355058439104283e+00, 2.494974384684178759e+00, 3.801010746253707495e+00, 3.545308581238234336e+00, 6.654863455017681950e+00, 4.052853969928881028e+00, 4.218435174705271962e+00, 4.657789483315345258e+00, 3.399962467441118186e+00, 5.801245399986360241e+00, 4.391975869118138753e+00, 6.323489780561358131e+00, 4.310065871048328390e+00, 5.105641919368990145e+00, 4.895072165514861240e+00, 5.836214919184386396e+00
2.070000000000000000e+03, 3.015556821891840045e+00, 2.525465781486510686e+00, 3.883035599864693932e+00, 3.463727992319804105e+00, 6.678089509225348941e+00, 4.348738454345509652e+00, 4.488491137059247293e+00, 4.409455967902854212e+00, 3.319072827169973650e+00, 5.505768572140049777e+00, 4.566910865009838005e+00, 6.450705523572779043e+00, 4.350764617664470535e+00, 4.979991349815345636e+00, 4.972191754224454030e+00, 5.774006881845100914e+00
2.071000000000000000e+03, 2.699832212560503653e+00, 2.616023640747515699e+00, 4.124384347413688978e+00, 3.636067440546573160e+00, 6.632306236585860937e+00, 4.543510553281413955e+00, 4.063983281873433384e+00, 4.639586070256131123e+00, 3.293702332810276801e+00, 6.336338592850379925e+00, 4.108137848082038524e+00, 6.241924520395563114e+00, 3.781880233206475150e+00, 5.067545684915386595e+00, 5.323397543233668650e+00, 5.828017488466590734e+00
2.072000000000000000e+03, 2.904770826381195992e+00, 2.718698629273102796e+00, 3.984459353576972340e+00, 3.568008529565869225e+00, 6.522522724764260538e+00, 4.477091357467242183e+00, 4.111131570592309714e+00, 4.601882995404658949e+00, 3.866299279690719626e+00, 6.858959103845387872e+00, 3.752344480856952824e+00, 6.125433129623047535e+00, 4.138580622185417113e+00, 4.897728457438685901e+00, 5.044914724487780333e+00, 5.973448882252122338e+00
2.073000000000000000e+03, 2.883269031861857012e+00, 2.597099096202788004e+00, 3.678804143325420828e+00, 3.630589995018697724e+00, 6.436328588118231941e+00, 4.186511618683563363e+00, 4.485873786994786450e+00, 4.612519311192110116e+00, 3.622496806983519502e+00, 6.073139033271508502e+00, 4.362418094844816352e+00, 6.263496403395229173e+00, 4.347967015537840041e+00, 4.929223030529860772e+00, 5.280640887501324876e+00, 5.828113619611581697e+00
