year, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, TaiESM1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM
2.045000000000000000e+03, 2.981150093797145360e+02, 2.998164718512520039e+02, 3.006339765135767834e+02, 2.986375086354636892e+02, 3.003110939057636415e+02, 2.994380337378630657e+02, 2.983497443937769731e+02, 2.993071257112984540e+02, 2.979540860774939688e+02, 3.007404791393094570e+02, 2.986558208041911371e+02, 2.982748980514908226e+02, 2.985669568210663556e+02, 2.995225927278024187e+02, 2.986163268567655678e+02, 2.991973496782335360e+02
2.046000000000000000e+03, 2.988532934714833118e+02, 2.998540631721152749e+02, 3.005129109165001182e+02, 2.983909339210072744e+02, 3.004351156733862354e+02, 2.990567626389030806e+02, 2.983330693726287564e+02, 2.992732790960686202e+02, 2.980644812263254835e+02, 3.012994085968616105e+02, 2.990057332977835358e+02, 2.981231774472054212e+02, 2.986676725770368535e+02, 2.999164374235335231e+02, 2.986980684643668837e+02, 2.991471747266602392e+02
2.047000000000000000e+03, 2.981348387327944351e+02, 2.999511424187917328e+02, 3.003000226989419730e+02, 2.984458426847180590e+02, 3.007897258997130052e+02, 2.988664359811658073e+02, 2.980922753201934938e+02, 2.995418821795547615e+02, 2.980548974075024944e+02, 3.009419993008209531e+02, 2.997030939423187874e+02, 2.983092331810999553e+02, 2.987108767204946957e+02, 2.998443704085306081e+02, 2.988064627015432393e+02, 2.994708184992033466e+02
2.048000000000000000e+03, 2.987644676011898355e+02, 3.001050069067179038e+02, 3.001297860707122709e+02, 2.984896439189134298e+02, 3.002953675215980525e+02, 2.994056845942379255e+02, 2.981089672021099091e+02, 2.998964709496020191e+02, 2.977929200521774646e+02, 3.009840952970779995e+02, 2.990323654073334296e+02, 2.982986616051890110e+02, 2.986254408090548509e+02, 2.994746393788710748e+02, 2.987680073082244689e+02, 2.993753993038279759e+02
2.049000000000000000e+03, 2.985302243021626509e+02, 2.999030953594037783e+02, 3.003299917747414725e+02, 2.984130661483330300e+02, 3.003790475255282217e+02, 2.991863392671771180e+02, 2.984948401677655738e+02, 3.001352916287042945e+02, 2.982084614911200333e+02, 3.014467031391123442e+02, 2.989579321790355380e+02, 2.983077775099709470e+02, 2.985624882982799591e+02, 2.998545728802748727e+02, 2.987244298249221970e+02, 2.991482492498590773e+02
2.050000000000000000e+03, 2.985006902047369977e+02, 3.002483071759159543e+02, 3.002012224763973336e+02, 2.984972901421569986e+02, 3.005058567572448851e+02, 2.989628414268050847e+02, 2.987942349640843531e+02, 2.997790759192748737e+02, 2.978122240904943396e+02, 3.015530423073427073e+02, 2.994602767959704579e+02, 2.982343413759246005e+02, 2.985205715791369130e+02, 2.999094834355038302e+02, 2.989233197620543478e+02, 2.992997803593484036e+02
2.051000000000000000e+03, 2.980572777271779614e+02, 2.999805171567781485e+02, 3.007050647917585025e+02, 2.991053951249510305e+02, 3.002622175196471517e+02, 2.992743104053035950e+02, 2.976311532307615266e+02, 2.996043932694953469e+02, 2.980779566410957386e+02, 3.011022003059629242e+02, 2.995658553790352130e+02, 2.984158301814309766e+02, 2.985743215323427648e+02, 2.998631402444338505e+02, 2.988521297774652794e+02, 2.994291219737816618e+02
2.052000000000000000e+03, 2.983602082403523923e+02, 3.003133846872692061e+02, 3.004664346611585302e+02, 2.984050721835543527e+02, 3.003739754143564937e+02, 2.995729788257993960e+02, 2.982009330004098047e+02, 2.992996072981722477e+02, 2.979829766212849904e+02, 3.011858837876991402e+02, 2.989202262585021685e+02, 2.985614922581150381e+02, 2.985000484836219243e+02, 2.999739362059886503e+02, 2.986767597084370323e+02, 2.990440699044974622e+02
2.053000000000000000e+03, 2.982213982663118372e+02, 2.999921719793464376e+02, 3.005459548650753732e+02, 2.985819477131051372e+02, 3.006662282565093278e+02, 2.991820628695140272e+02, 2.982889649284967959e+02, 2.997512833313956548e+02, 2.977293175360234159e+02, 3.010456426399023258e+02, 2.985967886092390131e+02, 2.981099483393484206e+02, 2.984462500780489336e+02, 2.998240743278573746e+02, 2.987595853367062091e+02, 2.990209909866089788e+02
2.054000000000000000e+03, 2.985028418390161846e+02, 3.000999499636202472e+02, 3.004242988292441510e+02, 2.983063784234870468e+02, 3.004650995028662805e+02, 2.990564881559000696e+02, 2.980998006689501381e+02, 3.000876486163969616e+02, 2.978842404589780699e+02, 3.011945714112811174e+02, 2.987256894096831275e+02, 2.981946772634518084e+02, 2.984060811456814122e+02, 2.998865037057267386e+02, 2.988088474049255865e+02, 2.990008908583786820e+02
