year, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, CanESM5, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.064000000000000000e+03, 9.796762673231222962e+00, 1.329974950636071007e+01, 8.741525299573460472e+00, 9.322687872350670091e+00, 9.130160500895554421e+00, 1.065766683068949305e+01, 1.029521853208934168e+01, 1.161078283497773889e+01, 6.954531166107963180e+00, 1.315816964184680238e+01, 1.052957780080027561e+01, 1.560329331231967309e+01, 1.207783118582219650e+01, 1.580425151004793705e+01, 1.296651473661600740e+01, 8.761157573486809014e+00
2.065000000000000000e+03, 9.996436337378439063e+00, 1.275506254739358525e+01, 9.129571340261589896e+00, 9.573897234445809090e+00, 8.869256289150081685e+00, 1.031259786602073447e+01, 9.998664454760101350e+00, 1.170031055056547409e+01, 6.769577619150484615e+00, 1.471074739380350671e+01, 1.098890733906956818e+01, 1.578430987538773955e+01, 1.009208087475392190e+01, 1.602895640408118183e+01, 1.290858247501983591e+01, 8.644426565675088270e+00
2.066000000000000000e+03, 1.041477814021926029e+01, 1.422269869139145193e+01, 8.699778792459770926e+00, 9.982332157682423102e+00, 8.916768253859691740e+00, 1.040769488616404459e+01, 1.026902530088347731e+01, 1.175587315920459730e+01, 7.025069836823283786e+00, 1.310507071792143563e+01, 1.113056665501504838e+01, 1.577492420607383750e+01, 1.090290056851181966e+01, 1.570631718918400033e+01, 1.322705649144621098e+01, 9.021160235215845091e+00
2.067000000000000000e+03, 9.921389760159653903e+00, 1.502873083611588356e+01, 8.422662059775342769e+00, 9.474875866259308665e+00, 9.161981321280265433e+00, 1.005966379220011397e+01, 1.042941906747819125e+01, 1.170029097270223772e+01, 7.215064061330909162e+00, 1.207598443801269816e+01, 1.061055640025053926e+01, 1.527672623583844391e+01, 1.223154149442264327e+01, 1.588564424561246291e+01, 1.269040347313532102e+01, 9.224480864796781532e+00
2.068000000000000000e+03, 9.583553601339664496e+00, 1.325290795143194522e+01, 9.129713902732133235e+00, 9.663545834656012801e+00, 9.333791346415882373e+00, 1.011298013169838228e+01, 1.010038038126509363e+01, 1.176369261357829110e+01, 6.854547703880944809e+00, 1.326450342812743699e+01, 1.069301083544104358e+01, 1.529660923983927212e+01, 1.226794909850071491e+01, 1.584605342231443892e+01, 1.191923816351985721e+01, 8.649312771386000520e+00
2.069000000000000000e+03, 9.833453556762467684e+00, 1.283981634114886461e+01, 8.641145128702341083e+00, 9.851739306715584732e+00, 9.124970728616203175e+00, 9.846918776262636896e+00, 9.978314582190206394e+00, 1.172566335344468591e+01, 7.032183352049450775e+00, 1.249642932958018271e+01, 1.081189332972050998e+01, 1.548800804744058546e+01, 1.202617356992591979e+01, 1.615010919305048631e+01, 1.240748993273257028e+01, 8.619715188132786921e+00
2.070000000000000000e+03, 1.026333570955574004e+01, 1.390299616485764567e+01, 8.619985496956390492e+00, 9.804822501969264081e+00, 9.094601433643518362e+00, 1.009705007810843291e+01, 1.032796317741290970e+01, 1.164671037892459360e+01, 6.864634833610849363e+00, 1.203058083928807243e+01, 1.052216140609126782e+01, 1.566202269376766054e+01, 1.201377573164451995e+01, 1.611616097132134229e+01, 1.249402259880690913e+01, 8.488361038536819336e+00
2.071000000000000000e+03, 9.907504878297075379e+00, 1.476639896089679560e+01, 8.791263661642101823e+00, 9.393186249470907967e+00, 9.437256243975099324e+00, 1.065101637286526426e+01, 9.584901037947586744e+00, 1.168937072740620309e+01, 7.111231064913662081e+00, 1.363589575564902567e+01, 1.076776633345674661e+01, 1.534524148937642174e+01, 1.231045740250038989e+01, 1.614182859872283515e+01, 1.274138507964984868e+01, 8.364962403142740754e+00
2.072000000000000000e+03, 9.841512691719039196e+00, 1.355964704941513332e+01, 8.980368796076692917e+00, 9.800804384879391762e+00, 9.342972560372251323e+00, 1.017173678876529230e+01, 9.699523297677048461e+00, 1.187460347578876352e+01, 7.041973926126742001e+00, 1.459344318941075258e+01, 1.067786131472298017e+01, 1.508269202855142233e+01, 1.242638127600133302e+01, 1.595788966949782939e+01, 1.211697795748915318e+01, 9.371154175873485315e+00
2.073000000000000000e+03, 1.023865639269263106e+01, 1.246969238219565845e+01, 8.838553323349936264e+00, 9.791572330147575443e+00, 8.984508083693762970e+00, 1.060529045630850575e+01, 9.827287891295533484e+00, 1.170291351109003664e+01, 7.178938725954183475e+00, 1.287576160134161896e+01, 1.076354549552078410e+01, 1.529257901387502372e+01, 1.183339197951328536e+01, 1.589875801182115467e+01, 1.219477453211135121e+01, 9.089608657139409686e+00
